State_name,State_postal_code,State_FIPS,Census_region,SALES__Sales_Tax_Revenue
Alabama,AL,1,South,2.6285591766723737
Alaska,AK,2,West,#N/A
Arizona,AZ,4,West,11.726004016064252
Arkansas,AR,5,South,6.829341521664967
California,CA,6,West,5.9463004940424335
Colorado,CO,8,West,9.107582551977167
Connecticut,CT,9,Northeast,1.7392295995945162
Delaware,DE,10,South,#N/A
District of Columbia,DC,11,South,3.5369740376007153
Florida,FL,12,South,6.2830280480824285
Georgia,GA,13,South,0.7199841080651526
Hawaii,HI,15,West,0.29922779922779696
Idaho,ID,16,West,6.722296793437721
Illinois,IL,17,Midwest,3.3284085453672674
Indiana,IN,18,Midwest,3.44766695829688
Iowa,IA,19,Midwest,7.486067708333333
Kansas,KS,20,Midwest,4.046858908341933
Kentucky,KY,21,South,3.9005923000987153
Louisiana,LA,22,South,2.0160493827160675
Maine,ME,23,Northeast,12.63336397058823
Maryland,MD,24,South,3.0821290009699354
Massachusetts,MA,25,Northeast,5.77210406380555
Michigan,MI,26,Midwest,-0.5617410819749646
Minnesota,MN,27,Midwest,-4.673844555997919
Mississippi,MS,28,South,4.808556994000646
Missouri,MO,29,Midwest,3.4811072880825744
Montana,MT,30,West,#N/A
Nebraska,NE,31,Midwest,5.820353982300874
Nevada,NV,32,West,5.457076375581704
New Hampshire,NH,33,Northeast,#N/A
New Jersey,NJ,34,Northeast,3.8497264579210766
New Mexico,NM,35,West,8.161526717557233
New York,NY,36,Northeast,4.2404666452854345
North Carolina,NC,37,South,8.285377107364699
North Dakota,ND,38,Midwest,12.922981366459618
Ohio,OH,39,Midwest,10.560548668503223
Oklahoma,OK,40,South,4.396830427892229
Oregon,OR,41,West,#N/A
Pennsylvania,PA,42,Northeast,3.549247958745161
Rhode Island,RI,44,Northeast,3.428187919463088
South Carolina,SC,45,South,13.95174280879865
South Dakota,SD,46,Midwest,6.69567690557451
Tennessee,TN,47,South,3.923156113383164
Texas,TX,48,South,5.8595093198606785
Utah,UT,49,West,-9.316943699731905
Vermont,VT,50,Northeast,3.621325648414997
Virginia,VA,51,South,-2.7992671009771986
Washington,WA,53,West,2.33846758006806
West Virginia,WV,54,South,-0.9329880478087693
Wisconsin,WI,55,Midwest,4.2343826747041735
Wyoming,WY,56,West,11.082981715893103
United States of America,US,-99,USA,5.055168670511656
