State_name,State_postal_code,State_FIPS,Census_region,INC__Personal_Income_Tax_Revenue
Alabama,AL,1,South,0.14572142410993472
Alaska,AK,2,West,#N/A
Arizona,AZ,4,West,0.815702718334288
Arkansas,AR,5,South,-1.4557309282224762
California,CA,6,West,-1.5499334411634202
Colorado,CO,8,West,2.960524906266726
Connecticut,CT,9,Northeast,-1.3607015760040753
Delaware,DE,10,South,-10.095570934256049
District of Columbia,DC,11,South,1.8295427196149072
Florida,FL,12,South,#N/A
Georgia,GA,13,South,2.182771070743539
Hawaii,HI,15,West,-0.21949828962370965
Idaho,ID,16,West,8.463468917881812
Illinois,IL,17,Midwest,-6.323417343526039
Indiana,IN,18,Midwest,-3.862757075951939
Iowa,IA,19,Midwest,-7.900643776824035
Kansas,KS,20,Midwest,-10.442598509052193
Kentucky,KY,21,South,1.2353144989339038
Louisiana,LA,22,South,-1.4278071101724743
Maine,ME,23,Northeast,-7.155409836065562
Maryland,MD,24,South,-1.1005001282380134
Massachusetts,MA,25,Northeast,1.0102444614209283
Michigan,MI,26,Midwest,-1.78125769136106
Minnesota,MN,27,Midwest,2.1701349771495293
Mississippi,MS,28,South,-1.2120365088419849
Missouri,MO,29,Midwest,-0.4508458992276587
Montana,MT,30,West,1.3875234521576019
Nebraska,NE,31,Midwest,2.9864583333333306
Nevada,NV,32,West,#N/A
New Hampshire,NH,33,Northeast,-5.709090909090908
New Jersey,NJ,34,Northeast,-0.9221441985792445
New Mexico,NM,35,West,-10.114726027397259
New York,NY,36,Northeast,-0.9796908139699356
North Carolina,NC,37,South,-9.990306946688198
North Dakota,ND,38,Midwest,-24.441779788838613
Ohio,OH,39,Midwest,-16.724426559356132
Oklahoma,OK,40,South,5.365271105010305
Oregon,OR,41,West,-1.6234573434931954
Pennsylvania,PA,42,Northeast,0.32587670727206586
Rhode Island,RI,44,Northeast,-1.947411444141689
South Carolina,SC,45,South,2.5963191990577172
South Dakota,SD,46,Midwest,#N/A
Tennessee,TN,47,South,-8.59007633587786
Texas,TX,48,South,#N/A
Utah,UT,49,West,1.073876698014642
Vermont,VT,50,Northeast,1.1489614243323398
Virginia,VA,51,South,1.761870305916835
Washington,WA,53,West,#N/A
West Virginia,WV,54,South,0.5749577940348916
Wisconsin,WI,55,Midwest,-9.61268556005398
Wyoming,WY,56,West,#N/A
United States of America,US,-99,USA,-1.6323766720036326
