State_name,State_postal_code,State_FIPS,Census_region,HPI__Housing_Price_Index,HPI__month_updated,HPI__year_updated
Alabama,AL,1,South,1.6432176994952252,7,2014
Alaska,AK,2,West,2.3601625313391494,7,2014
Arizona,AZ,4,West,6.568623055194367,7,2014
Arkansas,AR,5,South,1.9154662023112223,7,2014
California,CA,6,West,8.116654954321856,7,2014
Colorado,CO,8,West,6.9630900155028375,7,2014
Connecticut,CT,9,Northeast,-1.270883054892602,7,2014
Delaware,DE,10,South,0.021742675436198233,7,2014
District of Columbia,DC,11,South,4.838483146067429,7,2014
Florida,FL,12,South,7.85448127083741,7,2014
Georgia,GA,13,South,6.664374534410644,7,2014
Hawaii,HI,15,West,8.137450199203178,7,2014
Idaho,ID,16,West,3.7660691653087275,7,2014
Illinois,IL,17,Midwest,3.5543130990415284,7,2014
Indiana,IN,18,Midwest,2.6686567164179165,7,2014
Iowa,IA,19,Midwest,3.3985782452040203,7,2014
Kansas,KS,20,Midwest,3.1856796116504826,7,2014
Kentucky,KY,21,South,1.706379707916983,7,2014
Louisiana,LA,22,South,4.160401002506275,7,2014
Maine,ME,23,Northeast,2.962532674992735,7,2014
Maryland,MD,24,South,0.37796976241901703,7,2014
Massachusetts,MA,25,Northeast,4.689074893728895,7,2014
Michigan,MI,26,Midwest,6.308941148382496,7,2014
Minnesota,MN,27,Midwest,2.6543591555516333,7,2014
Mississippi,MS,28,South,3.122022308166583,7,2014
Missouri,MO,29,Midwest,2.8353898661065857,7,2014
Montana,MT,30,West,6.153160892112863,7,2014
Nebraska,NE,31,Midwest,4.775512180946384,7,2014
Nevada,NV,32,West,10.3494623655914,7,2014
New Hampshire,NH,33,Northeast,3.5371552027332553,7,2014
New Jersey,NJ,34,Northeast,1.9469525959368017,7,2014
New Mexico,NM,35,West,1.2387868432294002,7,2014
New York,NY,36,Northeast,1.5481817304909828,7,2014
North Carolina,NC,37,South,2.777630813184495,7,2014
North Dakota,ND,38,Midwest,8.075956849416288,7,2014
Ohio,OH,39,Midwest,3.965635310963078,7,2014
Oklahoma,OK,40,South,3.2454856027330337,7,2014
Oregon,OR,41,West,6.978023867661731,7,2014
Pennsylvania,PA,42,Northeast,1.7312661498708026,7,2014
Rhode Island,RI,44,Northeast,2.179851105993258,7,2014
South Carolina,SC,45,South,3.578454830648181,7,2014
South Dakota,SD,46,Midwest,2.5976707689766343,7,2014
Tennessee,TN,47,South,5.1253481894150354,7,2014
Texas,TX,48,South,7.115839243498834,7,2014
Utah,UT,49,West,3.4599185492011575,7,2014
Vermont,VT,50,Northeast,0.17285680915672952,7,2014
Virginia,VA,51,South,0.9238911064268773,7,2014
Washington,WA,53,West,4.951897047186704,7,2014
West Virginia,WV,54,South,5.083625641807732,7,2014
Wisconsin,WI,55,Midwest,2.8415090717097025,7,2014
Wyoming,WY,56,West,3.6451602213606327,7,2014
United States of America,US,-99,USA,4.548607670201177,7,2014
