State_name,State_postal_code,State_FIPS,Census_region,AWWChg__Changes_in_Real_Average_Weekly_Earnings__Private_Employment,AWWChg__month_updated,AWWChg__year_updated
Alabama,AL,1,South,-1.3722066004963729,11,2014
Alaska,AK,2,West,-3.650558715296248,11,2014
Arizona,AZ,4,West,-5.479559379711574,11,2014
Arkansas,AR,5,South,-3.917262343515504,11,2014
California,CA,6,West,-1.8767988215761422,11,2014
Colorado,CO,8,West,-3.0996130557125467,11,2014
Connecticut,CT,9,Northeast,1.2293016977169557,11,2014
Delaware,DE,10,South,0.7302695798549808,11,2014
District of Columbia,DC,11,South,-5.911760209371842,11,2014
Florida,FL,12,South,-1.5718548009988065,11,2014
Georgia,GA,13,South,0.9707683106866316,11,2014
Hawaii,HI,15,West,-0.304044384823976,11,2014
Idaho,ID,16,West,-0.3823735124850347,11,2014
Illinois,IL,17,Midwest,-0.27064847931833613,11,2014
Indiana,IN,18,Midwest,1.0960341673413643,11,2014
Iowa,IA,19,Midwest,-1.2887598253941812,11,2014
Kansas,KS,20,Midwest,1.5675769261896066,11,2014
Kentucky,KY,21,South,2.664930536842336,11,2014
Louisiana,LA,22,South,-0.4626506693523491,11,2014
Maine,ME,23,Northeast,2.115021499172687,11,2014
Maryland,MD,24,South,-1.7723680330025249,11,2014
Massachusetts,MA,25,Northeast,0.09399681261224035,11,2014
Michigan,MI,26,Midwest,0.26199609628982934,11,2014
Minnesota,MN,27,Midwest,-1.2268260014422716,11,2014
Mississippi,MS,28,South,-3.569751596685722,11,2014
Missouri,MO,29,Midwest,-2.9890578145212565,11,2014
Montana,MT,30,West,-1.3274984280267854,11,2014
Nebraska,NE,31,Midwest,2.0784202585273137,11,2014
Nevada,NV,32,West,1.8196752880567546,11,2014
New Hampshire,NH,33,Northeast,-2.521159302878262,11,2014
New Jersey,NJ,34,Northeast,0.7277591953510409,11,2014
New Mexico,NM,35,West,-2.698546916982314,11,2014
New York,NY,36,Northeast,-0.5644485421179013,11,2014
North Carolina,NC,37,South,-0.4196337252429405,11,2014
North Dakota,ND,38,Midwest,0.6979478380749526,11,2014
Ohio,OH,39,Midwest,-1.3488553700264139,11,2014
Oklahoma,OK,40,South,-0.06588553878148495,11,2014
Oregon,OR,41,West,-2.634078147745955,11,2014
Pennsylvania,PA,42,Northeast,-0.20187017758982462,11,2014
Rhode Island,RI,44,Northeast,-3.760463155902949,11,2014
South Carolina,SC,45,South,-0.19738428434742383,11,2014
South Dakota,SD,46,Midwest,-0.612767687635607,11,2014
Tennessee,TN,47,South,-2.5742046436048382,11,2014
Texas,TX,48,South,2.5358294318116537,11,2014
Utah,UT,49,West,-0.32583534585157725,11,2014
Vermont,VT,50,Northeast,-1.2950447852379199,11,2014
Virginia,VA,51,South,-1.0886066399361516,11,2014
Washington,WA,53,West,0.8921269497891071,11,2014
West Virginia,WV,54,South,1.3704679268848663,11,2014
Wisconsin,WI,55,Midwest,-0.6775667845259958,11,2014
Wyoming,WY,56,West,-1.8849525298083925,11,2014
United States of America,US,-99,USA,0.022501837934174596,11,2014
