State_name,State_postal_code,State_FIPS,Census_region,CORPINC__Corporate_Income_Tax_Revenue
Alabama,AL,1,South,6.355905511811022
Alaska,AK,2,West,-20.666416510318953
Arizona,AZ,4,West,-5.455161290322586
Arkansas,AR,5,South,-5.4717026378896865
California,CA,6,West,17.539007463663747
Colorado,CO,8,West,13.610559006211176
Connecticut,CT,9,Northeast,13.539518900343662
Delaware,DE,10,South,-12.414332247557013
District of Columbia,DC,11,South,-7.317136659436008
Florida,FL,12,South,-0.15421686746986962
Georgia,GA,13,South,16.156900726392266
Hawaii,HI,15,West,3.619014084507044
Idaho,ID,16,West,5.316666666666658
Illinois,IL,17,Midwest,-10.086497150372642
Indiana,IN,18,Midwest,9.916601815823611
Iowa,IA,19,Midwest,0.5283208020050223
Kansas,KS,20,Midwest,-2.7159420289855185
Kentucky,KY,21,South,-7.94635568513119
Louisiana,LA,22,South,104.37642276422766
Maine,ME,23,Northeast,7.4554285714285795
Maryland,MD,24,South,-4.447540983606546
Massachusetts,MA,25,Northeast,11.801125319693085
Michigan,MI,26,Midwest,-1.5081473214285768
Minnesota,MN,27,Midwest,10.249428104575165
Mississippi,MS,28,South,15.594956140350892
Missouri,MO,29,Midwest,-7.9232911392405185
Montana,MT,30,West,-4.855555555555546
Nebraska,NE,31,Midwest,11.440068493150669
Nevada,NV,32,West,#N/A
New Hampshire,NH,33,Northeast,-5.82253521126761
New Jersey,NJ,34,Northeast,9.195271763146273
New Mexico,NM,35,West,-19.579026217228467
New York,NY,36,Northeast,-12.872385103011085
North Carolina,NC,37,South,-4.300444444444452
North Dakota,ND,38,Midwest,10.237179487179482
Ohio,OH,39,Midwest,-97.65576036866359
Oklahoma,OK,40,South,-30.47093235831809
Oregon,OR,41,West,11.562179487179481
Pennsylvania,PA,42,Northeast,10.311050477489747
Rhode Island,RI,44,Northeast,-18.09718309859155
South Carolina,SC,45,South,-1.0068965517241346
South Dakota,SD,46,Midwest,-20.690625000000008
Tennessee,TN,47,South,-7.65030769230769
Texas,TX,48,South,#N/A
Utah,UT,49,West,11.494025157232702
Vermont,VT,50,Northeast,7.743269230769223
Virginia,VA,51,South,-5.172153465346529
Washington,WA,53,West,#N/A
West Virginia,WV,54,South,-9.615384615384615
Wisconsin,WI,55,Midwest,-2.6226321036889377
Wyoming,WY,56,West,#N/A
United States of America,US,-99,USA,2.318610191925874
