State_name,State_postal_code,State_FIPS,Census_region,HPChgYr__Housing_Price_Percent_Change_Year-Over-Year,HPChgPeak__Change_in_Housing_Prices_Since_Q1_2007
Alabama,AL,1,South,1.6432176994952252,-4.769571342322399
Alaska,AK,2,West,2.3601625313391494,6.178818043224821
Arizona,AZ,4,West,6.568623055194367,-25.473472971278067
Arkansas,AR,5,South,1.9154662023112223,-0.12410797393732631
California,CA,6,West,8.116654954321856,-21.163207788880346
Colorado,CO,8,West,6.9630900155028375,16.425519692672253
Connecticut,CT,9,Northeast,-1.270883054892602,-16.932730923694773
Delaware,DE,10,South,0.021742675436198233,-15.692293594795203
District of Columbia,DC,11,South,4.838483146067429,31.56395041419422
Florida,FL,12,South,7.85448127083741,-28.65436383096034
Georgia,GA,13,South,6.664374534410644,-7.083312534318386
Hawaii,HI,15,West,8.137450199203178,-0.09661835748792091
Idaho,ID,16,West,3.7660691653087275,-12.131549695273858
Illinois,IL,17,Midwest,3.5543130990415284,-15.54138941882649
Indiana,IN,18,Midwest,2.6686567164179165,1.6912069067470892
Iowa,IA,19,Midwest,3.3985782452040203,6.993147924224119
Kansas,KS,20,Midwest,3.1856796116504826,3.326750721555527
Kentucky,KY,21,South,1.706379707916983,3.780392156862744
Louisiana,LA,22,South,4.160401002506275,7.030646407416952
Maine,ME,23,Northeast,2.962532674992735,-3.4191527039912795
Maryland,MD,24,South,0.37796976241901703,-17.466424950978578
Massachusetts,MA,25,Northeast,4.689074893728895,-0.6281198003327826
Michigan,MI,26,Midwest,6.308941148382496,-6.5872974248701865
Minnesota,MN,27,Midwest,2.6543591555516333,-8.39475032514877
Mississippi,MS,28,South,3.122022308166583,-6.528476350149893
Missouri,MO,29,Midwest,2.8353898661065857,-4.5704818983579365
Montana,MT,30,West,6.153160892112863,8.208471168190968
Nebraska,NE,31,Midwest,4.775512180946384,8.370904718966043
Nevada,NV,32,West,10.3494623655914,-34.95434995849996
New Hampshire,NH,33,Northeast,3.5371552027332553,-11.523764544244564
New Jersey,NJ,34,Northeast,1.9469525959368017,-15.973487344470715
New Mexico,NM,35,West,1.2387868432294002,-11.841289522628628
New York,NY,36,Northeast,1.5481817304909828,-3.275450202131569
North Carolina,NC,37,South,2.777630813184495,-2.758171897682349
North Dakota,ND,38,Midwest,8.075956849416288,42.97443917697081
Ohio,OH,39,Midwest,3.965635310963078,-4.505946935041171
Oklahoma,OK,40,South,3.2454856027330337,10.579687418326289
Oregon,OR,41,West,6.978023867661731,-8.016678002188248
Pennsylvania,PA,42,Northeast,1.7312661498708026,-1.6831485366097354
Rhode Island,RI,44,Northeast,2.179851105993258,-16.925756586109298
South Carolina,SC,45,South,3.578454830648181,-1.8491459666448273
South Dakota,SD,46,Midwest,2.5976707689766343,14.246953322602906
Tennessee,TN,47,South,5.1253481894150354,3.294351828813147
Texas,TX,48,South,7.115839243498834,21.422446135705854
Utah,UT,49,West,3.4599185492011575,-4.187350912255816
Vermont,VT,50,Northeast,0.17285680915672952,-0.3902257734832326
Virginia,VA,51,South,0.9238911064268773,-9.814844501442776
Washington,WA,53,West,4.951897047186704,-9.499012390016158
West Virginia,WV,54,South,5.083625641807732,7.409716809560929
Wisconsin,WI,55,Midwest,2.8415090717097025,-5.89010409803663
Wyoming,WY,56,West,3.6451602213606327,6.063277832412095
United States of America,US,-99,USA,4.548607670201177,-6.226389938224964
