state,1995-12,1996-03,1996-06,1996-09,1996-12,1997-03,1997-06,1997-09,1997-12,1998-03,1998-06,1998-09,1998-12,1999-03,1999-06,1999-09,1999-12,2000-03,2000-06,2000-09,2000-12,2001-03,2001-06,2001-09,2001-12,2002-03,2002-06,2002-09,2002-12,2003-03,2003-06,2003-09,2003-12,2004-03,2004-06,2004-09,2004-12,2005-03,2005-06,2005-09,2005-12,2006-03,2006-06,2006-09,2006-12,2007-03,2007-06,2007-09,2007-12,2008-03,2008-06,2008-09,2008-12,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12,2017-03,2017-06
US Average,2.0670848689915844,3.085361228112873,3.337132148920045,2.7478109900265064,3.7209625983371852,2.092054143247131,2.633779486904357,3.4456878062796674,2.3494560637912825,4.472116119656134,4.485801728276244,4.10803732737366,4.7713951218812065,3.8904858769056374,3.171533553232625,3.426527197967467,3.5493522291355086,4.841446337493531,5.041551613664051,4.410448078622767,3.521989925324852,1.0744473098620404,-0.9357429178332523,-1.3327378189053196,-1.583035827014061,-1.8561828120627548,-1.0803471180272513,-0.7943867844494693,-0.8673076927228809,-0.31600986098486544,0.6090086174028118,1.146952511496053,1.671412563077777,3.554094500406562,4.593668736893621,4.878046559088901,6.244977957999919,5.487440880779622,5.363009110866594,5.36179702988701,4.210952714761636,3.979012229781592,2.7391431669851674,2.403129131810524,2.4542382700261567,1.8223432070332417,1.7162524165101816,0.29909096882825825,-0.3585551473557571,-1.3327359720881007,-2.3781893321341094,-1.7933383640294498,-3.5049973880806933,-4.737394906906328,-6.082691979716794,-7.999426668525583,-7.873293997407359,-6.439113255220229,-3.3069818353735085,-0.4553059817332445,2.1032404327809022,3.5940791056874444,3.1409008115924113,2.0869528129103068,1.0498693595875197,0.6620908403410272,0.04989111745463496,0.44876320847367196,0.7503757203271755,1.1870088448831477,4.028948858046231,5.104287811453486,5.9558096663785784,5.192927003447989,3.168612878334037,3.2135521803773397,3.6388440396060346,4.694425652498473,5.102310312637673,4.911001809458606,4.074036332586533,3.291276050523474,1.8878406040581293,1.3340828646618554,0.7301689117129166,0.18681946295704666,0.9070979732506873
Alabama,3.096687194002495,1.8907622252050276,2.782937771436712,2.5546116670924124,2.90760907086442,2.4674326850644595,2.0296712990799732,1.947432422931207,0.7299916644353847,2.1241627280362088,2.2677736255123015,2.6351522407041044,4.277384180042059,3.362477114734673,3.122043466921281,2.435279522118784,1.1003033974220553,1.8355640063637393,1.2626720252466328,0.5450851785739028,-0.19670624243189058,-2.7693305360526366,-3.251010460772167,-3.072844351953886,-2.759508687289324,-1.6712013618762895,-0.7071510827269352,-0.3289208602551161,-0.6389645771719986,0.2999387977232191,-0.2639334611850872,-0.0821855387411408,2.5007769609499673,2.3692908671754886,4.403867138285957,5.061744370809648,3.1653887985222715,4.728393778922428,4.153185353980421,4.080662539715705,6.395602517628237,5.246124471239084,4.820971798172093,5.373971547431204,3.2527758053367926,2.718476713471213,1.9806804138746532,0.18463471646692428,-1.0249651384431215,-2.7237171469457153,-3.986453911198772,-3.843627386180383,-5.380319459509374,-5.663178727606392,-6.659824937711158,-9.27509033441248,-7.807612271074123,-7.242991519829456,-4.473353070432768,-0.29536024116382203,1.8147998447413702,3.3959843010835917,2.5918003146509787,0.9978542096919084,0.03228061932370258,0.5113798111433875,1.6304044485654372,2.13109987175543,2.44420018303295,1.1080529647622426,0.36547702544023164,0.863501305615381,0.6575215445659,0.9017090247425361,0.8050593602124517,0.9711948672173043,1.0814417225770785,1.9842230957514466,2.6762291934595073,2.6452398994535544,3.4448895294121393,4.491072329189671,4.693386515469319,4.3988809787428105,3.5937106109948025,1.3450715436929621,-3.1071952531883302
Arizona,2.4515366814670805,3.315252168840868,4.261867372936953,1.7668510497366434,-0.5691413708632594,-1.087911428919583,-1.4721038154730033,-0.8809351923810453,-0.00423830050755452,2.4597713247721855,5.407318891837665,2.0688620308374026,-0.33993040221076193,-4.004429011800186,-6.985152877152399,-2.635745605092053,0.39483343173850344,7.973593319088552,9.60260559164161,12.33613500802674,14.084326681853751,7.6411576798745315,8.959820658879412,8.354809201151253,8.879898219451182,13.135175474031888,14.365969483980686,10.128060529208472,6.457768982918749,2.2939045546222765,-1.173932212001066,1.0311102941815455,3.731358939877183,6.533124116707392,6.608811650124139,6.706091535010832,6.154594583684175,4.414840954536013,7.1292228112829665,2.992520845599817,-0.9409375063030366,-1.696784890724742,-3.8508264935519105,-0.6662132793823612,2.7323891318273628,3.471513739537712,3.109568859878537,5.3722557094463745,7.009967610720162,8.079674040106227,9.539186823893973,2.5309208238988767,-4.025275231571756,-9.23043345739515,-16.626253077058013,-16.94768697457813,-12.999334026004053,-12.008887940589817,-0.04133019983135476,4.440667554407886,1.5972530877213669,2.8162067803034883,-8.452650050543197,-13.32443487215968,-16.425516666151086,-14.83093336057034,-8.560936464459243,-3.6880991771790295,2.352387325190082,2.668883321445631,2.8136703544228516,3.5512161894019427,4.178867348563659,7.74012426295733,10.190575071660598,12.971789007925349,15.477248460096455,12.649905787544096,10.176266032286994,6.018763066706916,3.310283809747717,2.127244489570588,1.333263641078555,2.009829162004005,1.4433685966312564,1.4104650457385948,1.9803532655813039
Arkansas,2.895913549225947,3.2516187791066096,2.7601014429300936,2.5301022471259236,1.7420973976495235,0.9867153792722695,0.7805878299210421,0.7753887356636778,1.9051472153568005,3.0090902225885197,3.916915438104123,4.700603800595754,-3.10664538768453,-3.2274657244313465,-3.3636064889522395,-3.887172431531526,11.31342014528588,11.160475414938775,10.599047534800244,9.37741123341742,0.4826599193943342,0.02544453749621361,2.0001145454930196,4.931038502753314,7.846869862629825,9.788566915927346,7.988632105838405,5.292171602648422,2.8041255968054615,0.10606901484902537,-1.931089125355201,-1.5400462728427151,-0.781683782180776,1.9506159795450535,7.7740641323720165,13.02792763844266,17.048350569908635,19.284013513354967,16.28041912295311,11.328051614808993,8.264594822989084,5.154391866125015,3.8604275408728865,3.9414791418484127,3.1742359263418387,2.249109109650661,2.0142373450757303,-0.15184890786032015,-2.4046408256812133,-4.389305488023583,-6.734618518145642,-5.899641889560184,-4.773115294639149,-3.511870581349082,-2.912265065652614,-4.612154688938242,-6.731935639509865,-7.720258639073249,-6.336419134870429,-2.6317580715565305,1.5747061966200695,2.8685981167065746,2.6520223034261923,-0.19933735305304365,-2.2832888328103214,-1.5250248448121941,-0.3003821112169679,0.13937278417193727,0.7010411463679072,0.055109280069923876,-0.6608393606469225,2.871383845440777,5.016569115874944,7.21363419827577,8.634106690281811,5.139538151238987,3.563407696088477,2.6648592686922252,0.893248085262162,3.0959020995845203,3.0102448770683727,2.591585084232372,3.5138137985434166,1.1978674704957888,1.2139565050784318,0.26068280591332893,0.23850914468434448
California,5.2441524051553365,8.82186351805066,6.766744437781376,3.8016287945052873,2.0785887939720378,2.7496166867275313,2.059995760448746,3.4570292092772577,3.5540645318069517,4.536451950855894,4.803256099552758,3.2998700234958536,2.9196759008355255,3.777858129164498,4.65309146158491,5.577137285209173,8.083946620352217,7.369126946223579,7.8282467359045915,6.928145721554846,2.7871642369830116,-0.4029278673164779,-6.612556516868049,-8.7551287212859,-8.79639256855284,-8.624521912303779,-3.6970474525538255,-1.1185761547662045,0.940514448973369,2.9064483877976945,2.2911222976576164,3.3032655504163912,0.20927944422626868,3.5570896453177743,4.15132704195332,4.839533459775582,14.875619093561953,12.280683655150806,18.289948804512978,17.794870211898957,11.094292357292897,11.13490465093509,4.073385176366657,1.7084770592542387,0.45471797479982035,-0.963601158474251,-0.8109748537421274,-3.4887787694462657,-1.8697052788104043,-3.8364391111403635,-5.273673621329956,-1.5393494481876393,-7.672686094449596,-9.39559352422627,-10.060726920312515,-11.778234165233508,-7.172341747251912,-0.5753948006349432,4.129052338935221,5.858823793986816,5.610295960450548,1.1929003223956747,-1.4477028150348503,-4.330379881031654,-6.843855848812172,-7.27325787531668,-9.000476609672745,-7.367961915978023,-4.693339403223846,-0.21282446844644118,4.423057959401947,7.766630150514055,11.178126936339568,8.219934318501862,6.536253285407037,4.274362265698571,2.359157350965608,3.5138707792888018,4.615928932315262,4.889700386988293,5.06595640977451,3.883175117063884,2.12447940342435,1.3619217070137353,-2.372704228118666,-3.170196642842502,-3.6698355424415663
Colorado,4.653510342235583,3.337549590420393,4.743479776087267,5.319157111061236,5.676865894903007,5.7425176069195185,4.990903050839904,4.718479046315446,4.894444957735308,5.859938578170896,6.950556511057894,8.241192907040034,8.742451500702419,8.996038134855254,8.2790477293214,6.736882744041278,7.21400222454833,6.697636038247872,5.876045929792018,5.993724283105405,3.6785067743626687,2.8884877363571277,2.1682270294578627,0.2715967788970949,-2.526501595111448,-5.044429463289882,-5.670535491726298,-6.3189677545451515,-4.124000965470762,-3.698063846010888,-4.885884546185317,-3.8129099345091033,-2.970294690053012,-1.1362406517776493,1.699881689862567,2.5666685173431625,2.2800981163513487,2.4480263467882604,2.283853465137322,2.1307675005285986,1.8877713614477993,1.9576235809608207,1.237445332215244,1.2453043338367102,0.8366394321615069,1.8038221000206862,2.6782684545056368,3.542655360939678,5.813833628445705,2.854266478558883,0.553109870038804,-2.837211570638323,-6.127677122915353,-7.81481033391769,-9.512643100963697,-10.130237851605644,-10.308448735616608,-8.671326562883836,-4.717273920624505,-1.859274092962877,1.7278769913869718,4.888770939688288,4.378179481876756,5.30512990936685,3.200802349317597,1.6629472601017203,2.8514233443183015,2.9944681022951576,4.5622090419790435,4.272254140221839,3.284306698438228,3.198119674209786,3.276205336936175,5.013126670699677,6.470766237156599,7.335171980327059,7.718292911666793,8.783951531127473,7.006766870745104,6.276396778733766,4.98567341845032,1.1527948938294976,0.17623958096061143,-0.4108033691097086,-0.4989384096924736,1.0314095089472584,2.9680072023562163
Connecticut,5.477275368432713,4.46565212987001,-5.344128675842965,-3.8550565768583276,1.8958017071046607,2.3019660910874395,-6.532528340001216,-6.401598673356886,-5.385674662225157,-5.372268130870864,15.392073345742025,15.148634907557504,14.954593817751825,15.091439686778788,3.939456215708205,3.3013273943417825,2.7735138729659896,2.0033367527065304,2.717525711637603,-6.660329227189547,-6.438549396842277,-6.870294877481969,-10.037448243446569,-2.037655187831183,-4.158182651543893,-5.079925459299648,-5.166030247833921,-6.04159101692787,-3.938053005022345,-3.9177839037870728,-2.9699337890890383,0.33867324358684747,-1.19266695945342,0.9780257728777805,0.32933005315447805,-1.9481025890410835,-1.1183868724009665,-2.4899228949271905,2.338792163707742,2.784322133489532,2.7220000992980746,3.4956024105686967,-10.203301248231064,-12.958656378546921,-12.240599319607055,-11.656499543064374,-2.7457559847574387,0.0956910473386243,2.0076610014649616,-0.6388145889285457,12.381828811534037,14.870291753365661,7.399074683530698,6.581547546256254,-7.93950662572023,-10.76137524563888,-8.959533392321852,-8.784786441159692,-5.5994536027707404,-4.063310867004613,-2.97952596106984,0.594415667672831,2.5802277375656573,3.2193045773315254,6.954570644352308,8.098901418216462,10.835690057254498,7.369736381977146,8.342645909729958,3.299790736069292,0.5177979931274685,5.357640180322957,1.7204327087712703,5.607363988876082,2.0848609424860336,0.03595663665704845,-0.269328922966098,-0.4133978650162294,1.9927674485856817,2.323237390568969,2.9605041526574576,1.346747862130925,-8.732953470220918,-9.949232774227152,-11.14478306410544,-9.834191381659,-0.47219927962999275
District of Columbia,21.150754000154897,23.091238350476637,19.195772335351677,-2.878554356112918,-10.757591335238898,-15.50799410059228,-16.716102248134334,-5.091286183315382,0.17563008125571145,-3.6994040835313555,1.5677919050198033,-0.36251833260299243,0.02822343149991844,4.889700396985555,3.422142644258276,4.446308635213076,3.8824337429490026,4.874280803261943,3.361346256699277,3.777770183320638,4.752989341109267,6.311724433184648,6.37314586940902,4.085345220232557,-1.2164720019652697,-5.590218220059398,-5.932427037439047,-5.561488061381835,-0.6835533525248076,1.700824152575154,0.12486956701690374,2.206139730049592,2.31716352835914,3.542218660194835,6.9284219799864974,3.7479366551824294,5.1647023766123485,7.023099860478066,8.860485118933212,12.705304473887344,8.691800938415074,6.221007569730071,0.6164894000163609,-3.0710217634366597,-0.5949919563002297,0.8591864443360747,3.2074366922414894,8.745338038596124,6.602851507331857,2.123538647395351,5.199654130474851,3.2506026589474804,4.01016911700391,5.665869945723028,0.04278797176404291,-4.238105624907548,-7.0963890520646,-9.390536770335354,-6.467156561249847,-2.7886595878667,1.3547745249312804,4.899505924585446,-4.390019654127453,-10.641228647195277,-14.770566959394221,-14.093619907892949,1.5821875000931442,11.9651731830469,16.9954608440314,17.542545324172583,10.815813789791504,8.608177315101313,10.114642452701593,6.68467765383903,4.360152659172767,1.9357150805086683,0.6914116761099123,3.9977064412116183,5.217407394135333,7.518311806335159,6.81271369122667,6.162406904651635,6.64440609215954,4.331075971773388,4.931191545859772,6.711347847763192,5.466402869226301
Florida,3.8896070398501617,3.5197293508756213,4.398874164133197,4.237014636421412,3.9946897493741607,2.9731610047530674,2.763760695952268,2.432371736272589,1.096749713450762,4.783827740486378,5.123607935416525,6.544913992815508,9.126001479567607,4.390203900738641,2.5670070955620528,2.86324462867098,2.9947374506765527,5.722373158400962,8.198193487471253,4.58465575973229,1.2583187605759585,-2.196860098897619,-5.212061005301626,-4.068354729532513,-2.7570744773238696,-2.5786351257206044,-3.75249625428917,-4.85841857113356,-3.9276307987007373,-3.946421356302754,1.5805424728926942,6.171955608761079,6.318659940699198,12.621918339591904,12.000707238397261,11.332547522200146,10.621417950391447,8.739628184269948,10.22005385368226,8.933537505731877,11.781681475537873,10.364128103500342,7.419890101939415,6.28134061772999,3.243919645879376,0.5082566445064353,-2.3477864484643547,-7.124310856328697,-9.402152776083954,-10.969284707528018,-12.095482901313774,-7.791038118477873,-8.692381683643552,-9.125612405140657,-9.51050653666905,-11.13350048755479,-9.900826348985634,-7.988548016366291,-4.407604185309386,-2.737701809800244,0.1831808421990239,2.6079571779864867,2.717563418320087,2.9346751416720154,1.8617708845047303,1.992155317073342,2.5815722689238143,4.3918536828999155,5.44694999289502,5.340595115192989,5.385244454875409,3.810218089543455,3.5051376722128142,2.5933890341572674,1.7562609560772602,1.2242619838129571,1.407702756099634,1.1695409983367344,0.6957110264538696,0.4025061347814109,-0.7309555756861777,0.7390937403401688,2.2150199432044175,3.8254062133853886,4.69151467614531,3.8270997799684188,3.263874914390151
Georgia,2.6908755340675534,1.728104874814199,2.9906314937769087,3.674710164493411,2.706337652651695,3.0105900997258237,1.7115629490847577,0.507061506464915,1.2277415294384542,0.9435549892648767,0.21067035620192057,1.4989293633761274,1.553699713512907,1.4225073059044862,7.033648942290293,4.569014485361726,7.122771189143403,7.819635536911328,3.4551209437337986,5.538319998616094,2.286859988831521,2.694376090421792,2.4619462042373783,-1.2331559476558875,-2.374531407158297,-5.20853374753401,-3.2180814110400906,-3.541689528297346,-2.6420507363699413,-0.4303254625372302,-3.447169340906539,-0.06894896001286722,0.5918137191392652,0.015451577288069156,1.4391917198760555,3.178086167277762,3.3463890359097053,4.456235167100477,3.727492029587514,3.255808816071179,4.907070288241716,4.529970288589309,5.815449234069043,10.347583275088807,8.20718816535582,7.336828899062227,7.210325345537061,-7.017378385698134,-8.294040920316013,-9.59390877443288,-13.16554778275583,-7.293566247391448,-5.900871449969499,-8.868169138831963,-8.303882939843971,-10.139240010166297,-14.69159066013195,-12.972133170445503,-11.408049722657761,-6.636382885174282,-0.7888247674264339,2.42235118787594,3.150407324427409,-0.06992667485332643,-0.6796710420121673,-0.9196444749049,-0.6725918207301009,1.257894189845119,1.052397283762297,0.9302043916511293,-1.5389158715110953,-4.549748549168271,-6.041809813694613,-8.2841268622092,-4.647080938935365,-0.9253559860599697,1.6097564490885032,4.977745733620856,4.732755827685735,4.4992491237581165,3.9087045341213806,3.4268214861075488,3.1725925083926994,3.632741191671947,4.279225686438159,3.8041841999396238,2.3085135425260805
