state,1995-12,1996-03,1996-06,1996-09,1996-12,1997-03,1997-06,1997-09,1997-12,1998-03,1998-06,1998-09,1998-12,1999-03,1999-06,1999-09,1999-12,2000-03,2000-06,2000-09,2000-12,2001-03,2001-06,2001-09,2001-12,2002-03,2002-06,2002-09,2002-12,2003-03,2003-06,2003-09,2003-12,2004-03,2004-06,2004-09,2004-12,2005-03,2005-06,2005-09,2005-12,2006-03,2006-06,2006-09,2006-12,2007-03,2007-06,2007-09,2007-12,2008-03,2008-06,2008-09,2008-12,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12,2017-03,2017-06,2017-09,2017-12,2018-03,2018-06,2018-09,2018-12
US Average,1.5056879197100563,2.9819118324998586,4.060584018332284,4.2978872370715795,5.021498374494092,3.9927216216059396,3.3951497726042357,3.4557529511639853,3.0282112450850414,3.7504161033649024,5.420665169627276,5.399031718742114,5.909004642363175,5.133393049395547,2.9722498653901916,3.039250655794705,2.9740468165470437,4.542092312381161,6.406173316790629,6.252740714635448,5.317493203864624,3.058190189455595,0.11074352467984301,-1.0895509578168452,-1.935507908353613,-3.545144191976905,-6.052325466192482,-5.593746390327885,-4.686415691119968,-3.259554858711386,-0.02662584753221424,1.038705141595785,1.9326230701919147,3.750655474644514,6.010265332468077,5.830311838069966,6.065346046484387,6.344903504018997,7.619086274514308,8.172561854229093,7.702499508959623,6.705789039362308,4.927091745767467,3.969194369545613,3.523347786004744,3.3693215103278176,2.458842917721597,2.1298583780551414,1.5091942447236404,0.5246801063465827,0.035768321575750946,-0.6722352767875085,-1.8569814485071428,-4.324295242314492,-9.375500309159754,-10.982490133201011,-10.833184001168375,-8.007936018881342,-3.1433338506045834,0.07261610920373948,2.8800657147077113,4.499583931528049,6.715931989335003,6.116715211759114,4.275313286166028,2.650167626315702,0.9332651373653742,0.9962810804754095,1.900397677383139,3.6959233471220028,5.7672415892215145,6.202597468281663,5.887712195524868,3.5610290500771455,0.1947500258035667,-0.05290974345097303,0.5430736752328653,2.1850649512812317,5.343982972327919,5.750424059259808,5.1804213262035725,3.91765170351863,0.7483744346005249,-0.05605400958892126,-0.6747135874068564,-0.6837255596847696,0.2723474733540006,0.3646907170426777,2.0168761318345285,3.38665912135009,5.0341561667437835,5.872674124650857,2.877917355802344
Alabama,2.6251226143418345,-3.2214833305809814,2.218237237017573,1.3004191043256497,2.611939548354788,4.49647748860457,0.06780491122758862,1.2090654375911811,0.8970522515616003,0.8993557596285888,4.045945144306028,3.4265478480972873,4.046989454915322,4.056142057137104,1.4689873946421426,2.8847617345339835,2.1137922967591782,1.497312173526838,2.9904217184173696,0.47167804978938876,-1.0466204237248466,-0.8415995084016711,-1.555025622968597,-2.087914250321554,-1.5276249398237636,-0.9473698065395681,-1.7080306154151854,-0.7643209892701982,0.1916080936606267,-0.5161664358320616,-0.6610686988433734,-0.04811346593173836,1.2224168635166388,0.6495403169873354,4.569468859471613,5.379820114525299,4.824220119029842,7.7512596757957395,6.99794420280822,7.483475677686144,7.207907280334471,6.699716474830389,6.1122534602531795,5.986024406316059,6.348328748374484,4.849416946841231,3.3172081613478928,1.5343485733783575,-0.11318807092720826,-0.7165104539835597,-1.9253621607307148,-2.058750533730578,-3.7756760808469148,-2.490925989756148,-5.055962969792208,-8.11928257067587,-6.372039857050213,-8.88238398016997,-8.258696428737325,-2.1310509254463836,-1.9428149492221465,-0.5565014852611522,3.3731370358858586,-1.3531784862199498,-1.541961970374476,-0.24186042344285322,0.5796887275442051,2.950748598236704,2.6206482180143267,2.240267948095808,1.3218734291391805,0.6497535879119591,1.528482666242713,-0.20126415110475504,-2.2962829540423937,-1.5537499813638571,-0.8137591339785588,2.5790155393829473,4.278135368761306,4.867184814420778,4.18146385151407,2.1080131250005523,2.9217435030308767,0.7296934172133523,0.9763847314067825,2.310938577135157,0.10202364547376558,1.8474234542145376,1.5249497133556067,0.6722514570671085,3.812690155980335,4.9571608839832555,4.625908283010355
Alaska,-28.238694710923973,-25.22668520077393,-20.660704408808876,-12.351729300618377,16.886559933077596,9.333895493607967,2.9211691279096956,-9.348643057500428,-19.20745847529792,-10.046838169762411,-27.3232955672832,-24.83281904563233,-25.268754326994447,-38.8258952167493,-28.727214394690055,-22.71770479106668,-0.4732081656745783,20.50812182801772,47.55376174142759,46.671502024951735,25.35629400339311,22.005172501160512,5.710945884693844,-2.3915654531154398,-12.31475746362363,-17.02456051071318,-25.532984412885728,-28.4622040815104,-21.807056082913935,-16.311695505413052,1.1582554522889696,12.457675546032723,19.544299041062807,22.709761960773488,12.41942514300024,15.11263052441659,17.71138238909963,19.833495637497037,40.073353908380284,39.74522088014819,45.951637741792666,38.56541975830726,21.732948351579815,25.01934777317409,8.26329953730383,5.1892153956183735,42.59496073873516,30.95838416405956,78.99602396623952,103.78168310708634,115.00100519514508,176.37382184693945,101.27641707968628,65.50367483722758,-36.220883151706836,-68.39488200993313,-67.20344729810459,-56.261385424929564,-9.606485188763656,30.109791240515122,25.158392036527243,5.350295553076019,12.627703142637658,44.42733575971278,59.685659133995195,65.51733937181537,32.0214249598136,5.01010155454427,1.0566386196127258,-16.34639604968095,-28.33982529102,-25.315265681375855,-36.96428316956457,-40.37095285781675,-34.98740429587618,-46.71229646220115,-50.595697468315635,-48.59601940065231,-73.65791400159932,-67.33290362795358,-64.88225500099031,-58.18182594723367,-4.727832413794497,19.501378964261125,45.58737549285682,57.31698018113551,51.461153894565925,4.526426163257472,16.029087909455153,1.8240268219572535,11.36638958777021,55.578280307051756,40.2930436638435
Arizona,1.3399572665459012,2.4727705536191085,3.958417211002047,2.7695216309902886,2.257711100794994,2.1997200266714922,2.8327308597352214,0.4317271741493084,1.2055977543913083,0.9916127328329949,1.0907514054935434,0.47339430547272626,-1.0399664486114835,-0.7529334522028575,-2.6237000241361716,2.6716848233861277,4.701243060465086,8.601628970596451,11.013589758664718,10.193767162965342,9.706148155061703,2.610280673433705,-0.13687063168466201,-1.9144916682027315,-2.412638475344931,1.4096323564218642,1.5155891942358914,-1.0340663469114975,-2.8771491397848035,-1.9373917395483133,0.12497960526714107,2.9561679655015745,7.07019791065764,3.5956553283193595,3.5445446786551282,6.901719980579168,7.8473720594199365,14.154630123444937,16.266175435123042,10.71034736910877,6.389733889532829,-0.19379896251880793,2.62443661195638,4.224463110378364,6.399738414097535,9.131454247803626,1.4907496204451245,2.854215283645813,2.121004236040704,0.8271440247850863,1.338680352985756,-4.0663938202509655,-7.68137961641395,-10.805860883415399,-16.53720808115483,-15.234930065468719,-12.56237855450792,-10.521462247157253,-1.261003978410114,1.3968303619136468,1.7279172876931543,5.582778362780609,3.9426276796538526,1.4085442461111608,-0.48021476316595696,-3.6426162938574085,-3.618824305270766,-1.8644363655908565,0.2947814796564831,1.7026954010291968,2.8881624967437918,3.0547010767456704,2.6470849867279878,4.5583991741060235,3.2019817862270616,4.3893041460384845,6.659518203252363,5.917685614725019,8.29512552057912,6.963166262053322,5.771402508770353,4.733442045739266,3.1664896574706094,3.684027042500633,2.3814624185510924,1.9267943095167253,0.7468513128835228,0.6312769140430075,1.7891430563886868,3.123418684573035,4.318466127612808,6.803338237352557,6.875936694655155
Arkansas,6.544957251573829,6.6892872339257075,7.090124049307126,5.284082340809131,-1.0764997291810416,-2.3426805948142566,-1.8620191604519503,-1.5034414339581228,3.0371839123750646,5.77292516733784,5.901153911320204,7.554236492826122,3.1368842489375757,0.6395054463633641,-1.736091465508165,-2.39606529611748,10.016696092066566,14.33816392869584,15.742016745811297,15.105309900527983,4.851148135893732,-0.919609428811689,0.6695013522636116,1.554424105045874,2.6096862803201946,5.068376034607477,3.704553467855471,2.406771704505794,0.5011629013858515,-0.5611215366838717,-2.845641381824928,-3.770301844380038,-1.5685527752638724,0.8249947640380768,6.057830193319222,10.859863596843615,12.740762490897097,15.192367678291566,14.30563089721015,11.076137460800462,8.45771143984197,5.40033226199206,3.1445451664754502,3.317791807913211,3.1070960892584787,2.236280084177198,2.8202797183087633,1.5504996513577363,0.741150971028461,0.33206839930876475,-1.9904375186333565,-2.1226365603713058,-1.9413715437331354,-2.1193595182578293,-2.2532224920200568,-2.476957125312317,-1.896406177818316,-1.070482471213649,-3.814281148089428,-1.4408055568153635,-2.1287940893729407,-1.2604042373761088,7.4291927897519345,4.964291703429261,5.602598706737927,4.458242080544052,1.1555451526476528,1.820910526645099,1.2913705469062933,1.921186858292655,1.933071994694931,3.1042811290404346,4.254632674494626,4.436936329482808,2.2913029762424246,1.0730461693534428,0.765742233375022,0.6549284992945291,2.3355232243378934,2.5835087366511513,1.4568600508620217,2.611101418635625,1.9273167740619594,1.194641270852125,1.666125856478667,-1.1854025698701354,-0.8238481758601593,-0.14617758569786693,-0.43465294623096595,1.1370080565416378,0.6360702914532889,0.8598056874527048,1.239453273998529
California,7.672862852982952,8.107910230785729,6.3867828189171245,6.138478429972494,3.557803574410381,4.211783445590829,3.0357505714168185,3.3622313669086794,4.5067525420467165,4.0440452259536706,8.586761746162667,8.606499986108023,8.589683233979487,8.096658190900392,4.710062995214957,4.866393672099772,5.812255235381864,8.932538326933056,13.448393192642444,14.52380276882871,12.43929845432265,10.023176768519004,3.86564675290324,-0.56558174794842,-3.1511448709199197,-8.407619597612918,-15.505123627996717,-13.670225582236492,-10.631972976222283,-7.62681083983369,-0.27315540815614947,2.565984794030996,0.7389025818945475,3.9599769576433017,5.970310852980836,3.6629338492927217,8.659758912704989,8.516524811887265,18.178224343388234,19.446990345766384,15.570459737602551,15.18078357262713,4.7907682342717886,3.714190939443645,3.0202306282897435,1.0176598360676572,0.4634722324291348,-1.2063536992337986,-0.9369248904481838,-1.8696690288177715,-2.4799226619332786,-2.5060959281867126,-5.47349599749247,-7.778030599636527,-11.276751693020545,-12.023976013467898,-9.860263948835781,-3.9851562933437243,-0.225095622560476,3.2341184808702095,7.941651324938562,6.83145214669836,9.67950204231103,6.22437714859908,-1.5570218995777187,-5.447968985019487,-9.285384752257633,-7.138460342127259,-1.403982442618888,8.015153611279551,18.310230980312138,19.16059265455407,17.25496803810627,7.645062930488552,-0.08069676483164681,-0.009703074234255316,1.7060654700782663,5.7963348907910675,11.585130511827401,11.5128280016385,10.129393911248808,8.601454184992816,1.719685643121689,0.46022635428632563,-1.7213421009496972,-1.933211216536751,0.16992442852804582,1.1166594790904143,5.024612187606664,6.397891409275627,9.096871647826301,9.237507384241583,0.49310927336348326
Colorado,8.671996898530386,6.035864530062349,5.9942688584671275,5.275250536067961,5.1174084328660046,5.300283608714902,5.417770163122758,8.246922424198107,8.617507710749262,9.243679913579369,10.626821533667524,7.179911215203083,7.8368798496993906,9.223794541505221,9.369198539389718,9.479840668576012,8.579402087506201,7.188168307931066,4.459727654392097,5.786516158914905,5.289728991668091,4.77873155091078,4.106267867249834,0.39836519660412945,-3.065227164378901,-6.210543282763026,-10.216298111644434,-9.709873275705121,-7.957439349084819,-7.779876316780533,-5.9097277533013335,-4.222247023635512,-4.1045288236321875,-0.8854355513818385,3.241261885754746,3.4388368949996013,5.1441997069727154,4.543040872324119,6.084270944855234,6.085154905716808,6.454754743428991,7.469322482264827,7.694148387369297,8.209985511938465,6.430930521648609,6.071433454078845,4.75292231210212,3.9826642310260683,5.266953358896587,3.37578286086307,0.3303405839311187,-0.733465033106619,-2.6736017205888287,-4.121500408511723,-10.653377427299885,-12.74278045680548,-13.945335088648786,-12.633695468633482,-5.652127553486,-1.7589621508549262,2.2611032393824693,6.7238267077717015,10.453441146806458,11.379460981776761,11.58054339981594,8.142063420755228,7.136427083390526,6.482182320757997,5.810087404052469,6.857556159111961,7.451698229183547,6.864861714927044,6.655282964821732,6.709926700627868,3.833340461645398,4.874269674247109,5.570686625147327,5.68340971231239,7.6805116694137405,6.541543657103083,4.698366718739546,2.763489463652418,-0.43522368669176253,-1.3581454941978086,-1.2191290937192287,-1.3116250918022974,1.2952159299007067,2.7897951283345463,4.867711868417485,9.055317431303092,9.234869901604833,9.807538500911116,7.331920801504374
Connecticut,2.0393625342394426,6.866302265740852,0.813892237651963,2.108675588493475,5.698593814657187,2.952969026569328,-5.992342347588497,-5.0711654125316485,-3.1232237377459757,-1.9502078752837535,15.453897452282995,13.611801151458696,12.791848110312912,10.185631944154762,-0.12299201044806193,-0.20532463929460162,-3.5957683710873543,-3.006934175865372,0.5664735622565196,-6.127612321247661,-0.23016459610342457,1.3359662249143451,-1.8362317779724702,4.290575024088842,0.31926503210664553,-4.082559525425272,-9.972121668663988,-9.397941395496542,-7.723540375453558,-5.321727877353188,1.8733282046304047,3.4667122083877615,2.5285461046310957,4.846057190211425,6.000213696339688,4.267301971109169,5.971687492214447,12.928433839257,9.865448866412398,9.982785402127128,9.623582948331656,-1.0157302594572082,1.2927057106973567,1.2791105685468795,-0.3527770471317549,2.794329110479795,2.570986163306622,2.7131304525311926,3.394559546895981,1.7858830027888513,9.88871155634696,8.855511191157046,5.412741767945737,0.045060544432321784,-17.316862364411854,-17.984013145820995,-16.39226290503728,-11.603150548888182,0.3089324965806103,3.5046472190769866,4.832559626017301,6.960248216814706,8.452001449447447,7.512125781719801,10.463562712718339,10.768723964577545,9.517369588598418,8.271118542811697,4.597867972511191,2.0291676784708295,2.0105459861887365,3.5616703277992254,4.541292600020809,4.70818703368808,-1.8791105746676573,-2.907237003339341,-4.5198853846812135,-4.092819084319671,1.3935097144769018,2.152860941960386,3.727921652495283,3.613179051222952,-0.6020610698995532,-1.2706267882443316,-2.5224890156444517,-2.524457159118897,-5.786161079162314,-6.3423547572505266,-2.649377919246737,2.5045705475922277,9.26541743102343,11.037069139183526,6.334591747239203
Delaware,2.2149825405544985,-0.6059086417742612,5.158494011064875,4.983802649726983,5.584260716450115,7.36872943950669,1.0714921768426304,2.220779385101457,1.9372949426383208,4.232537798622095,12.372326214800461,11.126930106104641,11.02327067204686,7.0171945528515005,0.1042857376484255,0.7569087533023083,-0.39747690503959215,0.23269967694461371,1.002342893128527,-2.1980211446951112,-4.56382455474525,-2.8414658810639977,-3.382218484664375,1.5411314214299607,5.4285992963245056,-0.5150332079589702,1.6156738330896137,-2.0821101276433747,-3.427953148379479,0.732593410536576,-4.881076276052881,-3.420062870955509,-2.5700635749632275,1.6208651663736175,10.037477870526606,12.026204310878267,13.614966229993774,10.063047140177277,11.240744081859456,10.656548768094735,8.603609073369205,8.737303988726467,5.753705921563062,3.4644374138689606,3.420578803254658,1.9787455737739708,0.3207061351604584,1.4643898986195973,0.5482527099258486,-2.3611492568304673,-3.6874611318327686,-4.354579952040591,-5.109082364062032,-2.9606110967832033,-10.113756108186047,-13.802972621879825,-13.84233625064722,-13.882465826201987,-2.3150506748633206,2.817754888469005,6.197452471205112,7.638307888044158,6.011228630498473,7.360145189577125,5.825041614374117,12.001866220511035,8.069161095554858,6.2592009886664846,6.869700838995249,-2.2333727816250404,3.9880804476330494,7.902075782001019,1.5602399516953154,4.787746956308789,-1.1567884387525498,-10.735764102322383,-0.33519196494795445,0.027457518726000333,7.739702487217162,16.09036420474585,11.89494771397043,11.919435471351376,1.650279016247229,0.3471516135444991,-3.2184445308226084,-3.947273082407447,-0.5899717072002716,-0.6862142778546273,1.734687206923462,2.407909522100744,3.9673196263949864,5.451725958769334,4.79814450460173
District of Columbia,-0.001167513721098518,-1.5204240431574065,-3.4064140509495777,-4.433738564387816,-5.516471173987533,-3.5554070459862497,-1.670681308940384,1.9846716287722725,3.7221222638746227,9.450163817191214,9.525378815454955,7.844594842501984,7.460632053417671,1.5198916619425302,0.965496748330383,-0.8416185747710593,-0.3327855664512702,-1.3760814565684385,3.0114308923098,6.228284368141694,4.338027439701941,11.601617197623062,5.6967490787165955,2.6713093011909614,2.1935740146131497,-3.8318997313793806,-7.0278789598791,-4.640921587589287,-3.6691241378509902,-0.5956854545908772,1.4290365115399115,3.3429016665223674,4.570596069246628,3.865763303500206,10.691145647732327,9.487510624292634,8.971926095748891,12.113766907517302,10.677662668504311,11.296572149872167,10.040812358764931,5.1418300127337515,-0.570373395406996,-3.92049688504074,-3.1956451607445597,-0.5263372204765607,6.604323807515003,12.631967750839209,13.0368054670887,11.574330983655667,5.008347236508028,1.1981896916763668,-0.4030205615940098,-4.698782834894506,-4.364549005717833,-6.610592125495554,-7.70956360593381,-3.738602479616391,-4.875598112698999,-2.1774745538335125,0.21459947943193994,1.1521331812073896,4.399941219318196,1.0023113389985654,0.6343774790752089,-0.5981858334162227,4.9417174182107475,11.123256313525049,12.46412519498748,18.252158557038005,6.876358588394826,4.17253555444238,3.012303765866203,-4.4435570730684955,0.9730029722421355,-1.7584979140342023,1.5807663316366534,5.315169646594167,7.306594329070659,14.31972749810143,9.527520164015453,9.57321237432527,4.84402633010763,0.30576229079650435,1.1897450324404089,2.418125468238579,2.258704484837416,3.401383032190587,4.4251418964826765,1.6412348778300037,2.8943930946158556,1.4932175504622962,-0.48542191705162635
