state,1992-03,1992-06,1992-09,1992-12,1993-03,1993-06,1993-09,1993-12,1994-03,1994-06,1994-09,1994-12,1995-03,1995-06,1995-09,1995-12,1996-03,1996-06,1996-09,1996-12,1997-03,1997-06,1997-09,1997-12,1998-03,1998-06,1998-09,1998-12,1999-03,1999-06,1999-09,1999-12,2000-03,2000-06,2000-09,2000-12,2001-03,2001-06,2001-09,2001-12,2002-03,2002-06,2002-09,2002-12,2003-03,2003-06,2003-09,2003-12,2004-03,2004-06,2004-09,2004-12,2005-03,2005-06,2005-09,2005-12,2006-03,2006-06,2006-09,2006-12,2007-03,2007-06,2007-09,2007-12,2008-03,2008-06,2008-09,2008-12,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09
US Average,2.2900000000000063,2.1697830216978318,2.8645573410520058,2.770083102493072,1.5837325251735166,2.720688980230952,2.600426935765566,2.7724297266076334,3.6762583004523215,3.4965701219512217,3.385662946850765,2.9224428624953074,2.664067576348269,2.338212280217257,2.643615075009148,2.721150345831825,2.9656419529837263,3.1303409193127676,2.869619463505938,2.8439797997696408,2.5641025641025657,2.7387701700828613,2.7982326951399026,3.333907649896627,3.9554794520547985,4.5334918074539345,5.132310803977755,5.702375989995835,5.962773842859492,6.058637212702029,6.30060120240482,6.191340011041864,6.4899735737602935,6.67738724251474,6.749113943141534,6.981580510992281,7.079775198890605,6.998779699949751,6.929923707261939,6.727297972785336,6.550337400313532,6.802629813497911,7.207504789588423,7.669290314187226,7.753326509723648,7.518844221105528,7.561005669213711,7.86007733204446,8.36499643790074,9.294853070047337,9.962761386422219,10.171959894695567,10.425683449296006,10.573016891169553,10.597061581744297,10.219126544308299,9.17344711252233,7.149763124818715,4.640097983794985,2.993680520319207,2.085889570552136,1.1188811188811143,-0.31513077927339334,-2.5438910784665025,-5.395299145299135,-7.803506893320845,-8.946393894232942,-10.055147058823527,-8.323922454357236,-7.055749128919854,-5.202856859438552,-2.421827099938693,-2.9256274701021487,-1.9785483703009537,-3.1653848166169536,-4.026599643941773,-5.208057949558502,-5.476468713481357,-3.4093365031337806,-2.2805390364995244,0.4406514948683579,2.9783647091879804,3.6974883929070788,5.136508290994354,6.780696395846064,7.192360163710782,7.843348797065483,7.376135096383615,6.526939879342632,5.299597821106754,4.671868747499001,4.930761622156281,5.06761704828394,5.564687681299551,5.758386695976303,5.933920912475847,6.026671623065842,5.89420654911839,6.050336631873836
Alabama,4.359999999999999,2.9130048385504126,4.096031357177861,4.91340727768048,4.407819087773087,5.171752062943773,4.857384919514258,4.609106927571176,4.73568281938327,5.692911230727119,4.5425980788221585,4.175531914893624,3.732912723448993,2.8139835994820936,3.718334048948045,3.4039656199472383,3.683054570028721,4.483250776593068,3.5187945024010596,4.065509011603981,3.992178588887083,2.5231016472478913,3.2712149084219813,2.325029655990497,2.3973675963647665,3.5269221725840585,3.4773853779430057,4.66805780972256,4.200459066564659,3.876145052615644,3.382980315844608,3.012626449088078,3.517145164843228,3.272356242256381,2.9320205603417153,2.3869256684108757,2.2343594836147016,2.646436132674665,2.869601913067931,3.122374684962201,3.059737736765418,2.873839807493989,2.994667031314095,4.012219959266799,3.8238858220008125,4.156920403662367,5.277482740308031,3.824815612557917,3.9878096226170445,4.4529996791786965,4.905731761145092,5.9847865719494635,7.07114797031864,7.009030038700165,6.894271803810782,8.416869327955395,9.131675499388491,9.60390355912745,8.861898335582541,7.539118065433856,5.9181386413362524,5.263709212800494,3.6363636363636322,2.2334147334147265,0.4332930270052467,-1.8061498656582724,-3.199760765550233,-4.4787260512565314,-3.040032105949635,-2.8477324550291385,-3.9903202553804964,1.1305027350872707,-4.537458609271528,-5.330412559328222,-3.1801362149407453,-9.597156398104262,-6.454934691886617,-5.658090463335343,-4.575163398692805,-1.7265941079263782,1.7844727694090456,4.216304601728567,1.776178314371954,3.9081526150991417,2.0377959927140163,1.6866524711419875,4.87053724192996,3.164062500000009,3.8045297333482213,1.994820080454072,2.1372634326734867,4.246227078487583,2.4451848667239804,5.510832567939914,4.254299558064005,1.1986301369863026,4.306772281382788,3.4973628962056496,4.530132788559742
Alaska,2.3299999999999983,3.4355338060521303,2.786285940124501,2.0555990602975807,2.472393237564743,2.7421067876798335,3.2202249351148655,6.224822558987142,5.607476635514015,4.0033831406822715,4.237288135593231,0.5327313769751724,3.332129311901763,4.563115568808166,4.493880103636189,5.5685288306089475,5.505549244079347,3.776356723124788,2.872777017783857,4.960013612387271,2.012755735939694,3.014405862269956,3.4906914893617045,1.7589365323822659,2.1516726209808428,3.4758709886023746,3.82267908769676,4.269555520152939,4.983705587791121,3.593469260214064,3.2410272277227703,0.20626432391136884,1.112961841308297,2.1416182791644482,2.405034839289734,4.597087748723032,5.091725945338811,5.514950166112956,6.394498097746546,8.199708454810496,6.37691485571786,6.304226140498195,7.261724659606658,5.860559110811733,7.407903549899532,7.154610675969199,5.532760610334674,8.7750556792873,9.484908954851571,8.78992628992629,11.226535447421169,9.962559962559963,10.092840462493593,11.444864773304715,11.5353105030313,10.921955631217749,9.964302343628754,9.58557097983586,6.718574016943342,5.294964028776975,4.949423665019986,4.493758668515949,3.0101408709218567,1.197959369590961,-1.5734971085309504,-1.1990089372621926,-1.4343623323978791,1.1792771301255816,3.015121151393698,-3.416774886928483,-2.8517196185655544,-3.9636994528226333,-4.832434344327529,2.049332344213644,3.7355787123185715,2.279043913285166,4.487804878048779,1.2630622444343484,0.6188618323691625,1.313405797101439,-2.832244008714599,0.6954414931801918,1.3370771493515174,1.913276709879303,5.623684451359028,3.457648264492265,1.5525355147996662,1.6361084305640927,0.13863016072433965,1.162840776949907,3.2351667388479854,4.863838418713039,6.143197058187319,4.282855804844822,3.8008138608046327,2.5639970367931593,2.046056653759939,3.004694835680757,1.4953724285656504
Arizona,2.3599999999999994,1.1256101205299287,3.4160554606651314,1.7336485421591856,1.8464243845252057,3.8120567375886574,3.7501214417565327,5.364058869093718,5.56354916067146,6.765347755954071,6.695383462871048,6.662378239294248,6.7969104952294455,5.341272662637758,5.915394067052842,4.70405789609719,5.05402875861482,5.1379397620855505,4.24262512429565,3.9331852217559455,3.3368429578035186,3.5066602471513435,3.4499205087440297,4.021851001504223,3.934477623638224,4.72129622451353,5.340402643307221,5.616865819316557,6.356986652590285,5.774355937222373,6.047122328397397,6.1468617136268655,6.083380601247882,6.047032474804042,5.3102214885128625,5.845213849287158,5.761261863387251,6.10480464625132,6.296538210320062,6.4588544673208865,5.687563195146613,5.641599800957885,6.114046946048905,6.476683937823835,7.701506816551061,7.901554404145069,8.315478603277557,9.364567419227077,10.82056406839885,12.484993997599037,15.824645816626568,18.713783112582774,22.90466409498522,30.498690210536534,33.837987537502876,32.75659185007628,28.66750906941671,18.865469685141818,8.74258518416334,5.544794983749708,1.2196667300259665,-1.713785339004259,-2.559386001078302,-9.082426127527214,-13.34543519764639,-16.67303041873488,-21.0877489910168,-22.73349298665755,-21.952540903673203,-22.48358026577058,-17.45926995256753,-12.796103608589776,-11.16201582673886,-7.6551724137931005,-10.538676793923647,-12.896674282812887,-12.137313121841961,-13.037447988904297,-8.132715187398762,-1.8012241329058603,3.1303729175312753,13.059747270273581,17.948562047789878,19.09652142941944,18.999712561080777,17.937171070479085,14.78426723026959,15.062552958181726,12.599033816425125,7.940378157059387,6.525351416894957,4.119558154645882,5.607516732452374,6.32911392405063,8.081787521079264,8.466466966217325,8.247003859435296,8.706108706108706,6.662245972617694
Arkansas,2.8599999999999994,3.6181909045477307,3.2416986895260678,2.829913449382473,4.55959556678981,5.42104755474101,6.2416491696888645,5.551352373746931,7.205950720595072,6.331777838777553,4.841897233201582,6.854224531851989,3.1743278404163022,4.182084157989846,5.252334847056816,3.580412544021462,4.53093476798924,3.5929627488230023,1.8560729404102905,2.120942281227236,2.4045034177724243,1.8178918832722064,2.5095907928388637,2.4098295679746267,1.7983351656981246,1.2842599843382934,3.1108685482613514,2.716928554841699,3.4174188073748413,4.345136848616054,2.8582230623818536,3.353428786737014,2.4988810980158096,3.4380557202133866,2.9699331029919813,2.967553773240972,4.017174878102038,2.786532951289409,3.762404512029707,3.4201954397394227,3.218358637095078,4.383580737333606,3.8117517545066684,4.471071550838754,4.995594116450895,4.653491787955668,6.004772004241783,5.734696552628129,6.675274370561654,6.832535885167469,6.277354007752903,7.239819004524872,6.420963447107228,6.258210916039644,6.865513589834108,7.253915958615116,6.64202445265852,6.586489828031921,5.301403798513622,4.068764820004318,2.751559750439928,2.8155646947168633,1.923881221246344,0.5696235306302078,-1.3856453370698985,-3.046153846153845,-3.2211735740664755,-4.28402244992535,-2.9417956004631107,-2.6340844176451865,-2.331990672037315,1.6407552853838352,-3.5569050588299094,-0.4943502824858893,-3.793140872585201,-7.102783952577531,0.3991679316354686,-5.377518152535893,-0.778385695752719,2.3871923427529613,0.016799193638705977,5.383106392799453,3.4961059632766784,1.135162205775968,5.201276524270752,2.299479879551048,2.982533230803036,2.5419532324621756,0.45769026077700115,1.6804923735616886,1.8614326097391758,4.63057359017009,0.26488662852299216,2.779093636507185,3.937585087443717,2.3538461538461557,5.833245271055701,3.09827418446253,2.6599496221662475
California,-0.950000000000003,-1.652725990123955,-1.8509153433801944,-3.6887724249143288,-5.3912165572943,-5.154216620555386,-6.49216817807091,-5.860192549183767,-5.186212784121224,-4.7644770959377665,-3.438395415472769,-3.568252556691856,-2.9375351716375913,-2.926829268292697,-2.4537776763296115,-1.9596541786743547,-1.4030612244897889,-1.1569475283393653,-0.8892008892008952,0.188124632569073,-0.3057744325532225,1.9981082998344737,3.128320151103773,4.365684778781849,7.302111596083518,8.566129593137823,9.592490842490838,10.277746542224204,10.59806508355321,9.91885543455051,10.027156883225413,10.461914958702973,11.103379721669983,11.840699368625545,12.910575280045562,14.298901504661677,14.574572783394476,14.243529616119499,12.964519926013129,11.460184138265223,11.369670466968609,13.129086209518025,15.852932420363189,17.17991449894936,17.711400925536385,16.82010617566024,16.240524219452652,18.556764778629724,20.097688825351447,23.113207547169814,26.17442246048415,25.254263808480687,25.334788215454807,23.99775721895149,21.550591327201047,18.330210285238397,13.620894341115955,7.491144773532292,0.6162162162162088,-3.515501284442414,-4.809835608804682,-6.450255906891951,-9.627162350918653,-14.446713837624921,-21.612820606637147,-27.134077793599648,-27.955455157928117,-26.90028562902332,-22.876213592233018,-16.076112111082537,-8.757357390395505,-1.9595264477751124,1.6825031773890948,2.3898523193823182,-1.3926568999819149,-4.717149485455955,-6.916254984822336,-8.211143695014663,-6.609195402298853,-4.363840679235865,-0.7928895709444215,4.498924170307104,6.9721767594108055,11.724002872250153,15.95874959716403,18.5499469644974,21.58506731946143,18.638621092608826,15.496637207492633,11.152631578947366,8.23979463431822,7.771484855946811,7.531642523701818,7.37724324068375,7.221912202380953,7.745738701274957,7.49641962047977,7.584777527891691,7.212560176952768
Colorado,5.340000000000003,7.767669699090268,8.599703117268676,10.210822889342262,9.74938295044617,10.677179962894254,12.629852378348824,12.676304654442875,14.1337254562754,13.720559886011236,11.771844660194185,9.646377718666885,7.5255778704054626,5.785672169811316,5.747376040535648,5.722440242597204,5.723146320834512,5.852435031003975,4.976384420562674,5.2507255179860985,4.826666666666672,4.758770486408207,5.053468961919666,4.783584482205841,5.615619435258194,5.9499874340286505,6.473837750605163,7.539318279175077,8.117059071475895,9.393346379647753,10.988690684388477,10.658396403573676,11.423001949317733,11.33517645145552,11.008981564157788,11.642497171654831,11.781465560331897,10.424578829486803,8.152353915306373,6.176877015200367,4.623708804722087,3.4304863530138023,3.845480794470204,4.025855711248971,2.803778262170365,2.80939591593128,2.2496524413363117,2.080987530756082,2.756412921465096,4.034665782053405,4.457995138230808,4.040362774736493,5.0412688137239074,4.43222129219977,4.606949867865727,6.168767424510154,4.695323934981896,4.038013816266549,3.155989593152598,2.418817959908285,1.9351753062801187,1.5444440368318855,1.016156151765491,-1.4841831575906448,-2.909012162991303,-3.0671965317919105,-4.287885366912731,-5.124445584839272,-2.1225976729489537,-1.6361671201222414,-0.04158632943934583,2.109492717227538,1.1165970375996954,-0.8828432858442106,-2.870650529500747,-1.2486284006205348,-4.6161358173077,-3.578118429603573,-0.26868112612437123,-2.3334227365033158,1.2482772199251884,5.570312809737138,6.133843510854279,9.486072969792067,10.003111387678894,9.21961844674779,9.4912261339808,9.12283216282071,9.52128411822939,8.097514011621914,7.509323656889435,8.366717015827135,11.71837169512865,11.104395953941099,12.578911181948872,11.017514090055153,8.888375184211284,10.398236422456982,10.032479249368455
Connecticut,-2.6299999999999955,-2.693327892266885,-2.1515434985968125,-0.490451841803192,-4.888569374550688,-3.8687355839798676,-2.9530486509454015,-4.163171140939596,-1.1337868480725593,0.15268840658741473,0.36120840630472667,0.010942116205279698,-0.7754477937964264,-1.5354459327017278,-1.0579125313556537,-0.6892778993435554,0.34122179416621057,1.161247511612472,0.1653439153439216,-0.055084278946785456,0.14260640631857138,0.5575598556903959,1.7387476614944406,2.8328924162257576,2.990469930989144,3.9138943248532225,5.451595457003777,6.7960124343445045,8.423739629865988,8.547813350073238,8.493178787567958,8.491418247515817,8.720816166372376,9.45542168674699,9.010116290063348,9.038763992968818,9.149147342777226,9.017259598450154,10.607111882046837,10.478533853724766,10.101678102008762,11.074313408723743,10.88371363600721,12.380001535980343,12.49343043772056,10.762853610646507,10.444805883600884,9.382901660630075,9.444036574784741,11.115488149169462,12.056601357408109,11.826814944395855,11.928283937065498,10.866225478610248,9.336609336609339,8.866417118274766,7.573281028658606,5.212386078985238,2.0276979357198828,0.3387047110746159,0.5166126418152401,-0.5521503469935685,0.8297905035086844,-0.6495499181669446,-3.90506903154288,-4.441727791361043,-6.482092964185925,-6.718146718146724,-5.741702060720474,-6.076759061833692,-4.926937910804495,-4.221854304635749,-4.428126390743202,-2.9965947786606137,-3.8109930293680807,-3.779890521463556,-3.614668218859143,-2.673765504329507,-3.1244431244431192,-2.6708186118929325,-2.9047647804819143,-3.46859032161105,-0.6315531301735245,-0.418384298283398,0.4913546461002563,1.7748162909453196,1.5549796371714242,1.3098548038307103,2.2590827505106184,0.33653551979439694,-0.20658646251063517,1.1282551686284041,0.5447282411330382,1.5123795584827529,1.1507549926936107,0.23519478953082545,0.5598362629424554,0.37846930193439593,0.7584421838319334
Delaware,0.8900000000000006,0.08011215701982605,-0.22063985558118432,-0.07965747286668576,-1.6651798988997986,-0.28016810086051747,-0.4724092873655632,-2.0229197807673156,-1.9756072976514403,0.5217740317078169,0.626136134114325,1.6883645240032656,2.9511568123393364,-0.6388500698742269,-0.3111200321156185,-0.5401080216043271,-0.24970035956851777,0.2210166767128781,1.177891875566296,1.0659694288012895,0.5306898968659268,1.3532477947072918,1.3930348258706524,0.8059701492537337,2.6494023904382438,2.630798140638905,3.6015701668302134,4.767545158424635,4.880652047351059,5.994025248144935,5.437150705692914,6.434897305445636,6.078268109908403,5.891444676788803,6.513341119396281,7.727715322652035,8.45107273678702,8.319738988580747,7.751349527665314,8.266228430566958,7.615601125854443,9.35320228281548,11.232876712328762,10.13205828779601,10.70841428784936,10.227602203537247,9.148486980999298,10.640203983185167,12.426594667566652,11.974748471098842,15.834945196647327,14.96729990657116,13.550672430355423,15.891472868217054,12.529221863519977,13.289630512514899,13.911066462221754,8.959156785243746,8.250482267398727,6.216823681316053,1.2253991830672182,2.0835271137568547,1.1331962531414295,-2.8184233037684114,-2.1689288334556207,-4.88382687927107,-7.531739935842414,-8.116747741487137,-5.05741738926646,-1.8967334035827226,-5.042509527997652,-4.472344073009633,-5.9735387045813555,-8.387852748755007,-4.620767726664603,-0.6914388261374445,-4.562637824215057,-7.471754423363879,-7.482736296935695,-6.415094339622637,-6.205644495791384,-0.8697154705679018,3.399615137908907,2.2603362108132607,5.783330400609998,6.263436174539522,3.9815023685991444,0.7275352660224382,0.853895203770442,1.8043632784734056,-0.3471092309361028,-0.18746209406186437,5.25592391005553,1.1708469842633906,5.017960161097202,7.004363917582725,1.159571689736223,3.604607952434035,-0.4871475953565494
District of Columbia,-0.3400000000000034,-0.9119150215452558,3.1269349845201253,0.17159584132431788,-6.712823600240816,-2.0125404530744286,-3.372360652456724,-7.416364369205965,2.441647843390337,-0.010320982557544758,0.9631317315658581,0.5659555942533852,-2.9924401511969703,-8.990503715937235,-7.241768386501168,2.023809523809513,1.233899772702674,6.612226380855164,1.6255667367024205,3.564230402036703,-5.035817384796331,1.3510638297872297,-0.6528835690968536,-2.3251049882208297,9.085791488403522,4.576466883593996,14.304490690032862,12.971895973154368,11.311796883063261,10.44866004215599,11.565733997700276,9.709458832265843,18.089939731108025,16.257724463831334,13.183887314266077,13.512141467129199,10.8589824120603,14.078011412491199,17.21809075732281,19.476744186046506,18.931935689496417,21.18678909140744,17.932284586003746,19.91390604529292,12.14864221057647,16.742055863394768,18.433331503540657,14.338483949846523,28.711767204757855,20.584104228217175,16.676709154113553,26.555034809118617,17.500721976979257,25.597461541551187,28.677551344694724,16.014094128644885,14.10413960183983,2.615925807483213,2.6673252654976496,3.092943254718431,4.037171518247278,6.519571179257048,2.029708924705316,0.8026454231173955,-2.0526471458148468,-6.673493270918667,-5.366773746721281,-4.786472623165935,-7.899504771107628,-1.0752688172043032,-3.0239800685144926,0.48861465217527555,8.255737704918035,-1.1344910635061427,5.729149940588982,0.009350746501271564,-3.4435762311466487,8.183216872876457,-0.6925249825350149,6.438945334413752,10.288259464885046,4.26654025065925,10.848753632053839,7.7447880065589265,10.622564773470597,11.934869711005653,14.800507698250644,10.595972497757955,14.788153023447151,9.69764667055926,3.3000048069989947,10.249164537055249,-0.19037806844652005,7.525861470458907,13.902138253565694,6.309759957206857,3.9606848731009983,8.11828766975874,-2.729092617559344
