state,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
Minnesota,-7.939887678911502,-6.416198224884402,-3.4596857786624504,-7.71893474058135,-3.503837919943309,-4.78166487672235,-4.681287521316064,-3.090157755479385,-4.916149305006791,-1.5452625871832308,1.56533561705352,-2.8476298541442615,1.3251103230141055,0.3317335700554445,-1.3379745078339076,-1.152305034890402,-0.054941694002115876,-1.6988653331450234,2.054821813111403,-1.7113802952243642,-3.751764025693518,-3.5486161095207054,-3.7596286311812452,-3.561491090295279,-2.2068416328248572,-1.61863120883218,-1.7226792304961807,-0.3345958983135476,0.6165137123164187,-0.07053765772932333,-0.20785468252898237,4.293652228385713,5.7513916466152635,5.002065481276373,2.1474425827086234,4.401157551651398,3.633364481660766,-0.19252066331578643,1.4989017591876217,1.8914515903749336,1.0461611040095784,1.390758339539922,-0.12329924148066349,-1.5372373731610907,0.41818747861653127,1.2266666408917846,-0.5549136980278735,0.013311329869844006,-0.7108321546606814,-1.179439150512762,-1.9352365550264423,1.3738347712932097,-1.8672419625052803,1.7345154819072461,3.5484477154550964,1.5645697684152478,3.7738969655225314,-1.816512702340853,0.06994014294297526,1.671229942400184,0.6719263768339803,2.2215580369264214,3.4320418610132633,-0.018762521311701707,2.587134990236289,4.086037050878903,-0.8698797273016581,0.846485692335,0.11104630851462474,1.812102616603285,2.1312419205926965,0.40415691155908917,-0.14308067923745782,2.5524904470011505,1.3789291683747364,0.25888717231961667,0.8086309387445132,-0.7648002361433333,0.21217631187405603,0.7882186760553488,-2.2796926388816616,-0.7404945142976409,0.7042083620215417,-1.4622932597144656,1.3046010698193773,0.5254266675408148,1.6724185051592642,0.36663256536954275,-0.6258138893066706,-1.359007437370475,0.6106447513974189,2.8436296344516654,0.414377128856064,2.2887220372109285,1.191466693699669,0.753614912925872,1.029000578603753,-0.7466584253909901,0.702694682870635,2.693688495963781,5.130060470536074,3.195688281913066,3.2980815285305005,0.31744791800958216,4.171769685258135,4.5289142781081075,3.791319213502135,4.120222571203453,4.540087500623962,4.8840603679666845,3.0296185888538,6.608858922445876,1.5441492465933833,2.592293104116018,4.5749050577517005,3.2167937445717816,2.327508825846613,1.747013436895704,0.22695012547247193,0.8171646106334621,-1.7229849422372177,-1.3834493077051893,-0.5269271826547859,-2.4707426931389156,-0.26254104365955827,0.09706352226003942,-0.8987640996090565,0.010906659265808435,1.3944111101261802,-2.8083085337512292,-0.33919177306320136,2.663870816716814,2.0098476633376663,2.0353027536991064,0.5651486360014145,-1.098140705622057
Mississippi,-3.754603788162208,-1.7483792562582363,-1.947133977221655,-3.306440004703211,-2.683448383300011,-0.897662636429893,-4.270112760844244,-1.5385034375907238,-2.0169190116314573,0.7143088011894334,4.40877512924489,0.508597203496518,3.175826181623283,3.2783093896366253,4.458483567955435,4.481460680039405,7.608136874014379,5.860288127694762,8.908032959804169,8.911138127730162,6.306157591188769,4.76779541493492,4.572585489272734,4.865928298597313,3.8799175897467495,0.2617648202728107,0.7865523248713742,3.233637326393568,2.8443560667753705,0.9095008993597543,-0.3357555538402555,-1.0257072020713618,-0.08238665088640808,0.49957096500734377,-2.6301837900766616,-0.7422008189765549,-1.2196479033045247,-0.42179369420476387,-2.4411509591046707,-2.9042844355772925,-2.8090144915912028,-3.6498637665191893,-3.4510191625187687,-4.005368937558833,-2.64828919374323,-0.26404810838149667,-3.127371518363404,-1.5453897099669003,-2.188889598532501,0.4832044805227402,0.5073006409648446,1.7956715763808768,-2.45217504588229,0.6599680498703406,2.282752876577094,1.1112704938336742,3.7448827664285735,-1.4586052432625836,1.9324727104671786,2.6800045083954243,0.8699430291836658,0.42270448295083396,0.8317942580569381,-1.532827584584644,0.43906349767885755,1.7211073626581146,-1.1252126834913627,1.7012315199160035,2.2892275777129494,3.766469154053323,2.705580239033146,1.5208534235388935,2.406320841748715,1.7099453733028986,1.6335371263634502,0.18368465225130523,-0.3976401640612976,0.14225509087153107,-0.044397842486540974,-0.8207159048376177,-4.01409638800659,-3.73468487841814,-1.874542462042989,-4.655288261287958,-3.0284124264431997,-0.7672689564531093,-0.21750102591238285,-1.156177145548981,-0.25466771406287425,-2.825990913472718,-1.561698432292861,-0.2507037151076511,-2.7023458836877734,-0.8523197123974671,-0.254280031679812,-0.011838461364788336,0.3459186933441657,-3.593301201098109,-5.093988616205844,-0.6027438211721027,2.005485551845178,0.11712405747783743,1.9854507414426934,-1.9078057382116889,1.898309847644875,3.0906870906049213,-1.1558441419657564,-0.3265467697457789,1.0319761338320383,1.08048096939703,1.682723884454868,0.823308196550699,-1.5955858780926344,0.6311431615413028,1.220438473143592,1.484081037958885,1.1390691253064933,-1.1077509124735387,0.09751990831303074,-1.1310669718870279,-5.278811537607264,-3.751888785161159,-2.7491510481306087,-2.517050983598931,-2.851244661054272,-3.0690989885477453,-3.65248299749242,-4.745462309721967,-3.0270834243609537,-4.13197412819518,-3.446812771624418,2.570084593129262,2.0160042584328646,1.4037704807090285,0.22857294543936332,-0.945307386238334
Missouri,-2.6177433219528345,-1.951962336192563,0.7823485141622261,-2.2611930867642585,0.5706804706768656,0.39338213530634525,-2.420507295630419,1.0753171858630612,-2.918942321987637,2.9781562190752364,8.314029331148754,2.4161077496137424,4.849846098521803,4.355783826240969,0.2723516836263657,0.3703352605945238,1.1657235284580145,-1.0593233014899535,1.9881640296019771,2.288768097060038,0.8949050609212142,-3.447720242402171,-3.328555638556145,-4.394652332113869,-2.867975794727467,-3.1100474073483846,-1.9472270110963668,0.5209465021565157,1.4254980792890435,1.1736089942335306,1.0624645326916187,-1.045903895619458,0.37364482271146765,1.5656797318011137,-1.420085315505225,1.533026261235991,-0.27409863819140307,-2.3125674996529,-2.993385087074283,-2.1484013106287234,-3.265228572548598,-2.8115174405549737,-2.8906384906997493,-4.225980958169309,-3.1650679647708744,-0.9174699229895513,-3.5045620325877427,-3.4343223929232414,-0.45161029916239975,-0.46093952426459023,0.7720923846659814,1.5213736186678863,-0.7167959990981634,2.217637358878993,2.56024651750236,1.0242798882297615,3.4708466475543673,-2.5153538955197026,1.2683620187471818,2.6020915284075095,-0.7654765731629161,0.9983043152808979,-0.049047416206869296,-1.617441547863286,-0.2970092253872114,1.0937397249998573,-3.251797243442263,0.6375996706260407,-0.2398507224159292,0.44817581638126647,0.21026358400623113,-0.6646861221898624,-1.4841521378027702,0.1442234803693867,1.1790791578803823,-0.44580775851574117,-1.5774084674833697,-2.8152525038363083,-1.4551886078674738,-2.660441089286764,-5.081216539367411,-2.3857819158791504,-0.10220160735201725,-2.749119186824547,0.16080234878573724,-0.6240717788684532,-1.109036590909278,-0.6360243631529868,-0.5995064512705761,-2.5884689189696464,-0.7422838402758998,1.7253547039163,-0.008334474380324926,0.4215012328075984,-1.7650521901795149,-1.193456081985901,-1.4353933213987913,-3.742993208908454,-3.105835546710874,-1.2276609305802741,0.20998128088383708,-1.3173417892265888,-0.12606912774803125,-3.4224101178650623,1.0840702935542852,3.167551157521957,0.1717591819871588,0.8338670720752321,4.0278017193327855,2.511196011624994,3.650601552416087,6.470365808564157,3.3496192668688356,5.541897339915728,7.845924752501345,6.089824292115745,4.527460648172378,3.1310341437092686,2.828456833605264,2.499012847456049,-0.8885706208656345,1.9645792476259034,1.1172037693936014,0.8788896214831197,1.5264574268617046,1.201836197821129,1.2619332406932162,1.4506362719146457,3.5767495349607707,0.08006983368521288,0.6203174577282043,3.959342856395456,2.1785520984276903,1.354392933707036,1.523325159761927,-1.556988082209746
Montana,-3.1473913263290103,-2.8039380508044434,-0.7923288319337067,-6.514471225538525,-25.218194539937922,-22.69575205357055,-24.213838503657502,-20.297136533774747,-1.3140762608354526,0.6258413527816488,6.856256735789919,3.205171040191063,5.038108640067055,7.081245303812307,4.015338918560529,6.044677185410247,3.2468971488182694,2.8717985163223303,5.247545972316259,6.012211571561924,2.8515134156298383,5.176951208395576,3.279965690526146,-0.3059352556119662,1.2038878091033112,-0.5558056551402724,1.0374443476327857,4.833704064120931,9.439105425989878,4.59655361575572,4.840678742646305,7.318334912479591,8.376767257620422,6.035689773315222,3.0814655168083736,5.144170033221605,5.598121503846003,3.6110481504447964,3.6154564934691624,2.219388645208936,0.03908438939055278,1.6834862971064397,1.672986695787605,-5.484894094187199,-2.9617587107549723,0.7410625317650799,-2.557734841581617,-3.275001969943727,-3.396800962033432,-2.900045545462331,-2.662775617126671,-0.4610689719329918,-3.3544958179417614,-1.2507286615979463,1.6857066538973196,0.006249342058581748,0.1570547676965214,-4.665942358132223,-3.5905847796782053,5.716290186116049,1.247470009221689,4.205740557424894,1.245087650869444,-1.51899960267548,-0.7169703565592717,2.9251206918238495,-3.152670415428265,-0.47770702816211363,0.5500989856824212,0.8614487923536249,1.7209191741858354,-2.762892990510045,-2.9219407674349087,-0.9730317313312618,-0.25670562706649463,-2.4821700871711028,-1.3501721539495368,-0.9470197945968751,-1.0204263520315984,-0.7874581839736204,-2.691213855814561,0.6004780114077851,1.9878690905136827,-1.0930859900944743,2.5037794850745247,1.7398768719281106,1.3509289114892586,0.9560437075720503,2.0852391939937975,-0.7664469205267797,2.0102656241412773,6.5579268062503875,2.8444142431942243,1.1756843622349626,3.952538420937351,2.152809788530264,0.2743389608316395,-0.9801486799557156,-0.32304159427793344,2.836036593464404,2.9923256269863665,1.693338776116175,2.335412950529833,-2.144908613726943,0.8685588419737924,3.258636269245827,-2.770799229351907,-0.1912007312610755,3.0129748947710104,-1.7978407974824706,0.6505929002011962,2.7333552190622523,-0.4790331497816618,1.7616268670368622,3.187457996182167,1.6035384761854992,1.1083849731451811,1.2241304403740567,1.073988887253979,2.171794026781051,-0.5721618896527668,3.240921794044665,3.3928096164465944,1.722284167269241,2.727357660605441,2.1371738040627917,1.4441172798326267,2.108841080805724,5.618095344155388,-0.5877084350559454,1.7131246878402302,3.7284067685277993,1.3106781138322106,0.5671374485982184,-0.28916792003974945,-1.3652620663986093
Nebraska,-3.815035777019613,-2.6598704651498695,-1.5011503210563861,-7.474574994092455,-4.641732119341214,-5.570902880044946,-7.841063382993683,-4.8088241608814295,-6.012045566523824,-2.5537264978442287,2.7230629744001837,-1.4179066469653345,1.1271369443386294,3.0376869873603676,1.5890425688643346,3.8247862943710214,2.062860519254786,1.574159556756476,4.244347920363746,5.9763977864357765,3.3453694435764922,2.1994391194771095,0.6921129752751342,-1.4692186187697214,1.0132270033374322,-0.8024575793003845,0.045132243814446533,2.9044801663648996,6.57437851464193,5.217720669390397,5.038338281728767,4.022998310526472,5.511484021651857,4.1317820640877505,0.8489385559067376,2.171643702567065,1.737239034620257,0.07999693267144357,-1.9866633564281346,-4.123732760123823,-4.77255487877342,-4.916329871199345,-5.076483754324122,-7.0563346494109265,-4.884784733602589,-1.5317398956595183,-4.079922737460224,-1.9491065685902258,-1.2506158523366353,-2.618899046441405,-2.693333747798907,-0.625922355949065,-3.168018764481119,-2.307984381408499,0.05068937550688737,-1.6809638338839126,0.11175570588433353,-4.9895628052747165,-1.4122467602753617,0.26228032655163097,-4.534380616088226,-1.683782930771916,0.12846565611221666,-1.314658011784933,-0.7878505307408822,2.3862178960200495,-2.673957054461133,-0.5181521168516697,-1.077063901256893,-0.9599905261945133,-0.646392695894985,-2.607351076940647,-1.430392679994104,-0.751426371850537,0.12348887920243486,-1.229574750436265,-0.2975712210903987,-0.2826787684869999,1.2404025415023012,1.4208322411019314,-1.250271092779397,1.5256787593077425,2.8507982861471293,1.5643899804677022,4.492508474745997,5.330481493374913,3.798757646170921,2.9803423307492043,2.977814589278875,0.5248685788944673,2.773746383445477,6.810374429346991,5.123982181814424,4.289790183185685,3.7448963946409077,2.4884625627198993,1.5373037303011143,-0.18613412315934857,0.16835547319252786,4.434785769847266,4.709848300684372,3.2411306010729293,3.198518737266562,-1.2999333598771852,0.8317140847600583,3.5277639992715666,-1.726570324222789,-0.7525586203221535,3.677584363542672,1.1739857405401488,2.9985452102034436,4.132807501800789,1.56171780413436,3.0113205354830876,4.859989636713501,2.582747611035894,3.586269647587037,3.203127081763568,6.421827294047541,7.0280885475766235,0.5364772686191376,1.6546316915879224,0.29966848057967943,0.5688106775073212,-0.7430235368242813,-0.6425886375635927,-1.1140450681415817,-1.9803542292556628,1.5418583885426633,-4.714289714585977,-4.186429287828062,-0.10836200779699431,-0.36818740906131364,0.9410714134381347,-0.805017393906994,-2.0215517530060367
Nevada,-4.286399604712908,-4.265878739412835,-4.440563476045442,-3.754842624638118,-2.0423213598086285,-4.177663622111898,-5.706002141598556,-4.471569350823317,-4.927383941911067,-3.6554348195740984,-2.041416817604695,-2.086918218326765,-1.034272449477552,-2.287894214354682,-1.9943239820528516,-1.8356556801845811,-1.3602245852896455,-3.4184921162486863,-2.6304296970598906,-3.767346903346431,-4.5885874978727035,-6.620207527842783,-7.3246382774569625,-8.377104625144735,-9.221170639972135,-8.901029242067747,-9.270943217562186,-9.029795853713237,-8.745399759569422,-7.206219172526203,-6.9965333403862076,-6.877617312628516,-6.332212910389942,-5.305341471892493,-5.172213476959412,-3.8327396653842607,-2.908113440255085,-2.9321497059609363,-2.9942859891745015,-2.1254426122309615,-0.7046493804628841,-3.495052321681306,-3.024747522968908,-1.130253350339248,-1.4714426014465865,0.7789186515709736,-2.873793785202634,-4.735298672747149,-2.3571791042446657,-2.783612613655324,-2.0896078516866687,-0.7437465722889032,-4.257098466110519,-0.9761218106941958,1.4241087142354236,-1.7021017774155471,0.09787066993784183,-2.1022058467395643,2.4791911603133587,4.08401318713743,-0.4085324218218027,-0.7896786478731984,-0.0014726424336177256,-2.3124716120275868,-0.6727255656021174,1.1988584857641948,-3.909519357253573,-1.2313481142036091,-0.9804604136071325,-1.4211045051480111,-1.469711086967694,-0.46963919963507766,1.0504105351618431,2.8761903442476857,1.6903843082048797,1.6416549010142005,1.0306792816533676,0.7708328821982774,1.8803875062048212,2.35283424256689,0.7759934697748145,1.8952961989257084,3.9886998715096276,1.6766319544592396,4.050135151322486,5.394204289744204,5.972043404236703,5.270207484262109,5.954634588662135,3.683590177542908,6.000742298635112,6.927263877946789,6.091733847051029,5.8246155439047245,4.086973695566589,2.9992507524278884,2.01000471690652,0.15527669411633105,-0.611398026112881,1.1638273299815756,2.939041976628539,1.7586130868008727,0.6975788233140595,-0.4968018542967324,-0.6794555818148063,1.2076152534537925,-2.3073820519778763,0.5646194402551904,1.7885935031429483,-1.0243445493318268,0.6435921444473669,1.0546791304277572,-1.4884768020517383,0.13802537444495183,1.9047499961891239,-0.19108311325689722,-0.007409535697612934,0.07510818711598116,0.5555050945588788,-0.44712004633724867,-2.9119428555245515,-0.39038004547836197,-0.5225863131232735,0.01402020859371876,1.040102447792564,0.8732311740442132,0.4833054052771795,1.8217795983816547,3.350307931432407,-0.7792918389508677,4.097240626773871,5.889955632715726,8.331388451412796,6.142815729006014,4.972142007872891,3.7651831586142515
New Hampshire,-3.7781121448424417,-3.0274947443899447,-2.277521947682852,-4.9305734698476735,-4.643353855798827,-4.987624093510103,-5.528865592338115,-4.127656563709489,-1.648520503945209,-0.4573911080199049,2.4907739064752272,0.2776875562012305,2.7317237569707737,1.5427012270819358,0.21769544579654693,1.681356907125419,2.2901869870405775,0.47871656315336175,2.8223489446417793,1.7894120617641809,-2.94445576777964,-1.086595724580177,-1.9440847429467363,-1.527770784115832,-2.5105271199027066,-2.738706822410682,-1.100816161864462,0.40133163323067694,2.634992049283357,2.9574973724350433,2.6188025168333517,1.8182981379412808,2.217459707202455,2.1164098492898114,1.424760428183288,0.1964543833052342,-0.23209168104995379,0.22426915913466566,-0.9915628212069977,-1.4252893945029146,-4.933390829341703,-3.8582138965460673,-5.231239183681927,-4.8460504144731855,-1.9608711003010006,-3.654692546450712,-3.605132523412525,-3.1201458361691703,-1.7199576401002437,-0.9939199535385066,-1.0399516437931713,-1.053825473347488,0.05211346368364191,1.6884039335427252,3.3549711199058674,1.8205476142526336,1.1824068483371881,-0.14296137735536046,1.287387331788919,2.7627116706874624,2.099241742365374,1.5784898813452342,2.489158459785526,4.130517367992381,2.9289185667855673,2.7580545687724616,0.008785124401245705,2.3851003090922758,2.8730356297302784,3.3831817884586055,2.505049145520912,0.8665292875962466,-0.4116781772069108,-0.4012769224309348,-0.6145331271852499,-2.9885091102109373,-1.9319562686731442,-2.1211640571739623,-2.0454048566982648,-2.8311813031794038,-3.1084386712195085,-2.5007653792758897,-1.5465598932656301,-2.0664732701568638,0.2032857414317652,1.3265232775492308,2.188824700686477,3.2419925335665747,3.4278783425043735,2.0405906155670395,3.911002039331931,4.839885401097871,2.571725458165606,4.366428269167295,4.227906597490237,4.317411596316603,4.996729286601186,3.622897214351824,1.2869007964254058,0.9765450133454405,1.675056074539176,1.5445045453735142,1.7031954592517533,2.0208952668123246,4.002938896506431,4.969717094658464,1.6751873727826765,2.290535145070079,2.466151647608453,1.3306181013694631,2.7841664002205864,4.205030297175558,1.3663204418312143,2.414705934547028,0.7728045350556457,-0.17980329435207545,-0.8000526583790857,-3.47932922514287,-2.274670524225256,-1.594416148370808,-4.665239586974671,-2.5351511245135208,-4.946123219230043,-4.457125744708081,-3.3523739769426677,-3.533037745700645,-2.179137927285983,-3.5745094321753696,-1.1423048871991308,-2.2686743231853512,-2.1884528733595756,-1.2852360759028636,-2.0138811378872292,-2.488973213742075,0.06808740764755795,-2.838956128217945
New Jersey,-6.6546412792198515,-4.974281846131644,-2.0226951205980734,-2.6587874450421296,-3.1284304354963934,-2.71199739969177,-4.700407159524631,-2.42723579463612,-3.7988533214171234,-2.87354977557405,-1.2830401023268112,1.0440500350694073,-1.0461928962272247,0.9676779146816491,1.0337680010931238,-0.4016094825080724,2.3157335868306377,1.1465653631684383,4.082532291041121,3.564024289964876,4.700371131058504,4.864129890327596,7.076334397176434,2.766719713060571,2.828112587119177,0.9012622695559752,-1.399696167724987,0.6737339396920887,0.7372019012778449,0.6808601196907083,-0.38314052754838157,-0.420490709232723,-2.335087963996936,-1.8536638082073569,-4.32491549068245,-3.5635377403515203,-1.3037473845508156,-1.7120497265417427,-2.0718351566671194,-2.57753039068142,-2.8154229222304603,-5.461627921463162,-5.829444989490576,-7.077445556327816,-5.009043189859203,-3.232216004265038,-5.428231230884023,-5.316783228225401,-3.545325880796625,-4.159553510973877,-2.6559801404755454,-0.775420075121981,-3.0816253953520603,1.0427112213610978,4.43889361300074,1.5892906663614266,2.91261834373123,-1.6742141011241922,3.270224496945872,4.8924155062906864,-0.746641942122889,0.5361474655376228,0.7699331271737845,-0.3498305342802326,1.056595545843863,2.380125720864577,-3.201492323854766,0.043278166972117234,0.9792454953632237,1.260116057497651,-1.5461975887131052,-2.8486898352335177,-1.8849655566607817,-1.461986999682568,0.31807405993360993,-2.3125025749922177,-2.3022748354134386,-2.4328103976590443,-0.3260763968005483,-0.0031682429452779054,-2.2452722430808136,-0.9414791702012463,1.7285710936267913,0.3581160423405867,3.297451531420459,5.400522500954212,3.6082502026569587,3.311134397947784,4.030276680086165,2.4424563647135376,3.284671914719272,5.080262767838759,3.1907513739277524,3.6271437508091116,2.3416278676831626,1.9965515873797672,0.33830101267396123,-1.2071350235621268,-1.9237115704649996,1.0878876771944992,2.259241250753881,0.2499388068070866,0.8193406057945534,-1.17590092956127,2.6300633634553265,5.168440576924048,0.6693659357725212,2.5083697500046616,4.7667198501047725,-0.26592593860227126,-0.9002456277227934,1.8312535930526694,2.916566853027693,3.7900492529862153,4.004490283239947,2.2556426995515895,-0.48813667051015647,-0.9795406822366792,0.357060702273994,-1.577097406445776,-3.0933404917360727,1.6108629138089314,2.8220281935724483,1.0468188966580065,-3.118519906493231,-2.9020072997851343,-1.5853106941421633,-1.258862482446954,1.3632559595106477,-2.043845224747647,0.13054848317890494,4.016508469360082,1.6065047388614546,0.7633783537363905,2.139455869466056,-1.0389255232072263
New Mexico,-2.496468448702704,-3.0594309247204055,0.7770896915775624,-2.957616427088695,-1.1280515089918073,-0.13359782541004034,-3.357750207609747,-0.5103961586941393,-4.234345994418228,1.1963425527554659,6.619466573688988,2.954105339194364,4.1358455735120065,3.571075812893487,-0.07378457355892723,-0.598569073440105,0.6319574372874721,-0.4382066984156083,1.2499870304229241,1.9606096352201392,3.2046620598989093,-0.7376071537163772,-1.9441825563286192,-3.397809666091262,-2.1312629792675755,-0.2881887987907958,2.3170411322095137,2.981984792436229,2.748698579524282,1.4440185630153648,-0.4511285725001723,4.344213200446304,1.5730129743268446,1.1506402767304678,1.0902199925358937,2.778742342526413,4.468315715280659,0.04810842183493137,-1.9857400086619719,-2.3236886969641857,-2.21506537296161,-0.9652409019812995,0.5837606907071935,-6.930872023778921,-3.568074025411231,-1.6794450480559022,-5.874824854320329,-5.691751009286127,-6.212617056864337,-4.710229789833456,-3.9426100606422745,-2.1586817783961223,-4.054668602233986,-2.9223291448997193,-1.4398755892594601,-0.43058531119071713,0.33276399809312046,-2.8854708947780425,-0.9061815340705505,1.4334282921703467,-3.374297714105132,-1.7681286706174626,-0.9315549845590841,-0.3071876773062605,1.101078531690248,2.3341879176212563,-1.9215687780806374,0.7741193092670174,1.5576773535429376,3.5524871448335724,3.579634811697876,2.1961766146935306,2.011704608271321,2.8582922039760015,3.2831026990079994,0.5226501830519802,0.47021112461649117,0.42438562205784286,0.22192754086488706,-1.5237461126377936,-3.727848511474946,-3.324678924095402,-2.0237360525052193,-2.5982049653088595,-0.007843202345491206,-0.11165858881137529,-1.1559683617980288,-2.3007192020238287,-3.070926998231662,-5.535233748735326,-2.619615648616188,-0.0128200068309497,-0.6391061228962319,-1.4719880743686158,-1.7319086944875397,-2.7794930424989173,-2.9505526217999365,-3.3163906153052833,-4.621424863239797,-2.3745546288979313,-1.9752830912450134,-2.49171675803185,-2.128188607692382,-3.9873426241259122,-2.6682656024528653,-0.13532497313677408,-3.0344178299119045,-1.8997510796183101,-0.24585512855783342,-2.1359513195487025,-0.5736483674465466,2.8870069898720305,1.5311353016132585,2.8217380111426116,4.307929896527439,1.8813757750024271,0.9339338228494559,0.6958755500968076,1.9937154053242725,2.4487013603385988,0.14640780721272587,1.898385707933704,2.2486408546093193,0.7584383549427061,0.869728441023706,0.4240416648785698,0.4852088122670741,1.4278388820835546,3.6530740593758595,-0.08944860217666031,1.3987560073636989,1.890517855578747,1.2466993374041937,0.7924369360829537,1.404868660982488,0.6674386648225489
New York,-3.5932314126055394,-2.8214828593921912,-1.1352884809532553,-3.768963322449693,-2.0794833106681976,-2.8749022421505197,-5.354469684653592,-3.236371988246376,-4.727652392310239,-2.9247945966613336,0.893929059506777,-1.1109922760551714,0.08039460184226979,0.8782868762412447,-0.8474335443127263,-0.951950914632011,-0.3788035069019295,-0.30320411540894626,1.5622070292989672,1.7689537704362748,1.25290872911877,0.72620037447272,-1.1236776147105323,-1.5115196306802037,-0.9260503639384021,-2.4163136795778124,-1.3378168035608176,1.0067118223656362,2.167905976514511,0.7378331655393546,1.007185446393271,0.6268094937776012,0.25146392643838245,1.1925641117707393,0.07589767187744532,1.1549930628512408,1.7457498348175127,-0.20320026086049509,-1.1916076347391735,-1.634328487124061,-1.5427008079199758,-1.5647413740472915,-1.2204464257222123,-3.3588811058450676,-0.8435270134041066,0.3553381913521711,-1.4760662867526686,-1.2990766502302253,0.03249103749134539,-0.1374621008920615,-0.18656106961572919,1.5282211553441507,-1.6183043605646448,0.4473581409124638,1.402270092747595,-0.02204401995617451,1.5178772991189093,-3.0070420367613946,-0.5569210961630117,2.6373548863983998,-1.7121504356152202,-0.3695482077634882,0.5409231641655349,-0.7128246380419601,0.8096307229338535,2.723614707751012,-0.8116147910630012,1.6320480671039344,0.47452375691501003,1.2701478147746477,0.5799299442119746,-1.5425428500891565,-1.1784923547466906,1.0376059490045322,1.0633862761811808,-0.8926877367599432,-1.019648497993684,-1.1699550102205525,-1.5353056161302727,-1.2146822636950172,-2.3572082275408333,-0.2681234981125288,2.2900009087457875,-0.5289705033367786,2.8251581501251506,2.9473677236753817,2.6227059018358663,2.6055975919692465,2.5653324522097942,-0.4092701364167218,1.871820461282344,4.0167490688896175,1.658265066974686,2.0062191694284084,1.6214427206986917,1.6571928338398951,0.2696816977140941,-0.930642713299182,-1.6976676934860977,-0.8179193460097757,0.9437435427303041,-0.6756016301559217,0.7984723687963017,-0.0996993898555216,0.2219431063623171,1.4013115041393487,-3.035774298174355,-1.7409488824007762,0.8303368706995667,-1.3785516111005627,-1.060946994534065,2.4263148036178834,-0.8839089018105487,1.5457048600769205,2.4368410671557448,-1.614531886630606,0.16551005689927897,0.809586575247823,0.7793531656221692,1.610718271641337,-1.6773723030351635,0.7296966570019908,0.9006247877556464,0.16351143407435229,0.242622410717014,-0.04536920450535512,0.21488339405756718,0.9355973731584415,2.872976249978005,-1.196913620459764,1.0171898478520667,3.5723551876457837,1.8920142945751945,1.599429443463914,1.1921954254430105,-0.8634074342174397
