"Geography","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01"
"United States","2035513.528167772","2038264.6194352335","2056451.2227758574","2099544.652400522","2167985.92293989","2164415.8045011996","2162945.755732327","2201251.026509807","2182518.4050550302","2223763.7733702553","2265744.166069917","2311903.697412516","2230168.9858632004","2277567.558310992","2217904.5789914634","2075939.869311768","1960121.0270213068","1967765.2806194443","1994436.1654261325","2069786.6651792014","2087154.241348596","2097087.5708868352","2116450.213242557","2123842.458480316","2109057.9680047976","2124115.4675373924","2098746.625925991","2124031.4647506","2133502.7789614787","2115610.1853746297","2080539.0218886693","2070626.6930471286","2147195.2332086917","2153705.449185128","2179200.2949767183","2177940.2531748274","2154923.4895936223","2203015.0850324538","2225191.8207457317","2223028.7489858195","2242685.4010953153","2226136.8520971495","2223595.76779667","2189322.630785241","2202469.0669183014","2212234.3908829545","2218681.604769296","2202616.0717951884","2228509.930824044","2256608.8630062086","2269377.286598702","2311525.684871949","2330783.3237441797","2341640.6839371384","2368059.5603834484","2381037.990942924","2359533.277523988","2361927.35694758","2387002.1888052067","2381311.0"
"Alabama","34416.38078473578","34232.428841137524","34189.54216449901","35724.247204538406","36414.33281953996","36407.9529833458","35900.40157056603","35517.256963572356","34668.029879060945","35097.60551613433","35668.24642016745","36396.25661698984","36082.226902099566","36814.49032305139","35820.65361813903","32770.028611298585","29817.227759435256","29681.12458729319","30200.37236642892","31111.980071505448","31363.629165830615","31678.72218675325","33276.87115339012","33592.31860965688","35207.126037467395","35521.510187701795","35621.81539008774","36482.38440561099","35996.807984166655","35669.30972619981","34793.85442622353","35313.8110760475","37103.35512850915","37531.15858886194","37794.858484887176","37235.913947210014","36641.88031046497","36523.498905528904","36233.925229382905","35752.247596723886","35349.254610459495","35504.851726528155","35525.40897648711","35502.0162437752","36534.840836540745","37196.57162401269","36743.6032542274","36595.09484504113","36790.03428430711","36584.81622006166","37005.53097353204","37668.325067036356","38091.520867915584","37755.87059703399","38481.04531110341","38681.30128053119","38684.13676328414","38733.40327611681","39018.014857445145","38861.0"
"Alaska","1954.9728583858919","1771.176640866257","1849.093097584695","1846.7183613232712","1954.439327331563","1949.2609376866076","1875.4767312909119","1996.0129039963151","1929.79228490022","2057.47358917634","2104.403399170823","2236.583102532459","1999.193167535843","2017.3436847762414","1943.6954764924333","1993.5649379823358","1871.8989348089426","2198.6710134954533","2040.3587498649317","1842.2722692038649","1646.0269937498933","1431.233668113082","1318.1983143479474","1207.6946177425684","1197.662141642544","1141.955222734692","1041.4840022293374","1029.306940518776","1116.2411181946916","1027.6017334235682","981.7494469309645","1058.9649903035197","1273.7373931538868","1374.083076940576","1559.5740401621958","1520.186894680869","1623.765148973197","1744.8139299464847","1731.4128852289339","1831.6748778698454","1928.9030664763393","1962.3272178210502","2081.105876465135","1986.0745804352898","1970.330183635981","1891.9638870089914","1727.6049380960776","1719.4973583489257","1870.8841796663955","1734.8128380261267","1891.451278741107","1860.9040105324818","1893.7214010703099","1861.9919954275838","1884.6199889670547","1871.2817126088369","1792.4655760732953","1814.1206600431083","1868.8860535609683","1839.5"
"Arizona","19152.984515797878","18717.50978099692","19073.181475989506","19850.81493099122","20718.194935553784","21162.083409376068","21817.080244097182","23657.649395460252","23127.58383711646","24483.725590281738","25440.08725903958","25637.427683358048","25067.588086004336","24996.963670582867","24856.224763316983","23313.70594273982","21232.197901220487","20772.756758298165","21020.324654956086","22010.086318010723","22231.903074027607","22842.281595756813","23860.598979126265","24094.39893920383","24262.418757841908","24608.911828447588","24280.77600661572","24940.617115318808","26446.166476559825","26110.891724649253","25270.79263145888","24157.119539181018","23769.57762062279","22657.43429907608","22669.417503136763","23005.967063989963","23522.774609330445","24634.662969088626","25290.679650963844","25689.94981179423","25981.881059655527","26098.90852058857","26094.06424660659","26829.374044713128","26902.80303980837","27251.335804722254","27304.11289494696","26690.92979354397","26653.450410630772","26619.795454545456","27937.18301585491","28499.88368312992","29081.196560967266","29217.856079616744","29318.056062507127","30005.433044370937","30378.442140983232","30812.132143264513","31293.5","31293.5"
"Arkansas","21150.806599215648","21272.160069167334","21668.807704519906","22461.763524959457","23028.30601824439","22876.232299255982","22146.07477795227","21776.41343871483","20706.4662015464","20316.947021771404","20161.47880012701","20167.41917977499","19473.41311175759","19696.77138652181","18990.03593354444","17445.028049670043","15512.028512215846","15640.849888010709","15987.089158921815","16764.260542011","16774.61377511178","17237.28448712338","17645.303706373525","17711.49650816535","18021.24487552455","18117.4790258219","17829.285750328247","18028.88250650053","17209.78901560985","17114.403490976496","16806.352374945294","16759.338513159815","18090.32300457397","18126.644182993074","18573.86990791992","18689.45272335642","18741.728064258685","19200.834548481496","19183.69231006874","19065.903067905845","18805.884164456922","18689.96189875482","18478.823833552164","18163.983712208978","18465.5852731938","18326.580389430957","18441.654029469064","18573.19100738872","18618.677342979","18822.347502338474","18919.93945369822","19085.082007912195","19338.481631181938","19458.647025204027","19752.950405478467","19833.06066815986","19499.72050734152","19533.326083635835","19780.785327257596","19777.9"
"California","211529.50289864987","218555.52578300794","224672.0951248251","228710.26656099857","243810.16097655534","235382.8876611628","233697.43299808423","238842.76526865532","236559.24604771024","245260.838230554","258890.28466292645","274242.2558756005","268802.8340083926","292505.4669608648","294848.2983693669","266870.2452304932","281023.6159862859","258653.03591269837","255398.27962050718","260360.73264611076","260155.61133080945","256438.71424390314","245473.37356929996","257723.8116409718","245591.99794441403","243498.771991881","241319.0490991607","237266.04961609803","247912.58728258222","245174.3412903667","250806.52776713492","244643.00294350178","254444.34193729848","258462.74264428628","265174.9052028218","270503.1167183604","268172.64201559935","271803.04216231825","284051.00889284187","281031.03000973054","284530.4490755944","294551.7374315818","287987.8553419388","285766.1196496989","299430.1648581463","294835.9416636258","299956.5605227148","300220.99402557313","307773.4125744998","314001.19226798636","312229.24066472054","321123.59745712456","319727.28970838647","324472.2647129477","325626.3810291613","332049.3966733565","322925.2051541689","322685.4850627926","325154.35486985336","325090.1"
"Colorado","17424.55529169892","17575.835033835247","18858.73141641904","18891.858367251814","19415.2641904096","20005.14476157182","20047.10556596","20410.618639764944","21087.291822109022","21025.675693560064","21623.50673292215","22545.319351428738","21633.886510849752","22816.076962901923","22349.870341515383","21246.742878784095","20977.531191683105","21485.919463796705","22417.670167553122","22883.435096261896","22500.487544635052","21917.67405631716","22339.048870910014","23011.084280137504","22342.140719654406","22526.326566284613","22458.968432924645","22634.98296501611","22145.366631707744","22199.253138395718","21850.536769296075","22143.599860996663","22308.130383466094","22452.563889096975","22564.974675589514","22749.38136855861","22359.58758042633","23373.051429570256","24222.205602583632","24023.002204909233","24551.04580118361","23966.465542154634","23773.00414929125","23825.786424284797","23866.20130430078","23561.654202978167","23880.777162667197","23668.543830998577","24499.58860422337","24521.01069909523","25390.261888947156","25369.281486753065","25591.011210993747","25738.536565369024","26306.553348981615","26893.562917738323","26313.39958548705","26225.944435288533","26526.516302511216","26532.7"
"Connecticut","42752.261373354406","41640.21300473934","41237.9483433386","42531.08048235913","48779.11728909952","49525.76447814639","49536.75884992102","49887.60865508162","51720.435102685624","51118.331566087414","50631.992296998425","48660.442746708795","54206.779943127956","51332.39845181675","46259.14260558189","42517.175835703005","35933.81068983676","33065.249748288574","32136.225333333336","31879.474416008426","33610.11787888362","34444.073314375986","35425.806041074255","33067.51329541864","31647.94588098999","33266.70544286466","32334.12402527646","33564.200208530805","31677.69535755661","32636.792612954192","32284.002624539233","32747.05969457609","33076.56748393892","33186.83456556082","32827.900663507105","33292.25118904687","29822.556802527644","31127.33004107425","31888.5286045287","33588.129135334384","31566.78154818326","31489.497581885207","31115.365577672463","30344.142734070563","30139.45340073723","28312.12413902054","28251.655094260135","27668.630026329647","28353.838078988938","29567.746068457083","30002.67048130595","30046.97133228015","30210.91681727225","29876.235205897843","30279.46995892575","30155.621594523433","30579.55163559768","30497.41721116377","31013.829320695106","30703.4"
"Delaware","5351.658392564243","5524.399078814387","6205.866040392995","6624.258515168083","5822.93825239823","6114.004657289131","6451.187540798914","6911.650464734828","6477.197730172143","7055.614798614908","6668.475837102574","7278.64185098663","5922.602692314065","5826.406277647994","5462.139768378151","5191.014508673394","5169.174206802856","5076.032957237769","5207.611486654407","5151.957938598672","4906.26486405885","4772.415603823914","4727.744135725766","4953.454779064566","4519.869050814322","4875.919643123416","4932.440197491592","4535.103590304357","4387.093226966218","4112.252225922429","4032.198643073712","3982.861855294332","4007.468320161705","4153.496954785692","4390.107106052323","4480.275762546184","4197.466560630914","4356.128715807611","4388.249235382806","4523.378362078964","5166.738331925046","5383.861484169193","5215.951261659791","5007.209170435907","4343.577767284656","4266.827065626191","4319.136446476797","4326.815645244131","4372.023831535696","4463.513640505658","4485.271370346439","4714.573896979638","4785.049124376626","4840.826530476996","4922.655411965473","4922.9031280547415","4919.641532879368","4930.45846877744","5009.603759298839","4983.8"
"District of Columbia","407.9549210274858","399.32685065482536","372.78073183070086","366.0608172671575","350.6507784835029","355.9641391714912","343.13192063402846","369.1790231015682","355.3772131976842","341.1694677083919","356.1554718677984","355.25827665673654","351.7625765836659","351.81687370018545","341.79259175987863","321.80349614973863","336.1275926030015","347.89455342588946","349.3424765330785","335.86127817435784","330.16783767073235","304.79557079422176","298.3135293125738","332.2750829070878","328.27778090045524","385.23804170648083","319.41442302287675","296.3484908099601","273.07571243887355","248.7195773143724","256.81243325276824","255.6204822663144","273.5928278342982","275.0924624810297","261.0217525715249","261.89567758979257","255.43432072396152","236.33207801697486","220.5290315327975","213.30234388173795","235.71153954246526","253.28312067899498","268.721600809398","264.757911303468","274.8597605530886","269.6911921758192","278.2546231240515","295.7744927210387","","","","","309.9124276319487","317.07706143555725","337.11528300826257","323.1945365634309","320.76926535888936","319.68332302849757","323.3677702208982","322.0"
