"Geography","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01"
"United States","982761.9252437619","1007948.7457032813","1030979.895349111","1004141.3271232576","1017392.6368870655","1024895.4911477005","1001677.7033361834","1013015.9719016952","997851.6209395911","971460.9843113876","974820.4712937614","980643.5820632095","963659.5089856528","957117.8412783082","943045.3235854756","917093.2866466376","906762.8641758382","902787.4712466956","894258.1070747798","917709.1925934061","912408.6686878828","926985.1094280715","928860.8229932304","930689.8770169672","929719.3585553926","926014.590966497","918119.7965579185","931931.0208187888","937679.4763219617","918390.4218981653","939583.1856119736","937110.2299166151","966897.6811603297","959852.0904056291","958489.6317961108","963706.1685270746","968222.8121367106","981819.4025070403","988734.3465457598","980802.2245040438","995238.686619967","1013463.9034993451","1019669.6225084522","1022151.9101120952","1037409.5801570431","1042280.8362814852","1049774.3586338356","1061009.9762082193","1063109.655572203","1075969.0251880672","1095836.657925495","1103526.1503518173","1120463.563887952","1120752.8530447674","1128974.2642432991","1121518.0695240858","1145305.1037409496","1145790.362971737","1168634.8744518792","1189641.0"
"Alabama","13775.00871510309","14211.512538163892","14327.922151933504","14210.610138057153","14409.5249044431","14555.71372173517","14137.773558013043","14223.501568153453","14118.307498567627","13897.477301017965","13911.528959822934","14019.816972631876","13707.457621398466","13616.186296316644","13559.850746795802","13195.023275070442","12945.445188406022","12851.98232020783","12668.537269937446","13025.114226401174","12889.625296089032","13082.738918931645","13105.94349310499","12880.214552118732","13124.378238142703","12820.527230772852","12797.967228104324","12851.853405906866","13075.64863237868","12763.289281145268","12906.89981241808","12819.753744967074","13132.242010501446","13064.304173893932","13002.940966635533","12925.334557455792","12910.896155747932","13026.661198012729","13201.597904419554","13041.099599720588","13021.504625974208","13343.919292682735","13522.207770914598","13554.436346155353","13753.222198240339","14068.288749793974","13835.856265157638","14114.053326635847","13936.151591306872","14061.585206143895","14283.833461004151","14471.145940303426","14925.05319399424","15189.972082473254","15433.491196992409","15418.537138080697","15797.674097212956","15769.570779603015","16122.022478435925","16425.1"
"Alaska","2196.581836552952","2231.1631148102474","2295.861542677079","2203.099883545691","2190.3991231675573","2198.9291718043564","2147.769838334018","2178.97682216742","2156.4465954240304","2103.6105939169747","2117.6107720235646","2127.503113440197","2100.760258254555","2074.1850698725852","2069.406565967941","2135.278661460474","2089.3169989039593","2122.494067680504","2124.254569119057","2186.228411426223","2153.0513426496777","2173.821067954514","2170.719232086587","2161.6023496369367","2151.940550075353","2134.9642862035894","2109.9190574051236","2128.425280860392","2094.2212529113576","2067.18498081929","2103.1285518564187","2118.8263563501846","2125.1557781887927","2109.688515550075","2117.6736470749415","2117.631730374024","2098.7272982600357","2125.1348198383334","2165.165269214961","2158.3328469653375","2156.027428414851","2196.7495033566242","2240.2171222085212","2233.9505754212905","2223.1779832853813","2242.627332511303","2203.2256336484447","2207.7107206466635","2219.468355254144","2242.7740409645153","2276.097818194273","2264.8641423482663","2291.7117892862034","2300.891546787231","2306.005384299219","2305.628133990958","2342.871122756542","2360.224636936566","2406.689299904096","2447.6"
"Arizona","21443.93031965474","22067.16283373564","23114.185155926167","22321.602747909197","23555.200504718014","23818.14942091532","23721.852422402655","24197.318852558943","23579.689827615635","23380.03958500963","23487.751098432203","23251.36687147977","22415.20177017043","21929.773581547313","21145.907712188815","20240.425374881135","19613.04212810572","19646.247989661813","19227.85413405505","19323.11344939409","19669.492092751076","19725.111910857533","19684.01965718187","19877.02872747665","20382.79550630288","20327.590761465875","20170.900602248064","22383.656201692145","21350.746370662957","20459.79159778607","20771.304086509153","20432.81183527174","20859.2996196328","20651.555448272495","20581.823139004704","20465.81016019311","21752.7448321264","21693.59689122961","21859.00358910589","21493.324038719427","21793.214475897883","21882.662765464607","22171.968834272062","22083.143154609512","22447.369948552896","22694.338543876333","22503.4048399288","22682.7164923317","22879.253685416817","23365.719557213564","23681.175241996436","23939.350815595055","24202.09219515763","24119.28507790213","24412.119269499915","24410.043903152655","24547.225618706263","24539.131689951962","25012.522753761","25535.1"
"Arkansas","7702.018107511288","7891.440328268679","7924.70059655252","7854.493009459147","7871.468804587851","8002.205471144656","7834.291045120463","7876.6921261659145","7629.96699515507","7472.652839392242","7500.228904782307","7559.375340298606","7700.25139580106","7673.366652384561","7665.608483570087","7470.50205991892","7380.630203355195","7399.987218615075","7280.0044494248705","7509.21609043868","7551.770798589368","7774.760541841072","7760.626848159256","7667.836076596025","7655.853162387529","7553.153442536502","7523.887478988827","7630.6583171286375","7694.644006459905","7545.16483306417","7731.130443953725","7754.404950397151","7959.57394944135","7915.406156685672","7880.148736033749","7854.953890774858","7996.982149566592","8016.646419036945","8074.794278369203","8068.7260077123365","7867.551313404304","8273.895006756533","8403.40265647144","8377.900557002074","8541.206169869152","8718.338222207572","8614.793553277743","8848.229939685574","8679.931445898288","8739.00106786197","8888.019359941993","8908.144510728058","8960.224099403447","8945.168643090208","8881.413394416795","8835.01800863518","8968.596776638871","9004.238265053886","9170.846860683563","9322.4"
"California","141247.80572179004","144613.2107176062","148749.64506694142","145945.55948647222","148198.37163665664","148123.0267486906","146351.16613335605","147054.38508770568","143157.798631729","137113.88286872033","138402.28045293954","137959.00136207268","132050.7063974029","130879.09338953109","128023.52213561842","122741.84548919948","120087.19393652955","118718.4284718133","118481.09207472028","121926.86495103354","121787.47690829639","123532.96681284282","123573.15075309138","125692.85360120246","125491.9338999597","123038.20204853255","122509.53208463753","122917.65022778689","126256.68451281494","123211.49529085442","126495.27665804072","126335.79664517926","131174.19420073138","131352.51043558432","130136.94624306566","132442.49981482627","131328.65122106174","133961.95505547462","135029.34096832675","133454.63280983668","137092.53515046329","139572.63771267858","137829.65930439768","138674.77779775","139823.787339232","138378.42123841695","139583.9394458735","139224.79547990207","142025.11381597293","142899.11451637893","147438.64401633246","146999.13216986394","152249.4151129637","151474.6185150463","154207.12645194778","153480.04828307556","156222.60220503918","156392.12820296275","159275.3259157963","162076.9"
"Colorado","15748.827398695941","16102.69602569189","16310.209700336121","15757.49915782697","16033.778361018993","16197.172559382556","15793.099011101713","16092.3507691847","16035.147586144945","15779.863168217511","15924.392487067966","16089.460182807694","15928.956570821138","15721.290760051803","15418.53987109138","15076.994270228997","14914.817160866278","14812.429548670114","14705.782124970992","15155.800783033768","14918.772700119025","15243.126918844464","15366.205044055007","15190.03141118256","15114.419757005007","15040.177327953406","14874.196815463045","15007.468061055673","15199.920259314435","15017.66118143776","15389.938279571503","15247.082458097211","15578.739210827727","15515.906991159054","15536.597504173436","15835.088581630895","15844.825293637663","16197.933240008086","16181.95894687198","16357.980443619324","16672.445814212886","17011.55723707358","17061.15361385805","17112.879896394003","17634.25039713137","17768.890867849954","17821.225694886325","18082.29128556777","18382.455860401395","18319.623640732727","18706.505806876623","18704.984445625567","18985.52346032055","18958.899638427047","19209.619972601304","19074.3709573823","19531.235741074837","19507.046097183025","19918.422179468947","20322.8"
"Connecticut","14056.690915586763","14214.69024691467","14663.720761474606","14368.592350849955","13702.6648611932","14122.118515512664","13460.032176536492","13503.565217583076","13322.903097239743","13024.701766070624","13235.068785010453","13310.611415061883","12977.455612699476","12889.36522375815","12727.012588325586","12358.90231476989","12300.260747713017","12273.628769660989","12183.105651955293","12528.937251563617","12348.531207932321","12305.63835866583","12272.732501168854","12390.143673638617","12639.818467876392","12322.66746001641","12327.404879189125","12562.355262484672","13003.19132225937","12586.170396704276","12819.200204659533","12806.908522481674","13274.3765603084","12853.258407360685","12684.759930839193","12694.746922608703","12956.457322312299","13089.489174216427","13117.145459116613","12877.329618292328","13039.042061944796","13152.612083733979","13152.868160446016","13091.409749556718","13280.522401397331","13072.71614957789","13105.493968718849","13099.2200892739","12971.309771610548","13276.425174004711","13500.620335394631","13525.843891530447","13725.32765020863","13721.742576240087","13894.850433578278","13802.53477888831","14035.948701911626","14042.350619712595","14317.120931730167","14514.3"
"Delaware","2801.9299437986524","2867.3559255768496","2932.375219045624","2847.072346144448","2870.6856861102383","2911.93913149719","2814.0543390232833","2872.998725870074","2817.2061734213007","2782.535995043111","2787.41625475617","2769.3186249869095","2722.4223793067335","2665.4860159877126","2622.7074894404304","2534.303618179914","2531.0246936852027","2503.115708451147","2512.0882692777604","2570.803893950501","2472.9953555346115","2553.138370510001","2581.8098963242223","2605.6774164834014","2550.1136262086784","2557.2052536042165","2524.1618284637134","2574.2099085419068","2572.328975110832","2511.8086710650327","2549.3256676091737","2533.74442175446","2606.3637030055506","2608.981758997452","2584.631296470835","2594.137635703564","2563.5089224002513","2594.976430341746","2589.130285893811","2558.4761545711594","2557.9423761650437","2583.9195919293466","2580.0052169511646","2598.890805319929","2642.457290466715","2648.4813610500228","2697.1314500645794","2652.0653017768","2681.499368171187","2676.161584110029","2716.474562781443","2722.219035152023","2763.7266607323627","2759.888539812197","2770.3607637798027","2766.8276590917026","2802.997500610884","2800.43028065766","2857.341225957343","2912.6"
"District of Columbia","1180.320695788223","1220.5394439893432","1236.3174707197732","1174.8541929579853","1251.5627987985326","1216.81055342765","1219.9052789278308","1214.1977933742185","1237.4462845292653","1195.1347916251539","1201.8696245784163","1202.973071785448","1168.96914118715","1194.8430756968583","1187.2330949587088","1159.3805654570813","1119.669149305171","1142.0551759765608","1124.6790532911195","1153.4701470837854","1225.8410639035874","1249.9900694459818","1274.722506844968","1264.956364897676","1212.282614888451","1236.571136744378","1234.732058065992","1344.0113814658193","1199.7388299717345","1234.072526402019","1280.2143762776657","1359.2947594482696","1326.3308595508518","1277.7157659353065","1269.4589368344143","1330.9983144035837","1364.1778304219156","1364.3300300366786","1398.2705441288256","1355.3502527656622","1432.1222751123605","1442.4464823137835","1427.1377377288727","1460.9260522062568","1532.967203194072","1579.1851528771003","1555.442012974074","1558.105506232426","1595.0519627161423","1599.9096670873275","1666.078449605538","1569.5458439421109","1692.3075165496932","1629.9056744968673","1652.0126685411915","1625.2001697404446","1648.5120774016425","1656.3376742607065","1695.351508844953","1718.6"
