Geography,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3
United States,6.268521146749937,6.006425319846991,4.913908326126282,5.240323735065782,1.8013590324372677,4.007282073249081,5.669749914354213,5.156214033105227,1.7463949119456044,1.96865797656557,-2.1569541254660205,-9.800799984079909,-11.590988797887475,-13.289375366035907,-9.773750970748136,-0.16767418258835373,6.800919390029047,7.030149173779857,6.799715387440329,3.1502762430939173,1.3895868382529617,1.7669459253617947,-0.402961498372025,0.08034193527653873,1.626979851309114,0.4137532875745623,-0.31827892022527854,-1.6879669471025087,1.0559796437659137,1.9303457160805262,4.827310019374168,5.625537567093822,0.04616223928826601,1.6054902124637065,1.271024563504753,0.8287292817679307,3.3022231543624083,0.7371158927121232,-0.03160620705122234,-0.9057452463708767,-1.3633272086814379,-1.0378821896558925,-0.47220324117042717,-0.11244764478923329,0.6041207829899427,2.623464747192471,2.563839816370882,6.007745933384967,6.150194878929535,4.87162739285535,4.958537316415215,3.668089086338915,0.8201223919433445,0.8815384762798936,1.0699361274785302,-0.6174405819165903,-1.794180622466923,-12.086471700084505,-2.8339470883524838,-0.6600472813238716,3.703559505153811,16.510728408133257,4.568276985111658,6.433004607242116,3.5609701156329745,1.14150593471809,1.1605380002039234,-1.9694123960289702,-3.1077235403940437,-0.2924700424494171,1.8518688206133878,2.784468286986333,3.6264486619461396,3.8987788730322257,2.4632491858142753
Alabama,5.591175456739039,6.19597873815576,4.722344186906377,-0.2962995721345695,-4.202576825977195,-2.525516310852879,0.3861728068143056,2.809904525343479,3.7337846741031915,4.219644790748046,0.1417847290152943,-9.902389041686899,-16.851545646674914,-18.898683604502946,-15.253753621915878,-4.651997988842871,5.896064900173834,7.584822430893966,11.115859818167673,8.644284853354774,12.76100933975052,12.755953842376643,7.683252328169982,8.82900165254874,3.023050623138856,1.4915460909516434,-1.3832815594930017,-1.8317352107292073,3.8036205586065974,6.119865695497796,9.260133244064939,6.326799930771902,-1.3778309475681703,-3.377271900208234,-4.40691927512355,-4.416208022625307,-3.055590412849799,-2.1101637286185047,-1.357699057386971,0.1149474221976121,3.6707440726597977,4.1114483584131305,2.972227252873703,2.883143391733292,2.350456252796306,2.09208027511163,3.658221169265125,5.382532859386616,5.040256994144446,3.1411822670005005,2.9542392334946848,3.209295484630104,1.0191045816154685,2.4323191358686778,2.5010905918278454,0.8293906401413733,0.5757863171710879,-14.744175422567395,-1.9142195110417572,-1.8590232825470363,0.9096970851590638,18.19156061620898,0.5515326243117851,3.3756408533190063,2.4543352055505716,2.7503872454569462,6.074815645886681,3.6090421085870186,1.7837563919473118,3.3523918079199957,3.7697300620152254,5.156866260308341,3.8417322193154737,4.666696313425536,3.978638882113114
Alaska,-0.43808787527380244,10.05289135479614,1.3344134656495326,9.68297686649211,-0.2361848065226136,7.4284185175274215,13.763545922899262,13.07636664255453,3.5165666720718076,-2.5666317939520775,-7.563927386297075,-9.56737096066679,-5.056496585141716,10.223031220280404,5.5907507127019205,-7.432671416300337,-11.281842579963907,-33.85040728851614,-34.04029798510075,-33.47161572052402,-26.713695929778456,-19.538569424964926,-20.091566484241156,-14.26977354775187,-5.658749492488826,-8.839268594537122,-4.763801935116669,4.16315749176939,15.423099682607965,34.50418754063253,59.34181955815852,43.889082857090344,27.139261744966458,24.3407304209374,8.486272940941125,16.85248330204462,16.6245096961032,12.37752243754645,20.91937863003599,9.630706346517458,1.9645439114855199,-5.21919606067696,-16.343432225600175,-8.467665560108069,9.129956739315842,6.223634353431147,16.468443836864896,0.8560506224337513,-22.690721455339812,-27.045544114229138,-33.68774208693612,-24.195760396531426,-12.109032446653021,5.830043631830462,22.61966221697766,14.943658560907153,,,,,,,,,6.943025214725607,0.4753438993330077,-0.37013467707371733,-5.198380566801626,5.265604421145058,-1.6903423351069413,13.78236045571865,12.313736826890233,-4.624405083165691,1.7091944192696242,-7.79612084273718
Arizona,7.26003781559339,12.781492033041745,14.29397006173711,19.414663201212907,12.053143227478909,16.20609553307356,16.994092764561504,8.122293513501265,7.91449293803282,1.5314705175540069,-2.9388512338326267,-10.142693884398039,-17.08417746620787,-19.052588544132202,-17.779298211318533,-7.973863835248826,3.166005196954239,8.651098499448432,12.334231521107407,8.300896400451384,7.491040324803877,6.603219650633654,1.6567504644545323,4.396028940036045,12.698764280718114,10.913868680145953,8.718986756115878,0.6089287116055313,-8.643571628065768,-13.02957881995096,-10.762503590692916,-5.150697757367683,-1.9294133632256496,8.023744096689406,11.041167423727616,10.645748868911213,10.040063269947936,5.037001145273531,1.9422791986085266,3.0789982369309827,4.201072301671412,4.241890503449285,4.244473232434937,-1.359051240044097,-2.4317058189763636,-2.2207024178299934,2.7046687614293967,8.87354544884785,10.156040372350311,12.154906397860536,8.238731382926414,11.427721651363829,14.717207393736116,15.302145143391666,17.38723427460032,13.878939211296691,4.905755912713966,-4.462226181575213,-0.6449365128522643,2.6266643479839007,8.412284457592149,16.96000399627015,15.066198072112641,6.610035879262977,3.3031501999841986,1.0264587174248974,-3.252043532144557,1.4304965274178334,-1.0746484453743512,3.4377311960542576,4.818737356414346,4.60568897973088,5.279836981344202,3.650445491948445,2.1516865562998007
Arkansas,8.488066059493342,7.108727537770741,1.5951633940846746,-2.9660042420163997,-9.462951847405625,-10.000756105552336,-7.770780200905648,-6.914804898389163,-5.979687111536732,-3.620002427025881,-6.144657637321285,-13.497991286142716,-20.298314513206723,-20.72659299363672,-15.849759988776094,-3.845189424911414,9.150784581167585,11.482119512761297,11.65640518750521,6.624866777024445,8.267663349394331,6.113077690225423,1.9219488262460331,2.033155751214883,-3.8930249968805906,-4.816937774335147,-5.196680654241813,-5.872666826467123,5.925693512788342,7.096277167131431,11.580109277553944,12.854580482295873,3.415555896021642,5.09923911611838,2.812456720020586,1.0222902440938846,0.42074489624588923,-2.329997879191,-3.108853159368415,-3.3932213265999787,-0.5763462011310401,-2.0006514207882082,-0.7775725436453457,0.24025895693434088,-1.8162213495039223,0.7664417363279209,0.01100935795425985,1.0580153437296207,5.110172992252141,4.967466592038071,5.875347757340417,6.360027786047437,-1.0630242032111314,-0.030470096456905894,0.43006890554551575,0.36574328926375327,-0.3555650286777074,-7.552219756355436,0.7698678613108606,2.6791607403482427,10.84794212875185,22.752936328044527,13.064350424955649,14.391641693752103,6.098801817448208,0.28620828577183466,-1.378677989063102,-5.165058686653659,-1.186352400400137,-0.15064652466837175,2.0068850564122327,2.9735526568355066,2.0573273986814296,4.975483005741577,4.470172845588533
California,14.289584179872667,6.4363842365963295,2.775662181602786,4.073299888517285,-2.0607832293065855,5.486257062532399,11.724989707698631,14.74766680502925,12.370759777888349,17.252309364245615,12.581374210823675,-3.0222761590253953,4.912776089401509,-11.734654470423376,-13.68144277032849,-3.1429362147592843,-8.38807536152548,-1.3038477885841686,-3.812075786493427,-0.6286104727001658,-4.857523434874071,-3.253916986485258,0.07227237487024626,-6.308367400517589,2.476873356274613,2.370977455421424,4.955617416881145,4.023057523718047,3.0579673135853014,5.208906168071325,5.218316026523193,10.536442699915337,4.880133804125603,4.2265334403033785,6.128345679599518,2.353432669544631,5.012167174616683,7.169098352052082,0.9635314548204599,1.582766439909297,5.00579322136854,-0.7269561432147315,3.9471786051156927,4.365150229920989,3.1623940780100135,8.627304816820526,7.582842258092066,11.045162394259227,8.299151600743516,7.596980583699995,9.715703299429428,8.305484663167539,6.591172776174369,6.148002250984793,3.2252229437621023,1.5392276296250162,-0.878873746233079,-9.495029821073548,-0.4433463007745552,-0.41860057798405514,9.288670272624977,20.754864345058536,6.348018939327278,9.396545659209226,0.8295757454971152,-2.756936808744587,-2.5405705111760386,-5.829722581734297,-4.346823475152771,-2.168310081644199,2.810586826754068,4.473942549831399,0.6414451026312119,0.5200985807767528,-2.173787361970278
Colorado,10.594798019564127,13.265048891483472,6.135340201098022,8.905410070523248,10.986823052418195,7.92559359955019,9.885153670897843,10.880664772276987,1.0948389271230767,6.336354262766583,1.0123556044514175,-7.331890302423876,-4.337305342854681,-6.669184367121553,-0.4513608897359983,7.686120690604992,8.15954851547482,2.933102942945579,0.7437564434345322,0.8870744958408795,-0.9624879169308479,2.3331668809298614,0.6296663708035207,-1.7443511419414979,0.7472476727223081,0.5720693127900606,-0.7896812219823982,-0.8133437925766941,1.4615344549195326,0.7061155386711798,2.9935046597006427,3.2061688311688408,-0.0728967740610633,3.552976873872401,6.557393697508862,4.01201891567601,8.16012000780873,1.337385416460435,-3.2422850389798454,-0.8152700763891705,-1.1152381042852169,-0.8488898006232464,-0.2777668334580934,-3.8811513463324,-4.27974446419136,-3.2137931034482765,-1.2988680587108141,3.9158464166598876,3.134283420313127,7.198843624666628,6.145486204929587,7.168648172611195,4.481184862255858,3.2931345551229847,6.001810159520317,3.7517918937920487,5.658110423962441,-0.6527055103054052,3.554974473913594,3.0977734753146215,2.571335384289919,6.703186882333345,-2.1463355979077785,-0.09218950064020466,-3.6266758336198057,-5.770431524906336,-2.593652354035737,-6.781326361477079,-6.466024612092024,-0.9368845368035452,-2.8636564333150156,0.18789239723202025,1.9897224685143378,1.864548494983267,1.7643948459633123
Connecticut,13.433270576533703,18.171080261315925,19.44338543652307,18.304000683755802,10.190213136418558,4.831743524562851,1.7057870313535806,-4.302829620710407,8.225858707576192,6.21818074806509,-11.36727119104378,-19.115713449887703,-36.88348520259447,-39.06466448717239,-27.202778156066998,-17.266349324870884,-7.442355858442117,3.909247976720931,10.827799083341134,5.012738673861722,-3.740796346407998,-2.5676255152316028,-8.682038384281698,0.5022336415967737,-0.7238120143454918,-1.5251268693582387,0.6423349568850062,-1.4198927508863204,5.602227720443655,1.2869742878772676,2.0175583595055575,1.938229659883621,-9.922317642447345,-5.826309343707236,-4.414399006220117,0.01595560795299617,4.753051011729336,1.698253934862008,-1.460630774011885,-9.165034432026669,-5.036820241691852,-11.615924177746002,-10.380748499560376,-9.098448629134543,-8.269622707163089,2.4914893617021234,8.11099025316184,18.081897708366863,15.31967008789709,12.777397189180226,12.023081475636237,4.0741380407413885,6.376759835341447,7.280123697676969,2.922452429800391,4.715572131047308,-2.653131543375122,-15.644892846725341,-8.669837793443307,-10.315116938578056,2.5166993392870056,15.711002176433494,6.868126721246988,9.008137642408755,0.9472631178235834,-0.308506337124476,2.4946093298038297,1.6090639957000352,1.309339016197917,5.3639914303095635,1.0390654397427561,1.4097752252365825,2.83327562326871,0.6526814328867749,2.7770489305695434
Delaware,9.357185341080653,10.840768977572957,3.3010791536419415,2.908587257617731,14.386960196132584,16.007865484168704,2.9081923588671343,4.5703158557888,-12.816648988698306,-18.11816798118168,-16.392316217214642,-25.170468548895037,-10.583635387300312,-11.077125861835876,-4.083490186721791,-2.737369855995318,-5.7605329830158585,-6.88983485680621,-10.225534816015934,-2.93105070078074,-7.20693809680278,5.409680480860482,7.159057089785828,-7.818284008760201,0.14486066550064433,-15.654648956356725,-19.38057250117316,-12.612745201101701,-8.984441968112456,1.9099653359656326,10.495117721128018,13.91949764219038,2.013114676900973,1.2490707994503616,-3.4208800541836237,-3.196443468252063,19.852746009947715,20.66967017075478,16.528079256414543,9.289641329959002,-16.319711908796798,-21.59463844537041,-16.893860512213074,-11.7409270571326,8.591943111602065,16.26671056189815,15.098048230993816,20.562058241447556,5.985758789497103,4.483951216552407,6.480381093146113,6.378568011481406,17.64894074362897,15.82268679829656,17.371649378177132,7.7596621019866685,3.2334545701757245,-6.358424975766292,-0.9493063990283199,5.816360764931626,1.209242597607865,8.957781168848546,0.5711704153086405,7.746974442253411,3.245221634810891,1.873919916132269,0.7275556696399993,-2.8327818966074116,0.8815188277926684,8.590264099368882,14.043051341472163,2.2114546555773855,8.89902310653684,6.468497815947277,1.5132153206941157
District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
