Geography,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1
United States,0.0764746193649797,0.41173850645816346,0.598932380830211,1.4846308645385207,1.9620102417530043,-2.8772510867315426,-1.873393883516088,-2.6925357465711452,-2.5559416396570063,2.1789875370438208,1.9361480948382666,1.8899777238354911,2.3353143884532845,2.096762979370085,0.8854590560986936,1.219619800194113,1.1156335099996977,1.0351201478742988,1.4530928035457336,1.8703447207074784,2.0908143171551075
Alabama,-0.7154491041897613,0.3206793206793244,2.533950306810184,2.281513150665791,3.1430843087327793,-1.3861642485137573,-0.7161847952986856,-1.492289511978363,-1.709535146949768,2.526532631855324,1.463453196177829,1.6735240172507824,2.6406702934519313,2.622844254464154,2.268211920529815,3.4996538375279016,6.365095945527701,5.6135670000191915,5.879496043196294,5.3871229108176,2.214179844143571
Alaska,-0.29437504972552875,-1.207862950974981,-2.293028643225953,-2.4832307722748643,-2.264203638684976,-6.276969793830909,-4.82227892865035,-2.839663988312625,-4.930296164758231,0.012789359253108711,-2.2198062023686407,-3.583623093067711,-0.750362299393484,-0.29838022165388856,0.1586873212068773,1.167462663937532,0.7495457298607011,-0.585720393330481,-0.0916125972710269,-0.32114756730717586,0.002147097660728814
Arizona,1.4361208600588995,2.064356385816234,1.4429884919922522,1.6841474378184107,2.3235235633326643,-3.9515206500729647,-2.4114032931924148,-0.2554127863570341,-2.4777247685027635,4.798915777693345,6.343178338302828,3.9857784431137593,4.0312054759034135,3.7748234072361564,-0.24628442061590664,1.2388357974295225,2.860754886843602,2.3667912843170393,4.095566380841157,3.123742878259158,3.815642458100561
Arkansas,1.2861090178347214,2.5401893522214114,2.4509364191809038,3.099614793525339,3.4839541689400124,-2.3117172334282627,-0.8668327042067108,-1.9552423726188608,-4.587938686887063,3.0261153756922194,0.3503537886296825,-0.1293290684358056,2.659472928032456,-0.06951447565524199,1.0522815733370028,4.699439507320003,-0.9786842568850481,-0.9033370564144703,-1.7855414690796592,-3.646320162394361,1.025914724544864
California,-0.6534524068830305,0.7689178597295379,1.0918554562858986,1.1135096064622665,1.970261704969013,-4.140165015851753,-1.4430427191935493,-5.006810343994828,-2.1266822388803686,2.6971785417158762,1.5712570056044717,2.2982427595183883,1.1383721278571681,0.9631252062768155,0.033500837520957366,0.2922581414767903,1.6952499432283714,2.1198613174839145,2.2270596115204175,3.4849836455545717,2.038834951456311
Colorado,1.2148033741237894,1.7286161232561357,2.61925292987889,3.15475957205001,3.729788420342168,-0.4506813412121969,-0.6359513010265105,-1.9859813084112046,-1.1466938252046164,2.001301817687226,2.1737668053700263,3.697781912264877,2.68058152402029,3.0040097911289374,1.578239482322405,2.3716744694569774,1.8822348984559338,2.1517009255920305,3.660219076102567,3.057936486202773,3.773344032681655
Connecticut,-3.667638721781494,-2.7831668455378495,-4.48814261349794,-1.7532808398950093,-1.1293754035373844,-7.748893394333756,-4.432256624469892,-1.8251763197264377,-6.043250187346106,3.988171263534594,0.8563833928353094,-0.19374782305816093,1.1713097476214902,1.384262998904523,1.386147348455589,-0.13632298732741116,0.17794195488382197,-3.0963503012311047,-2.7648466391124464,-1.8892856752831322,1.3895290665647402
Delaware,0.6612619652275847,-0.02744963482180457,-0.5973658094788418,-3.2531522793404455,0.7859728111627564,-3.597870107965516,-1.7679729376072382,-1.0546788843662975,-5.589840854169273,3.8725230906945334,2.876313582317843,7.655987192737145,4.499240268812265,1.7215884052293902,1.324573182428547,1.24705882352943,-1.097850165409422,-2.9227999576405606,-4.459442829961858,-5.135022077620277,1.5984528555077593
District of Columbia,-2.408197952488244,-1.8910378696719714,-1.6905287419184878,0.2782591473981371,3.555119027126644,3.3564006940151088,2.7438085493180098,3.976655540852805,2.620514324826457,1.5725697526338092,1.6262992506647538,-0.799673292621553,-1.1043353978085049,-1.7429380140954662,-2.442273112161887,-1.5816028568419613,-1.513618714532077,-0.4891393660521942,0.13165593914569682,-0.3249058842984815,0.4353355507728458
Florida,-3.8155140528786515,-2.113805989462025,-0.9950558810087826,2.2381227968643262,3.9605320149167067,1.561954717060936,3.443211145848644,3.020728268253013,-0.5467035200390091,4.880359857556374,4.496957403651129,2.680400011988385,3.1225094513129554,2.801687763713084,1.5014461245802422,3.5814360770577807,2.9942730317261965,0.8508213661429221,0.5804113557911894,-0.4593231324146894,2.7609958825566743
Georgia,0.4830143300931902,-0.22162812192529163,1.0578489411577827,2.2951278514164577,2.0893170576033087,-2.4652376588708536,-1.6306110614206826,-3.0048664178083557,-0.15434661560852866,3.8735307033220634,2.19919665873984,2.3876928036752503,-0.10860100382550815,4.485124958216152,-0.30796906621823816,2.7108404097255585,0.9980606867911271,-2.470924761940595,2.6272948375961125,0.9781192519926293,2.948107489550696
Hawaii,-0.8717078018883625,-0.8958658666885734,-1.0869677100595985,-0.7897507897507906,0.3832898172323726,-2.747138828993203,-1.8689838180966751,-0.630586570379088,0.6814611359072975,2.7277378642846473,1.4867601989416472,-2.9111471804806444,-3.2333732897945704,-3.983480850445651,-3.918454352619096,0.9728738607560675,-0.9077026579669588,0.13832753366330428,1.520374982327557,0.12711366525310666,2.0648109232377374
Idaho,2.887999759333355,2.814112148607307,3.282457057726665,3.583045931964277,2.3498338255216695,-3.44302870956247,-1.5446486569103317,-1.014935537878007,-1.2341211647970711,5.018053422170807,2.388737423229546,3.033024998088839,2.1519890472242076,3.42960803122833,3.5810061689204105,1.2993637662072512,4.594620103822562,2.2231404958677627,3.6987228748124523,5.079516219111363,4.953166453103281
Illinois,-0.8066142367413006,0.5813894804840799,2.4109661049503144,0.7658255417000148,-0.021345801992282212,-6.352296560928852,-6.301575393848463,-3.3788063092497427,-2.870098313321589,3.0026039713241555,2.0226707681934855,1.2568669885134005,2.89629040361748,0.2257571186317331,-0.5978687373507822,-0.4685573366214446,-3.3915546829700065,-0.34773401980527585,0.7302758011738454,0.6978856954079916,3.4516526445471736
Indiana,-0.11862630736074325,-1.7250275011438558,-0.8602401665985496,0.5097198986430419,1.8883984243551766,-2.8855583401848466,-1.1965291819627313,-3.5606517803258857,-4.965710178151649,0.3488443256696409,-2.1577802282955454,1.3151520045217884,1.9461536889016096,3.017889815003053,3.905083919705149,1.4953326891082572,3.1592773065431348,1.8510296105536157,2.249518728074035,2.8710247349823534,2.67764289671395
Iowa,-0.5209886853983985,-0.6092013133430878,-0.6887296982614076,0.24391694925337756,0.8905191196753584,-4.836815920398027,-3.24894682457673,-3.058358061325417,-5.176085987418878,-0.06169031462058736,-0.4641705518700371,-1.268263815198752,1.907647304638548,3.1188533165934453,1.6311412830406873,3.1178628636386985,-0.8959875340864935,-2.204726007244259,-2.036403504319513,-2.635745926118918,0.6837553790135659
Kansas,0.8480558244594957,0.4660539105615568,1.5632467739365854,2.5202421035754163,0.4129628333449847,-4.386609714910094,-5.303817572204469,-4.549053339458673,-1.6002469578379261,1.8981029359818715,1.0942935232731588,2.276427759515826,0.04149167636492056,2.0024265657976685,4.363587952769594,-0.16220112940046236,2.664481670308338,1.7002348942975583,0.6211362967324262,3.6514431273442125,1.8336781948960543
Kentucky,-0.9681480297338366,-0.27657838709034654,0.35181438552077887,1.4492032368193208,2.585780728215568,-3.1535576040544235,-3.249577912404383,-5.3941623742948135,-5.832890777128683,-1.6111254184908679,-1.1578968979038955,-0.002074107874354737,1.0307986339568218,2.2185926228392323,2.2909959497351715,2.086595799844423,3.4567594947176827,2.5391785311891937,1.5980344379467066,2.3344880481932746,0.5355608401111138
Louisiana,0.12427300293284407,-0.35800466790617047,0.3502123100122939,0.45386080936845347,1.2640254195214138,-4.616193898009016,-2.2521231055176294,-4.032530335829036,-4.85865291274037,0.8865488070091514,-1.145937635909406,-0.47079517822959216,-0.1679927443624625,0.016502501160329162,-1.456956352698026,2.540804657448791,0.7205905125690674,0.8229264419259352,2.1409140934858932,0.19668674088043922,1.3068478829064079
Maine,-1.1976406479236057,-0.6281998617359095,-1.0268752507019796,1.3840760738173903,0.4262755437033338,-2.4853299993950615,1.4387614492988656,-1.332392742880986,-0.5833894929540573,4.068571192241291,0.48843341723600897,3.5416142188208055,4.161312842096754,3.067996661765277,2.7503603200636197,-0.47946937425842906,2.2000543942808424,0.8993637941006414,2.2240065007932577,3.6206744911022293,1.1186405238697108
Maryland,-1.2921579036991768,0.29226844505152866,-0.0629836242576969,2.154954882209267,2.9225820200318644,1.3258960313247914,1.4555385492632382,0.9099981226965705,0.7394772388905836,1.0466391911524837,0.6892267644796709,0.022520317242756913,0.604856468930158,0.599569640062602,1.9027194296738137,2.524644405940092,3.030420951250591,3.810292358997806,3.201998846819126,3.0344116411411974,2.4002417237927935
Massachusetts,0.8859730838602109,0.09456916848088734,0.09734991887507281,-1.0164555118683412,-0.6090373280942736,-5.049749530061308,-5.625085957915003,-4.407697287118219,-4.632338406799788,0.20211861771595344,0.8264978973227147,1.218911598128549,1.9763091623226738,2.4505291032656578,2.807086370300031,-1.829663868953503,3.121951219512187,2.581733002160709,2.6350408210401643,5.764762976653895,1.3934878587196464
Michigan,0.43881428933368194,0.6071101356181515,1.7333696342680835,3.0766596841765983,2.285385639907984,-4.357224346016056,-3.8655961938745182,-4.668249455305761,-5.153245933335313,3.0406395178504093,3.2683781833178753,1.9226630317813318,4.211172243081043,2.5305144296188,3.201876996805125,3.5907852265985487,0.6527076388750348,0.6496979300782445,-0.7497557247477722,0.1669578722578161,3.6270971324316825
Minnesota,3.2732130928523713,3.3966201120067567,4.027042341585422,3.4537091407320295,2.018690506072481,-6.68050108517686,-4.913598797896319,-3.3308422177865604,-6.569322343455758,2.9581573739722877,0.7002607458912513,0.6850119387795143,1.8231355906453075,2.4303009887649445,1.5114214816050007,0.8533551045797363,1.208582427310954,-1.3483319953185808,-0.5410732574542416,0.5107646049765786,4.211467772688868
Mississippi,0.11511348355814381,1.0084703333980656,1.1740787801778843,2.2564847096833387,0.39785504238021735,-4.803860082138032,-4.585552094845779,-4.059431679564857,-2.1749706085053035,3.5958303669149614,3.7455510393193383,1.6539175021364452,2.568326391910657,1.1149518426963945,-0.2821676156836373,2.5814785577346906,0.5818123049262025,1.305538648813152,2.030637691485563,0.9544368822394778,1.502354961487088
Missouri,-0.21227577742230427,-0.3418427523339307,-0.304448947405188,0.2023581739679364,0.027221034802593653,-4.586576265746604,-2.7474067844126715,-3.243189202699318,-1.4433301416116464,1.9530962567407153,0.19252151711074053,0.142589971172015,-0.33543663008908814,0.02165193991071422,-0.2311984299057771,1.0431391161691765,-0.06259299163715437,0.3927430161839033,0.7147712526005656,0.3696517920963846,1.7054438671786811
Montana,-0.10739941436923052,0.6992794381441688,1.6490263133860295,2.825200956790429,0.38745930155895547,-2.7927900727635047,0.38535260761920637,-0.19468655464702012,2.596667778080898,5.369197001697932,-1.2262068142490532,0.25408638937239353,0.5938370936450487,-0.6052626407530332,0.4550900615177017,2.058471363001399,-0.15174358271492988,0.6900096878150909,2.313251079951496,0.05279469706598259,0.21668578600072755
Nebraska,0.1368549337702046,0.5370023512533431,0.9169310071372069,3.279343731577422,2.3871991061719826,-2.0305021256354707,0.4272874613230861,-2.3780269535520553,-1.7225924626836513,1.616394570208987,-3.1778169014084314,-1.9523314008225416,0.6771225760399953,1.8504877563209319,2.390116273196557,5.029564865820994,1.4485332493033032,0.7652537651853508,2.0689246919304995,-0.02694613659767152,0.7833278328900457
Nevada,4.036316785441084,2.8335548870076237,2.04829177020325,4.16621180393597,0.4440875403935806,-4.316427891063909,-1.7015909972836716,-2.924895913720328,-4.2555650808634375,3.825486312153993,3.6476323944496087,2.809865444445541,4.84511916618878,4.651162790697688,-0.5522652396640823,1.8395478931591946,2.8892194021973956,0.9919132426494622,3.3846536833840903,3.1973828516793077,3.259470650774993
New Hampshire,1.5430315196123217,0.10580730977357163,1.2913275047733965,-0.9030892506173421,-1.366826745474688,-5.250548609852824,-4.009127436876833,-0.8024898544533733,-4.777811519384583,2.984297643584129,2.2231639002005092,1.2047575105095916,3.3400659083661175,1.6144839325321085,-2.073707092664683,1.0313560609898242,1.1654939719376327,0.37664974619289304,3.462944225328852,1.2143637876919002,3.3341806904265514
New Jersey,1.7774865150980337,0.22333446329937,1.4423605901475345,-1.1802039157304995,-0.9054166501564853,-5.526153478840458,-6.67343739215319,-5.2985252140818275,-3.7667193154327583,-0.5033327366348306,1.0406871704930991,1.9644165358451113,1.236158145139509,4.03115706590185,2.486563356128573,-0.9422439364857843,-0.20316860942374632,-1.3540458605464978,0.3897481940986777,2.3106653265498602,1.8929034115445615
New Mexico,0.8286902454780303,1.6650392099620526,2.103056733854537,2.7820448877805593,3.770033936311869,-0.22972344070263195,-2.1920607122008082,-2.692184512660246,-2.3683423532930306,1.4063259857680106,2.3177852716185714,3.445868448611162,0.9485791075451651,2.202082680864403,3.0868098427914368,3.7996529116853197,4.821659292901613,3.1495987589297645,2.2153689452240837,1.5613824876231763,2.9349145578485363
New York,0.7626853353823344,1.0460882524949502,0.30229859239294266,0.6192756520526168,0.06590033985745594,-6.025783445198498,-4.825932388425991,-5.64545194111504,-4.135815826363475,3.0257877379107443,4.774556613300149,4.180133591898314,4.633200844006093,0.9294791445706534,-2.8464755916121693,-3.835667951490093,-1.1452314849553624,0.836852060604911,2.4222986313772026,4.157786684915431,1.4308079130888696
