Geography,1992 Q1,1992 Q2,1992 Q3,1992 Q4,1993 Q1,1993 Q2,1993 Q3,1993 Q4,1994 Q1,1994 Q2,1994 Q3,1994 Q4,1995 Q1,1995 Q2,1995 Q3,1995 Q4,1996 Q1,1996 Q2,1996 Q3,1996 Q4,1997 Q1,1997 Q2,1997 Q3,1997 Q4,1998 Q1,1998 Q2,1998 Q3,1998 Q4,1999 Q1,1999 Q2,1999 Q3,1999 Q4,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
United States,2.269999999999996,2.1200000000000045,2.785265049415985,2.6917367639782275,1.505817932922662,2.673325499412446,2.6126651126651246,2.7753686036426806,3.660533667276753,3.4525512637100664,3.293894936109787,2.831692451945613,2.527646129541863,2.3324421499032,2.629890955740864,2.7445974286495898,3.0091543551164754,3.045045045045041,2.767857142857138,2.751153709620158,2.5076990761108613,2.6927784577723366,2.7888792354474443,3.2820867161858676,3.931330472103003,4.495147284181851,5.105232017580925,5.694932262920223,5.896927651139743,6.012709793058506,6.256533976678731,6.100166152385468,6.42645453127438,6.640024592683666,6.660107469916,6.935123042505602,7.020372270262336,6.940040357451712,6.897041084226211,6.715481171548114,6.505067104902766,6.745737583395122,7.155658811815467,7.606351695745923,7.727915648707735,7.474747474747477,7.538871337421785,7.7974130078338515,8.289567915970391,9.269266917293233,9.919354838709678,10.145907272829712,10.427114907688077,10.5687560477368,10.627816790692801,10.259819967266777,9.163048360533006,7.078957604045119,4.490762671719573,2.801744132108726,1.933891098614739,0.948964765710136,-0.49868528425062225,-2.775020305026625,-5.583961248654474,-7.965636666216888,-9.13067249863313,-10.159186893767108,-8.607667094199803,-7.291564851920642,-5.319895707982343,-2.500258291145781,-2.801600914808455,-1.9346336320506,-3.0874331409204108,-4.010808519656682,-5.283422459893046,-5.601247110681066,-3.7431693989071007,-2.588728818237014,0.06210478771453546,2.499857639086604,3.4232188475730916,4.793744333635544,6.505670597528636,6.955555555555561,7.316939290811277,6.7805774845895925,5.8857808857808935,4.706004570953668,4.2248478338704,4.516913105124578,4.683043978586073,5.129477130667713,5.265740786180492,5.392441860465114,5.257372269750992,5.421857304643266,5.710955710955711,5.8474693145773,5.884756845116473,6.176984020410909,6.196251378169795,6.158523344191099,6.762725674342815,6.171746553686601,5.921926910298999,5.486233277420925,4.8240681233933245,4.836212030970807,4.8694424841213895,5.472385975798951,6.219105644326919,5.6281483164791934,8.180050844922983,11.138076852362575,12.979797979797986,17.39395460575854,18.219518938346685,17.48610375860242,18.27383613257552,16.768478924862563,11.58500935453695,7.826184910867674,4.297940120407105,3.029034789432379,5.354850540986613,6.411930631007107,6.623870784044737,5.885041129277954,4.565460649011566,4.609380752521899,4.243542435424344,2.934829520932242
Alabama,4.200000000000003,2.992888186487556,4.080831861879534,4.665629860031116,4.404990403071021,5.08295770595569,4.872761545711595,4.569093610698354,4.798235131905504,5.5763438897508575,4.691291453221893,4.316163410301954,3.9031663889132426,3.0860995850622346,3.6226285518070216,3.5246041205516776,3.4526422421070437,4.34381551362684,3.437991881368574,3.7171052631579036,4.096287229702159,2.515470545688335,3.299695659138227,2.5293371392324753,2.3516500744689193,3.339604891815609,3.3803690494650445,4.554945479854602,4.135712644558479,4.119253527537556,3.389830508474584,3.1213017751479284,3.493417665661543,3.074681238615664,3.0755839257217326,2.158944197389198,2.34508243320069,2.5376404891496454,2.7656579873328693,3.3068875939057634,2.8259963893903577,2.9711843375155125,2.848729713072654,3.9146391192062118,3.9503004929434766,4.016870857601928,5.339902789799594,3.806409417920205,3.9690788618942534,4.672716740683524,4.860628278869855,5.979082661290328,6.966572945954375,6.95443645083933,7.082579867389994,8.525057963260211,9.351635514018703,9.53202253650685,8.764424430059101,7.28019720624486,5.955878425297797,5.222548813772826,3.514128972156087,2.251838235294116,0.07562008469448339,-1.9504165211752367,-3.1698415079246054,-4.6092384519350755,-3.5514583648178846,-2.940577940577941,-4.2340062993752206,0.45544969113180617,-3.7814687140917207,-5.210189747352971,-3.4237342966517468,-8.812340403356087,-6.953642384105961,-5.950011059500106,-4.488610987047784,-2.2459709681106292,0.7584154950119663,3.6629821260583193,0.7891045125087645,3.110201695410695,2.634473973713151,1.6505019567806682,4.390187322391691,2.4607359528264463,2.8263567640753804,1.2777591786630913,1.6666666666666667,2.595318466050577,1.684314478520872,4.027326318109196,3.3661202185792334,2.3732470334412112,3.6311643466062318,2.748649507467428,3.75872277437091,4.420442571127495,3.9048263653876187,4.164733776609459,4.167728129617353,4.8640193753468965,5.206193315628609,5.54703349992578,5.5465884079237,4.75388538709522,5.796342160411501,5.269573370839184,5.686083692478803,6.651049561343066,7.261513528114165,6.649149372049528,8.142594054196262,11.206339635643216,11.348946529001939,16.07299452958616,17.80805254835179,17.16819642926302,18.601583113456453,16.164196287235576,12.84116331096197,9.691280491835787,7.195296361036085,4.788008300040273,5.636552186909034,4.408485505936237,3.4628954312312867,5.680508349342388,3.493676733845361,5.024676036826451,4.782646072728314,2.956064546802023
Alaska,3.010000000000005,3.5489981058718,3.104671791839154,1.9391931397388373,1.9512668672944284,2.695677288918838,3.09721823917407,6.0510467450530525,5.941725385640839,4.387362894909527,3.847936949466858,0.9104020191094332,2.93007370124033,4.131118096093407,4.633928571428569,5.618579723090658,5.274187914774718,4.165588615782664,2.363682908097957,4.846075778078488,2.2395487723954903,2.6825633383010388,3.9513171057019085,1.9762845849802395,2.7583968846340996,3.676826318335766,3.640737770649564,3.70985603543744,4.6976156639823285,3.2353398662311372,3.5979572887650706,1.4110289070246314,0.6258954829952371,2.3956606900707986,2.487116289491383,3.707882069795411,5.717925659472418,5.650382577987056,6.143419326628776,8.543041554862574,6.266392571064014,6.5459610027855195,7.531754205286645,5.672479454800568,7.771329464345278,7.0653594771241846,5.950708721746898,8.466110268082963,8.77073533052735,8.656370184970397,10.696637338797157,9.851355290002902,9.7649803676094,10.938816787459968,11.61195492405684,10.321040063677378,10.550054435170317,9.667780816367873,6.5798458686957275,5.7960557960557875,4.764584505721251,4.373123989840683,2.677223010388551,1.4230506933394063,-1.678603401969561,-1.0928236439253158,-1.7338206453913418,0.0,3.086728886865468,-3.238649071796023,-2.503742005715068,-3.3216783216783328,-5.49397164686658,2.029494706670975,3.224005582693653,2.4064543051884946,5.355390438805542,0.4395106479383774,1.4241932576167282,1.000633885719451,-2.8919937901973753,0.4736770875625982,0.6221116246000736,1.3314206302954223,4.458045950760512,2.8196839080459775,1.2012012012012008,2.481861617412853,0.887664524028161,2.353711790393007,2.823354861232326,3.3757824303906725,4.637656033287096,2.9096804471180606,2.474218053728308,2.3176180732450877,1.743848894043579,2.877160980058869,2.4269030067091792,1.016243571953302,1.9093758905671123,-0.05238766874873885,2.1551027009542345,1.0585430891681162,2.0333972515180583,2.3385210870091053,0.435384919849592,2.142885699436299,1.6013468540777585,4.188007249231737,4.275862068965526,3.75357156835883,3.1830443159922894,3.1385895254301426,3.446712018140591,8.4691413912781,8.649536898715276,9.25756186984418,13.426128890837349,10.538030814175917,11.57019111783307,11.78523489932886,9.508165040100486,5.540697857345126,6.198779961796785,4.481868395773296,2.7441983587752534,7.062365847841639,4.441543371047288,5.464732078724316,6.386694148631627,4.315985854704425,6.6525929835282325,2.833247064592594
Arizona,2.0999999999999943,1.2672121333067212,3.3212560386473404,1.9764798893171263,1.9196865817825741,3.635826189772403,3.9255795830898124,5.300901250121134,5.977320776475109,6.873930405019955,6.982847502108916,6.745812626541505,6.293072179905693,5.720131660884269,5.615910285614155,4.905595309940523,5.519535915372802,4.956243688993605,4.496059726254668,4.010519395134775,3.3470773708464714,3.503567706245483,3.4055727554179502,4.069216182048045,4.122662911679571,4.709527498063527,5.181943804698296,5.246374610887553,5.882794891059364,5.555555555555548,5.802496168162921,5.89381041696724,5.932022990136936,5.88688765856052,5.373896247240612,5.86552217453506,5.479268537745333,5.956714541002052,6.166939443535179,6.447876447876435,5.7280751889248815,5.696795552501721,6.067706727508173,6.208439124652407,7.6160730374196515,7.55274510962709,8.01697575722343,9.40292560760431,10.537478372495409,12.396285510192868,15.586652314316456,18.5005983039384,23.080030295379945,30.369102908824246,33.968150493574214,32.848926548711404,28.835740072202178,19.004762440469495,8.75186820061868,5.733831256816162,0.990288170673464,-1.4621080825587025,-2.4960848860621954,-9.342376695630426,-12.652919662000267,-16.468932877106585,-20.801101350465444,-22.389243233925182,-22.67624445005955,-22.682898817043746,-17.390944458240217,-13.224645728754837,-10.877176602399521,-8.09566250742721,-10.065130260521043,-11.549093887580629,-12.780891519564197,-13.108129949894948,-9.748760514734556,-3.542076629239498,3.873641222749395,12.896825396825404,18.72723905931733,18.372734909396378,18.293246993524505,18.0250439367311,13.979724460618673,14.664436334144368,11.52003910068426,7.087017217310372,5.852034300310155,4.06259670217939,5.487136783976864,6.018337461434839,7.588227689921151,7.667799490229389,7.121193236112837,7.8613001065661265,6.488305030438957,7.350562241073188,7.574758561843087,7.687338501291974,8.816007221302842,7.8469567774184155,8.916209979809619,7.999576555277185,7.5418222037881915,8.465392086698694,6.180277400774609,6.907142390380966,7.523944205180956,7.986929336726684,9.739368998628262,9.498777506112464,11.44223583918696,14.373417905670802,17.963068181818187,23.894719214022558,27.65871845076845,27.28891602432014,26.78997182284517,24.01045304016762,13.152642084252541,5.512031337437053,0.5869280300871689,-2.7049612149617572,1.7491412125151005,6.222297988407756,5.168441725205833,5.8273273833974235,3.2976257824333333,1.736835535583732,2.7364300720018693,-0.37403623917147527
Arkansas,2.9399999999999977,3.419740777667006,3.5157021528737777,2.5658470210904856,4.390907324655135,5.379350236190107,6.315588628124408,5.789822799204017,7.239903219802719,6.284877870277198,4.953338119167261,6.744894303117163,3.288788615064219,4.37252539163367,4.976060191518474,3.759335403205508,4.31823909938671,3.2739567870691064,2.0035836455448717,1.6659927213910135,2.6173793992107597,1.8845324602730968,2.25167678058129,2.847824357648555,1.5617642442316706,1.41076886903361,3.2562861158831695,2.6065434294995784,3.5468665481802053,4.204343457763372,2.7149663465174343,3.045379164782144,2.4626865671641873,3.374619891715481,2.8199087026947525,3.138258961228984,4.085943190094672,2.7981058975462805,3.83100608664518,3.6385559259521916,2.931915191379188,4.257398101619203,3.9448275862068956,4.332055844511349,4.887831407205981,4.719507296826892,5.579883227176219,5.575598556903903,6.708146995916777,6.782586460397612,6.554389492867471,7.132649891270592,6.565840621963074,6.327825670498098,6.858928992686952,7.388505480484824,6.782559133656315,6.75637633016159,5.276229372481926,3.8775179564724342,2.7808913797704875,2.54206001793154,1.9816513761467895,0.4574993501429662,-1.1476942251765725,-3.039654374324948,-3.151184907212253,-4.23329710707446,-3.0890464933018102,-2.5991937194992603,-2.5849256900212336,1.9454201567143983,-3.3609801051661456,-0.8659187452347258,-3.4871683103579825,-6.77975086138351,-0.6450889100802185,-4.779431961764538,-0.8976457968723557,1.461389741840096,0.3161698283649516,4.765476259158825,3.2585165774182516,1.630891666199628,4.373030166591615,1.8558290654771763,2.4109014675052434,1.6433219366934981,0.09166891345376971,1.3300173010380512,1.3090556483327085,4.23177083333334,1.0235965951944865,2.427702486394201,3.493565883228753,1.7228815323755995,4.490187713310574,2.9535864978902886,2.353182962544321,2.3947193368469564,3.695008676125349,2.9953450718478125,3.5540384518849373,5.087202038878606,4.178560881976563,4.632540774218906,4.096175287217033,3.34300252032907,4.412528936552182,4.68566599370862,4.572971966098534,3.8422602613657255,3.370888195104302,4.866125487733773,7.018168863555394,10.887579208578908,12.111529370568146,15.07997604995295,17.073069241011996,18.678069053708445,19.275367977199082,17.30340419206184,14.476630531366611,9.350798033537606,8.549918166939445,6.054365733113679,5.3620218579235095,6.4387990762124785,5.322356914540732,5.126213592233017,6.155886253130982,3.7290979575305174,3.5760300054399203,4.194254212724841
California,-0.9000000000000057,-1.705520234130586,-1.803079416531606,-3.6449919224555725,-5.509586276488389,-5.102669404517452,-6.344130389931908,-5.700513465367297,-5.072618539085861,-4.662988207292007,-3.6457759665161382,-3.6337370818979844,-2.9699628754640575,-2.8143440762596503,-2.2062185642432635,-1.9142066420664166,-1.4376811594202838,-1.4012143858010309,-1.0987726475745152,0.09405125793557288,-0.29408304905305255,2.155376598768365,3.2502068313438124,4.4162555790462825,7.361963190184043,8.532344076049153,9.546703296703301,10.236220472440937,10.417582417582421,9.816278572954493,9.926854754440962,10.316326530612244,11.027070063694264,11.759556463379052,12.7851711026616,14.18925168809546,14.521333811401938,14.194952132288948,12.89506953223766,11.445929526123946,11.224170319348769,13.024921880954196,15.789473684210531,17.117313563017866,17.66361717100633,16.75657451112609,16.196002578981307,18.38267237634209,20.04784688995216,23.101357204735777,26.201309510598158,25.378768020969854,25.393583100836985,24.07224958949096,21.548540274358068,18.581702625857176,13.810640073105802,7.513423580125542,0.7632483270030797,-3.6847672778561513,-4.873450864025129,-6.517075229486855,-9.678345778288342,-14.567087680761473,-21.655840581305743,-27.163280662152,-28.2631160572337,-27.04405210833048,-23.22465804759227,-16.528925619834713,-8.909080835503358,-1.973568281938334,1.549725442342887,2.555693069306928,-1.1860592421385492,-4.649769309125766,-6.675078106224457,-8.29662704398721,-6.727809922442452,-4.6377175893923175,-1.184574776282755,3.9149888143176845,6.652148089487238,11.413509060955516,15.825135187960122,18.704489330716136,20.95167378256295,18.122671082983388,14.748565642929462,10.668373606443698,7.873330945925214,7.490861749536817,7.230392156862746,6.907022702077414,6.966707768187422,7.187776587320076,6.866285714285719,7.236248872858423,7.0139658612281055,6.9100391134289465,7.195106301065146,7.487912549926426,8.13688527986079,7.959349593495929,8.14876890538329,6.82547132910898,5.980613769587378,4.913773627532199,3.306151064536377,3.8592508513053216,3.947653821126461,4.500592183182005,5.93992213451441,4.745284681826208,7.616331640815183,11.735412302091547,14.194200944032353,19.868062333815747,20.763314374353673,19.352062457736537,19.309123117803377,14.926714213511548,6.930878535684652,1.498841102240534,-2.863152684978978,-1.8690447104813177,2.3824420030531392,5.153252816401096,6.389320561485758,4.185235901904645,3.1189655593850043,2.374345486571912,1.7360695385646896,0.3799646322229202
Colorado,5.530000000000001,7.585725677830955,8.374432826987581,9.952468716655341,9.580214157111723,10.506809969424616,12.405570219350135,12.748125275694754,13.879280525769627,13.51555294709482,11.781376518218632,9.522691705790297,7.57840382716986,5.8423812689268235,5.505251720391158,5.322569121954697,5.477518176042931,5.540823447313327,4.957088911774802,5.148555148555151,4.704543933614402,4.509389050515732,4.644469156799891,4.702922392103749,5.317653074268179,5.959762115652276,6.507470150653245,7.584719654959951,8.332321883723747,9.607117267733463,11.122197441014215,10.801214134356558,11.427931208335671,11.123821975268298,10.864627898378489,11.417790871969816,11.573073249208191,10.441688318054798,8.141972367794189,5.998329931341625,4.659126751678459,3.533223844822233,3.7754967179170857,4.113965600245077,2.7338872863477826,2.4951768488745953,2.0759042282221034,1.7949472445247847,2.497695080043587,3.9068055381269096,4.545643584944898,4.146019160885362,5.241638727614672,4.436214323094887,4.5190548174079135,6.0467882632831085,4.615384615384614,3.8970049724395843,2.9306538783588296,2.1424565339315826,1.2737670825906147,1.179787786599394,0.44372134299659394,-2.167069331576256,-3.3918814858274358,-3.6594309181578235,-4.623766750110441,-5.11112774077677,-1.5448265391330727,-1.3625637512369582,0.2894858730893933,2.239747634069392,0.13878715447781861,-1.2154653495909993,-3.32140245545164,-2.418235112619555,-4.508180943214633,-4.51154251787039,-1.5445859872611447,-2.237065728627326,0.2580228995323394,5.469197414709963,6.566391719230151,8.631493834647259,9.71931799903491,9.052476437963012,8.707694642586123,8.332713062895419,8.616455928165655,7.081125297862491,7.029423056786845,8.969734446391156,10.736941557565121,11.302643815597193,12.463720854394271,10.397225725094582,9.613626668291793,9.928083315926107,9.687708411865332,10.723056713690106,9.776777027214843,9.94625115369998,8.824151422226937,8.93921027519149,10.281083818688282,8.745247148288977,8.4390030607783,6.792300954094557,4.477611940298507,5.272000726546187,5.443548387096777,6.09204575685023,7.006593406593406,5.184833714359652,7.854259613341838,10.876379137412238,13.146976667762075,19.643223293008,20.347863769771703,18.173423041405165,20.9551816152045,16.803770351328183,8.453770234217716,5.13523858127074,-1.5412783455645243,-2.2610226689164357,2.402583682955534,3.1763849280990137,3.8136755784532053,3.068424055003461,1.8805081498511498,2.0038813255314767,1.9087331884653784,-0.6102711992775867
Connecticut,-2.7099999999999937,-2.675107208495002,-1.9769014670689895,-0.5739929033604646,-4.974817555761129,-3.955098615190932,-3.088844071754587,-4.33504775900073,-1.1681990265008093,-0.03276897870016509,0.03285870755750399,-0.021944261575593614,-1.0397285761190793,-1.4204545454545425,-0.9197415964086318,-0.6035996488147622,0.69674850696748,0.9310574152072749,0.17681511769257466,-0.18770012145300596,-0.01098297638659078,0.7577421480342605,1.69884169884169,3.0420353982300883,2.976713532513174,3.8583106267030045,5.40188740644322,6.505636070853448,8.341333333333326,8.437401616119205,8.407944838942063,8.366092127809708,8.526139608152025,9.503532372012009,8.762103664325032,9.050320900381351,9.026580785630047,8.820150243040201,10.526315789473687,10.201296485841006,10.126476951239797,10.95590026800943,10.976861723130385,12.422600619195057,12.338496411031366,10.671936758893269,10.29673379349605,9.45955249569708,9.543987086359966,11.216931216931222,12.032258064516132,11.69255928045789,11.819242340516976,10.745718363463364,9.329110279297431,8.869242031760333,7.434658466944867,5.219352413682006,1.885699236239143,0.17586510112242018,0.3015434938158047,-0.653227864251085,0.35154836374916343,-0.8468012598750382,-3.918471337579617,-4.792726151949445,-6.475709649168008,-7.269697443107852,-6.841323716588887,-7.014136182151722,-5.315632918365102,-4.133206042567521,-3.717408630308551,-2.4312405709643716,-3.6942230496247572,-3.907211059691884,-3.565304795128009,-3.1400535236396085,-3.159357255044092,-2.615215801024136,-3.108522378908641,-3.432185178363114,-1.378579003181341,-1.0140845070422564,0.1581978105423021,1.4242115971515825,1.3535736875395414,0.8410801239486577,1.8890573666919441,-0.2131394182547664,-0.30579131303046,-0.09406747773736716,-0.3472437527128432,1.3946475687900484,0.5758998435054695,1.2930763919402437,0.21156119718748265,0.0433705080545187,0.5477064791187054,0.9729193778273489,1.5523129462899719,1.938440577197,2.965026307644687,2.264637289799925,2.4579639254050636,2.1142162818955152,1.8275820608392401,2.310508311828599,2.1125499791132185,2.4809614469300256,2.4678238280788802,2.3697794462693693,3.6643095085032913,3.680696661828739,8.08942152569716,13.7921155168462,16.6253241628143,19.721149000503946,17.590618336886994,13.726773754972552,13.612413593077777,13.4137785884664,10.657298277425213,8.930706220943112,7.701144534740243,7.748773145284327,9.761992544344755,11.938053816762855,9.82104057203809,8.79516227801593,8.669851459281935,8.348160790152152,9.309687398827295,7.781608386688245
Delaware,0.9099999999999966,-0.08016835354245164,-0.28095524784266623,-0.36863604662748284,-1.8035873550688666,-0.010029084344590216,-0.4829945663111187,-2.019999999999996,-2.401856897769714,0.0,0.030333670374116415,1.6636048173096503,3.0089959673250033,-0.2607823470411285,0.37400181946830113,-0.44172271860254764,0.20076289901625036,-0.14078841512469886,0.6948640483383662,1.0688716345669076,0.5610098176718116,1.7824773413897241,1.5201520152015304,0.8181183278459474,2.9288702928870274,2.5131097259325283,3.73362230322135,4.591786244433449,3.8521099496709295,5.713734195540972,5.337132003798676,6.6326047875863425,6.700838769804285,6.0074865333698515,6.301839163360976,7.364685004436554,7.8522141671761805,8.22495909051761,7.828004410143333,8.454545454545446,7.839326206673139,8.873149769218532,11.090136857008028,9.982473519774459,10.701411835386002,10.686353336744393,9.409515717926926,10.51063534954617,12.10229970829659,12.031961962622994,15.809227981621696,15.141065830721006,14.196671709531019,15.867963454170342,12.67322306660705,13.373264361557311,13.528694822743892,9.080734598361904,7.69688553858362,6.147639402526287,1.5683345780433091,1.758231508254832,1.4965923742862406,-2.8143522917515043,-2.527573529411765,-4.908565928777675,-8.112154620933712,-8.221984263699426,-6.115040075436115,-2.347214189319441,-5.04616600009875,-3.6169025516156825,-5.403505247828048,-8.963032426829882,-4.976340283916589,-2.8526315789473617,-5.06980941763551,-6.283545676335037,-7.201488453540547,-5.1359843970094365,-5.815904261268318,-0.7751937984496143,3.1902346974879094,-0.03426613363792249,5.676285476784232,4.221082089552227,2.9144522544145346,2.896480804387581,-0.6798516687268118,2.1313492951443287,0.1610305958132001,-1.115984676031325,3.1623012954686898,0.2245713972722773,2.7220312673245353,5.379000561482321,3.1037508225488026,3.634276970160676,2.676884883156138,1.2361466325660662,1.3190086161046641,1.1865211200759374,2.3232588699080092,2.531578947368422,7.0551181102362195,6.035021888680432,3.9656855190835767,3.8345054155330827,-2.2849857801314095,2.747468789934141,5.271999604723562,7.113901522641876,8.706342834203129,4.974886390815583,6.176663850558526,8.644482392578585,13.705396297835017,15.46593757120073,15.378834762620455,14.851316907391677,14.359369925300424,15.85697935988003,9.670127581318727,12.601716230211565,5.0268025134012655,2.9396736723779666,8.209606986899564,4.930525900863906,11.428088558391076,9.447385837193915,7.322033898305087,3.4904833458552393,0.9160953709882853,1.7868480725623657
District of Columbia,-2.4000000000000057,-0.7484876448272367,3.1674692348849587,-0.30180039546259363,-6.444672131147533,-2.386363636363639,-1.6180894098122627,-7.171189979123163,3.29646259993428,-0.6244046989099261,0.5798629414865698,0.6521983582593032,-5.142069550466491,-8.79659211927583,-8.637316561844873,2.569545302200868,0.9500391192578456,6.807566557683324,3.1206975676916002,3.2458337871691576,-5.447298494242679,1.7601399365912314,-1.1014686248331051,-2.7323557337271898,10.21077283372365,4.222174473571129,14.309821127235908,12.74403470715835,11.26221844453888,9.730955571590554,10.874913886428498,9.17748917748917,17.742551566080976,16.298731798966646,12.71081129060892,13.446118600757782,11.167883211678829,14.054927302100154,17.04205386675067,19.922330097087382,18.209673889253672,21.069405099150142,17.897994886287172,19.5401554404145,11.559587730667154,15.922784439894707,17.48658828900811,14.05428834588503,28.125691524673602,19.659887974970992,17.371028854561345,26.027267113201287,18.691709844559583,26.715303841774563,29.67883453356509,17.591405955522056,13.736403652370036,3.6108892438764526,2.259598506367102,4.195916274000696,4.122821045897982,5.608197089904614,1.7196716706719486,-2.1042269119547083,-1.317810407323223,-6.277563186228305,-4.6115611192930865,-4.763999748601604,-9.976653696498058,-3.4755800746389682,-4.779825661809648,2.062297894806309,7.5276625172890865,0.9245562130177515,5.300138499476423,-0.3265332514306007,-1.5724989548831214,7.69845764349246,-0.11548825869370383,5.066493674991893,7.736539466806066,2.7095576863594153,11.080421377183965,7.372190664361569,11.744905385735086,13.238571342528452,14.1184294223096,9.585968947671068,11.476566528263985,7.348013403542364,0.9805163546074146,9.001941543789686,1.5239300842300132,6.109253065774811,11.89281413087113,5.288241665663745,4.021197007481292,6.964581728187524,1.4597721768768608,7.151021901147632,9.20910075839653,3.5404024970533086,7.337503038875502,6.383614252186903,7.548125633232014,8.767602664642894,2.6478884839499983,6.375596646745009,0.06672947087455484,0.6144006202151291,5.686718953723954,4.954657717614692,7.953163613540963,4.0144860533210105,8.075842696629206,3.5495518151933734,8.753474682509415,14.719608859915551,7.700683139279635,6.626767282504975,5.579779147663673,3.3724008782125767,1.3501174015131707,-2.438786301146996,-2.96365448820393,-5.93600174909812,-1.5605894845228028,0.33185471767334973,-2.9155659915859498,6.1910612299110035,-1.4676559997385052,2.936923460483682,2.7763781114582238,-7.560857397476589
