Geography,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4
Rhode Island,12227,12333,12496,12665,12278,12500,12333,12609,12411,12527,12319,12187,12292,12264,12200,11867,11664,11383,11315,11437,11316,11664,11391,11665,11504,11639,11643,11345,11473,11248,11257,11106,11155,11091,11066,10768,10828,10861,10938,10778,10789,10664,10822,10674,10676,10621,10670,11147,10984,11205,11162,11306,11107,11243,11085,11003,10994,11099,11167,11287,11029,10575,10635,10918,10893,11272,10939,11050,10714,10767,10859,10590,10816,10720,10831,10857,10937,10811,10941,10853,10906,10752,10827,10512
South Carolina,42760,43302,43247,44084,43739,44024,44077,43770,43706,44150,44533,44833,45539,46153,46547,45927,45611,45508,45202,45442,44774,44943,43700,43522,44105,44606,44562,45001,44561,44612,45286,45121,45104,45310,44702,44502,44997,45036,44948,44759,44810,44792,45093,45349,46182,46426,46542,46815,46553,46621,46780,47175,46657,47256,46971,46609,46528,47159,47624,48320,48364,46016,47525,47546,47398,47740,47616,47636,47295,47923,46986,47705,47853,47792,48220,48216,48713,49203,49881,50336,50986,50623,50485,49639
South Dakota,7395,7316,7228,7365,7311,7361,7348,7329,7219,7140,7196,7206,7256,7302,7355,7319,7323,7411,7456,7449,7734,7710,7775,7669,7832,7732,7523,7594,7720,7442,7352,7195,7048,7000,6960,6952,7030,7113,7143,7152,7219,7242,7223,7114,7291,7216,7269,7420,7500,7606,7630,7735,7749,7860,7931,7886,7942,7972,7985,8051,8004,7726,7835,7964,7953,7846,7994,7887,8024,8121,7990,8134,8170,8273,8277,8480,8597,8614,8703,8729,8783,8667,8634,8476
Tennessee,51549,51756,52661,53471,52694,53002,52196,51099,48825,48116,47703,48788,50575,51786,53221,53269,54008,54176,53239,52472,51424,50405,49501,49703,50857,51712,51799,52587,52545,52468,53515,53023,53046,52782,51982,52261,53214,52955,52806,52056,52304,52189,52723,52129,52350,52068,52632,53237,52602,53314,53067,53487,53170,53515,53354,52752,51733,51962,52671,53654,54539,52872,53343,53426,52544,53437,53288,54247,55844,57351,57671,57225,56148,55290,55564,56131,56071,56608,56870,57333,58342,58172,58059,57254
Texas,208285,206404,205450,209615,207654,209360,210467,212205,212698,215050,215657,218257,219785,222355,223293,223335,226319,227919,230256,229518,235528,232821,232641,229001,233374,230023,227419,228778,229910,231752,233540,233228,233104,233069,232240,231499,233931,233403,233265,233158,235941,235775,237434,236996,241944,241956,241983,245249,245215,247012,247958,250271,248107,249736,249503,247649,245039,246658,249798,255183,256402,248382,252893,251487,257868,253316,254904,252509,255738,254302,252913,254933,254072,255971,256392,261517,262746,264464,266564,266108,268500,272705,272742,268691
Utah,25321,25372,25885,26159,25939,26577,26346,26235,26007,26163,26321,26912,27075,26967,27245,27131,26980,27053,26635,26408,26940,27054,26771,26963,27431,27693,27285,27433,26959,26732,26803,26415,26354,26262,26598,26156,26676,26922,26717,26506,26482,26414,26764,26776,27406,27335,27965,28381,28418,28723,28903,29227,28765,29060,29055,29011,29150,29507,29886,30236,30400,29453,29606,29883,30548,30044,30336,30525,31302,31373,31698,31896,32027,32355,33264,34539,34343,34289,33347,32633,33138,32985,33137,32472
Vermont,6453,6242,6237,6347,6370,6330,6398,6298,6295,6290,6336,6203,6440,6361,6398,6410,6275,6338,6262,6287,6267,6245,6258,6198,6430,6537,6368,6448,6319,6251,6218,6290,6374,6409,6375,6310,6269,6291,6192,6253,6183,6312,6105,6280,6320,6138,6312,6148,6265,6165,6286,6244,6254,6249,6268,6230,6261,6298,6314,6260,6447,6158,6238,6195,6357,6287,6356,6311,6217,6544,6310,6432,6359,6404,6393,6431,6468,6489,6491,6567,6575,6500,6570,6437
Virginia,118512,118516,118528,119430,119661,120178,119315,120806,121436,122221,123021,123586,124297,125369,126259,125842,126040,126705,127169,126493,128954,128205,127399,127421,128516,127669,127471,128672,127623,128235,128685,129492,128731,128211,126855,126278,128136,128152,127507,126968,128090,128550,128658,128487,131060,131200,131443,132719,131965,132371,131669,131553,129376,129748,130608,129439,129294,129802,131857,131282,132851,129873,128801,129721,129729,130265,130850,131093,131905,132227,132624,134196,133471,133715,135302,135517,136863,137058,138099,139173,139852,138161,138777,133598
Washington,79923,79550,78796,81144,82029,82679,82690,82417,81480,82168,83246,84083,85234,86248,87531,87095,87613,87650,87178,87046,88823,88081,87929,86440,87832,86706,85836,87735,87469,88464,88701,88158,87740,87658,86958,87160,88249,88113,87947,87673,87200,87668,88187,87941,90314,90779,90601,92470,92428,92910,93616,94862,93590,95047,95997,96244,96201,96461,97056,97356,98548,93341,94260,94408,97284,97267,97247,96001,99108,98125,98274,99865,98776,100298,100203,101401,101084,101621,102132,102865,104364,102761,102294,100545
West Virginia,17490,17271,16975,17372,17166,17142,17105,17067,16945,17085,17110,17103,17058,17195,17350,17294,17521,17776,17566,17378,17901,17556,17333,17072,17506,17376,17294,17656,17519,17681,17656,17605,17573,17381,17062,16900,16784,16691,16722,16593,16701,16666,16341,16274,16333,16216,15890,16271,16199,16304,16156,16107,16128,16112,16357,16156,16357,16350,16649,16549,17151,16216,16497,16667,16760,16932,17221,16660,16947,16623,16586,16902,16577,16800,16499,16826,16705,16871,16626,16830,17096,16819,16932,16380
Wisconsin,48825,48677,49971,48045,49283,48159,49853,48058,49952,48699,48692,49589,49291,50009,50041,50898,48852,50722,50770,51866,49592,50524,51710,51130,51137,50178,50591,49115,51292,49876,49699,50406,48605,49236,47397,48433,48237,48950,47650,48933,46535,47869,46215,47620,46542,46841,48792,45820,47584,45485,48122,45622,47735,45927,46853,47351,46589,47493,46927,47912,47393,45296,45014,46883,46008,47531,47610,47214,46546,47844,47895,47533,46267,46077,47271,47865,47798,47526,48135,48024,48118,47586,47478,47029
Wyoming,7262,7139,7130,7276,7215,7284,7399,7566,7685,7852,7878,8019,8151,8258,8313,8266,8312,8346,8319,8256,8513,8375,8325,8171,8373,8296,8209,8399,8402,8478,8534,8582,8686,8790,8710,8744,8794,8756,8709,8669,8655,8574,8664,8491,8677,8511,8441,8424,8547,8585,8567,8584,8460,8507,8504,8346,8164,8185,8263,8370,8236,7926,7946,8004,8154,8022,8010,7924,8193,8180,8201,8330,8093,8132,8144,8275,8460,8437,8488,8486,8537,8505,8499,8356
