"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"2012-12-01","10603.2","166.89999999999998","33.2","202.5","108.69999999999999","1149.3","199.5","130.4","33.900000000000006","","496.1","349.2","","57.9","447.1","239.60000000000002","145.0","140.0","174.9","163.8","52.900000000000006","217.6","231.7","329.9","209.4","106.80000000000001","","43.1","89.80000000000001","71.2","52.9","323.8","85.3","665.8","348.9","38.9","395.70000000000005","156.60000000000002","133.1","361.2","29.1","166.6","36.099999999999994","203.10000000000002","1060.8","112.2","35.099999999999994","322.6","240.4","71.3","220.10000000000002","33.0"
"2013-01-01","10153.9","161.4","30.299999999999997","193.7","104.9","1126.0","185.3","123.2","30.4","","494.6","343.20000000000005","","54.199999999999996","428.7","232.5","139.2","133.9","170.89999999999998","155.1","51.2","197.60000000000002","218.89999999999998","318.70000000000005","203.39999999999998","106.8","","43.599999999999994","87.0","68.0","47.4","315.8","79.5","625.6","341.9","37.7","379.9","147.8","129.8","341.40000000000003","28.900000000000002","159.4","35.0","192.9","1031.7","111.6","33.6","309.0","245.2","68.7","197.7","31.7"
"2013-02-01","10635.400000000001","167.1","33.3","203.8","108.3","1151.5","199.0","128.4","33.0","","505.1","348.8","","58.1","450.2","245.79999999999998","144.4","141.3","175.10000000000002","160.3","52.7","213.7","237.0","331.8","213.1","110.30000000000001","","45.1","89.5","70.3","51.900000000000006","329.5","85.2","657.2","349.7","38.6","399.1","155.3","135.2","362.1","28.8","163.0","36.4","201.9","1062.9","112.39999999999999","34.7","320.5","248.60000000000002","69.69999999999999","221.3","32.9"
"2013-03-01","10693.599999999999","169.3","33.0","202.60000000000002","108.5","1171.2","200.8","129.5","34.2","","507.0","349.8","","58.4","450.6","246.0","144.1","141.3","176.1","160.3","53.0","218.8","237.9","331.3","211.7","110.80000000000001","","45.3","89.4","71.1","51.2","330.2","86.0","661.5","353.1","38.7","398.4","156.5","134.9","361.8","29.1","164.2","36.599999999999994","203.20000000000002","1067.9","112.6","34.900000000000006","321.3","248.7","71.30000000000001","221.7","33.2"
"2013-04-01","10663.6","168.3","33.3","203.0","108.0","1167.9","199.2","129.6","34.1","","504.3","349.3","","57.4","449.09999999999997","244.9","144.2","141.1","176.7","159.3","52.7","217.2","240.9","330.3","212.3","110.4","","44.3","89.7","71.1","51.4","317.90000000000003","85.7","661.0","352.0","38.5","399.9","156.3","133.8","361.79999999999995","28.8","163.5","36.400000000000006","206.5","1060.6","112.9","35.2","324.1","249.7","68.7","220.10000000000002","32.8"
"2013-05-01","10548.9","167.8","31.9","196.7","107.5","1173.0","201.10000000000002","127.19999999999999","34.0","","493.79999999999995","344.6","","57.6","448.3","228.10000000000002","143.89999999999998","137.6","175.9","159.0","52.800000000000004","216.4","237.70000000000002","314.1","210.0","109.1","","44.0","91.1","71.0","51.3","313.9","84.7","663.7","350.5","38.1","399.2","156.6","135.4","361.8","29.3","162.3","35.3","200.1","1063.3","111.80000000000001","34.2","318.3","249.1","69.2","215.2","33.0"
"2013-06-01","9881.7","160.6","29.299999999999997","150.10000000000002","98.60000000000001","1148.9","182.3","122.9","30.7","","403.4","328.2","","52.1","409.1","200.60000000000002","133.2","119.39999999999999","168.2","151.9","47.300000000000004","200.3","223.0","290.4","196.2","103.5","","38.900000000000006","83.3","66.0","44.0","309.9","72.3","639.2","303.7","33.3","348.4","140.3","131.5","322.1","27.700000000000003","154.6","32.0","166.2","1021.2","107.5","29.8","307.8","239.6","62.3","194.60000000000002","30.200000000000003"
"2013-07-01","8585.0","151.4","23.6","138.8","85.8","974.0","162.3","106.5","28.6","","395.5","309.1","","44.6","366.4","162.6","116.9","101.5","154.4","144.0","38.2","179.10000000000002","181.60000000000002","251.39999999999998","151.1","94.69999999999999","","32.2","75.3","59.300000000000004","32.5","260.40000000000003","67.6","548.5","229.0","27.5","330.2","127.7","99.10000000000001","274.40000000000003","23.1","138.8","26.6","162.5","949.8","91.7","20.799999999999997","277.3","215.3","58.800000000000004","171.60000000000002","25.1"
"2013-08-01","8885.0","153.6","25.2","172.7","90.9","1006.5999999999999","168.8","103.80000000000001","27.8","","474.8","328.0","","44.5","369.4","211.89999999999998","121.1","107.5","158.4","146.3","37.7","180.20000000000002","176.4","251.2","156.2","101.4","","32.7","77.3","61.8","34.3","251.5","72.5","537.4","296.6","27.6","336.5","134.2","98.5","281.5","22.8","141.3","27.599999999999998","175.2","943.9000000000001","93.30000000000001","24.099999999999998","276.29999999999995","200.7","59.2","169.9","25.099999999999998"
"2013-09-01","10069.2","161.5","30.9","199.5","103.4","1080.1000000000001","195.0","124.19999999999999","32.0","","489.9","340.7","","53.2","432.2","235.6","138.8","136.4","173.6","155.5","49.699999999999996","204.7","223.3","315.2","191.89999999999998","108.6","","38.6","86.3","68.6","47.099999999999994","291.5","81.19999999999999","604.3000000000001","334.8","36.9","382.4","150.1","111.7","339.59999999999997","27.0","158.2","35.0","196.20000000000002","1029.5","109.80000000000001","32.8","308.3","223.3","64.1","206.8","30.900000000000002"
