state,1995-12,1996-03,1996-06,1996-09,1996-12,1997-03,1997-06,1997-09,1997-12,1998-03,1998-06,1998-09,1998-12,1999-03,1999-06,1999-09,1999-12,2000-03,2000-06,2000-09,2000-12,2001-03,2001-06,2001-09,2001-12,2002-03,2002-06,2002-09,2002-12,2003-03,2003-06,2003-09,2003-12,2004-03,2004-06,2004-09,2004-12,2005-03,2005-06,2005-09,2005-12,2006-03,2006-06,2006-09,2006-12,2007-03,2007-06,2007-09,2007-12,2008-03,2008-06,2008-09,2008-12,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03
US Average,1.523098377067481,4.638743483192093,6.628060020928278,7.754183496886684,9.133264680282064,8.108507496508192,6.527885455028786,6.004947457832399,5.619139655962096,4.90557479961828,9.7685010195717,9.947974634782184,10.5216962543654,10.35316716494885,5.067304626991992,4.698976876304366,3.951774421762532,6.162561608201456,10.548774314838674,10.920583394263932,10.49034156699476,7.475602328515373,2.3841808376536893,0.46047008546545526,-1.1186192087235298,-5.20288646395361,-12.80093149691059,-13.339264480888344,-12.90016729883408,-10.693594185008685,-4.4628698797335895,-2.481957777381531,-0.7102564089523263,2.081869131875716,7.177007735866492,7.010840244641184,6.914973285893882,7.779588075189167,9.03173323157908,9.732736368765762,9.06127781299499,8.038404538527972,7.730879664808812,6.957533536115338,6.825609562953604,6.9157229400778855,4.611407216191163,4.988280743571248,4.38939377417936,3.192871526068252,2.293162221768678,0.374771902297091,-0.33154652643017934,-4.843275724499272,-15.205154989030403,-16.476872585780868,-17.00229755292277,-12.952452832094183,-3.6169498421482325,-0.6719274222590307,2.8889715861672953,4.8288973055976205,8.61640824484016,9.218910660849875,6.826546707052948,4.916449992963274,2.685175336088569,2.3501195469411806,4.230530865037204,7.819339359559528,11.800187171245694,11.682051470410023,9.598346395574012,5.100073052091473,-2.664195921539504,-2.835624744556586,-1.117772162337665,0.8339522143571926,8.207930191595299,9.091161531755235,8.450482942013448,7.180615554045845
Alabama,4.500595080321634,-10.260159220292577,6.378249036942578,3.4547619729788837,4.595487221127545,12.894221179907294,-0.06415800575737454,4.333956152631982,4.404783232522483,1.4951432747895035,8.426685327449368,4.456262971947317,3.9781846564710963,4.926907025535369,-2.020166016626467,4.362095530105865,4.2514161346435815,5.2102162771744736,12.257968497438323,5.19230617255405,4.225797814278515,4.073631973998388,-0.4786747742181842,-1.5000026262059398,-2.142434930641274,-3.24304641655795,-5.508782463396069,-4.91302217810044,-3.0445427678229224,-4.462270455645831,-2.7642006640076997,-2.092017990140005,-1.2936333123737467,-3.518244055781129,4.9148130621635175,7.690499196804526,7.275830966866673,14.705710793490349,9.234813353503164,9.423069850278798,8.064782000301458,5.759119146849001,5.928947816956498,5.1868592428562454,7.41509712899851,7.463373292203237,7.6869889651304115,6.634804717413378,3.4632761577660762,1.8615556339719588,-1.7669607650381125,-2.4328911646250244,-3.7397010304680443,-0.5541682495987638,-7.192075612301828,-13.047039234400678,-10.561824018036285,-15.366768661180629,-13.935967318504389,-3.427686113199598,-4.548512990925695,-0.7776972032075647,8.858141089661386,4.094558162669318,4.431142770198569,3.3690395543649463,5.057659773184287,5.333949041827327,5.766607478170662,6.95967958978682,4.059076179878081,4.43814874882352,4.659332494154134,4.287874991137552,-0.01263450958519752,-1.4428778479752895,-1.9438630049258987,-1.5365972013225455,2.125029699596937,3.7471315577309836,5.851950270578249,4.143491376969398
Arizona,0.8581719314666187,0.7063691762585769,0.613601411500962,0.9822421485518431,0.47354247720595405,2.004566315873422,4.293087731799606,4.974733650920058,4.964318928037918,7.008082188532068,5.36236017315802,1.6908494385848465,1.54737760274324,-6.120754929483082,-6.370902402567304,1.2069295810685254,5.190501247813586,21.25744851536397,30.51889041680832,24.970139875865545,19.533937442097297,3.5410898769003643,-2.857132238908094,-5.351043616590525,-6.809073545105592,-2.6499260797715443,-10.823580668067109,-13.897959018217762,-17.684802550005518,-10.516017600178479,-1.3901460759073963,0.6830788220692419,6.657775095062076,-10.613857758446338,-9.76154724271305,2.3289652685859634,9.579232968128217,40.34941516275305,42.51087404403411,27.171364028158003,19.89846211346585,-3.406004056944344,10.67322463879935,12.243039318285039,10.922947315085905,20.888394339576,-4.865586593770323,-5.759646114073061,-8.604326862097594,-16.06135074978719,-17.830775911443673,-20.01899878347241,-20.3580940624121,-22.283696872483056,-29.164004350385646,-23.920831109335815,-17.599563432916785,-10.291134916468705,6.571947550399362,4.667338273948003,4.1773446069455265,9.303583609225859,26.390189368942206,26.10751672353226,22.82286979530879,24.743683798093976,10.855103642442213,9.736257538882832,10.947546959632117,6.077511953652418,8.016607633861165,8.757624687929164,6.008290904765607,6.6529897437578605,0.3389966030046211,-0.8211335631530122,0.17314668365952351,1.0417449858135246,7.703930983747849,8.882290602492406,9.391049797539875,7.10148534715167
Arkansas,8.450189091548587,7.020410342253526,8.42088245077317,6.269119612836276,4.055629145223837,4.223297610750313,3.662958176950479,2.397583115651937,5.234886992777961,7.077406825627502,9.222220080629775,11.432552223387743,11.115114028045953,7.568609259502406,2.2805198158348716,-1.1908505609193225,-3.757831394219255,-2.017301515975089,-0.6929599286091054,1.8990292189898075,2.775334462538704,1.9978330130835966,2.871848250813479,2.91611297620309,4.257234113172291,1.7817249596697478,-1.7531266775939611,-4.344289138867375,-5.746200437811151,-5.067121516454315,-4.357938289729776,-3.207082654154804,-2.3308880326975885,1.119794653120939,7.91450641979645,9.724617415085515,9.99864943923198,11.438290844256857,7.966878976018848,7.119855682224552,6.858742120089596,3.963106919496675,3.442252429503603,4.28977759466894,4.895604741751269,4.402239722314385,4.956526665799334,4.344091526363116,4.382109387186163,5.623112260846844,4.1878386741882565,3.3104369386063857,1.5550447861052776,-0.941263932223886,-5.734714187497613,-7.252414063484941,-8.325898312016724,-9.229076184901517,-7.440397436064762,-5.663376185175528,-3.099223429650965,1.8996243485197826,6.390664567291927,6.343989158416025,5.843564917643693,2.6944733104978664,2.840441878943931,4.303757449229857,4.431398628970145,6.802413236999611,8.52488102684819,6.5488673376129265,6.027502046861007,4.646451842449132,-3.2885750613415627,-3.057413740038861,-2.7306239593131827,-3.4869990660922667,1.5471768489651843,0.18918711536430516,-1.366709191615728,3.1830656413943483
California,7.543473374814023,9.751873000717309,10.145353027671009,11.005441627735872,11.245208055838175,13.095588545621045,9.051023723572971,9.372275068973934,8.57897791116378,4.829929675016077,17.270337939235095,16.57415293185858,17.091973145823385,16.844939769706617,8.662225520735348,9.525588303087419,10.017460080182659,16.0339846374373,24.025636601480414,25.353481932086314,23.668864379357206,19.20263699247403,9.87660217127322,3.7780719125027797,0.09849460573383428,-9.319986200695325,-26.513576311778987,-24.994708513334043,-23.744894933677905,-18.667597033166548,-3.8657658656894447,0.2630849346573699,1.1433183395171396,4.307235953370383,8.861872185674322,2.7554899322806996,5.324146779941395,4.533433299678491,13.602071994151665,18.021285449581228,15.037472796909565,18.464302867723173,14.741002656726318,13.994546203378535,14.476400332744543,9.02418357592817,2.155641666025125,1.1612139722012593,0.937058589144555,1.2889196748853682,0.9286431558868259,-0.5303407635181284,-2.98275348592506,-8.394822511969489,-21.08078721095372,-23.158925465304772,-22.962003311715307,-14.708215574903031,1.0099525032204677,5.905622859198876,14.252812111663374,11.962547382595364,10.577889773233553,10.152969802083426,1.2913055660602892,-1.6245287906920913,-2.28734730472043,-1.95166187331619,5.93845790714588,18.3907273107867,30.71832201436464,31.787060813764228,25.143695675102958,9.227808154939611,-3.2018338012701784,-3.181395221382339,-0.010885165855594271,5.555395994831758,14.535771392365588,14.430046757260904,13.218618486253181,11.583795854204444
Colorado,8.408415006689678,5.165567526196247,5.856787308968571,6.617582071860562,8.17199156429736,9.451553292827546,9.571833762576428,9.818220147171147,10.12939459701215,9.064046825021965,10.81280893670927,10.891903267205963,10.551518458686152,12.92762091560458,13.14489230996083,11.631215349214473,10.392905196910537,9.264013741795269,6.819883425129768,8.04289410303512,7.66715513196716,6.927771923455948,2.692042235687929,-1.7000416052442389,-4.6070783301083145,-9.083816561323184,-12.401697704355644,-11.485599807587723,-10.690383859585221,-10.456076047582599,-8.978384978923344,-7.385093161445449,-6.825060033511576,-2.9182051059287417,3.0175869146183003,3.4605579306922847,5.407071547536195,6.099211007947345,7.487063279169861,7.104814626961395,7.02121054931021,6.615963579592645,8.729868653740331,9.62419415050313,8.655154630048937,10.314986446930476,9.679783131306282,9.628096623254788,10.927326559637535,7.337168930278676,1.8332217966810098,0.4756690047869148,-1.5438753386231348,-4.0237616130272,-14.072446040227035,-16.983613408318153,-18.592148356062886,-17.402176372349924,-7.993987101188085,-3.3751496889580346,0.5932198192391668,5.389052418209694,8.716178540952944,7.48850039050615,5.80208677933459,3.4786156329905027,3.8703095746836294,5.041641971757603,7.5939018583370155,9.896134889537379,12.096512577307777,11.573999273889864,9.313457508445646,7.057309169338041,0.5874437601941512,1.2783709987076706,3.782998173145292,4.8275730971148345,11.20081999327134,11.060786534991284,8.302065958481647,6.992803227341748
Connecticut,-2.072746642208889,4.875995213384144,1.372829848032048,2.466787373955096,10.575918853243357,6.27437186935816,-0.28079642827396667,0.7835962200894784,1.930960745271251,4.193477115302188,19.532886939623147,18.18585671213493,17.2348088452651,14.68021252870206,3.556684071132558,3.101685416817266,-2.6994059542042046,-2.518546744957418,1.534827201832589,-2.808985640716474,6.922828547874282,11.29919136663888,8.839099107198132,11.909800601911757,7.069859079541,-1.4154476106712732,-14.180694860457965,-14.138494506788913,-17.240034982851256,-16.331191785074992,-3.4417178608125854,-0.782034294353272,3.5282282636730966,12.57264442852761,15.88578900908488,14.315563000612341,14.941251622590343,27.563134812833894,13.361310911278446,13.482735099446282,14.032303490369966,-8.271040329082775,10.408786205608601,11.180711572277783,7.960604347914756,16.5727973606215,6.931838852211332,7.154016743183041,9.673081972561977,8.34766527272258,13.822885968292194,9.995330368555988,4.877237107919122,-4.452000256644126,-25.635513498552715,-25.498994622879067,-23.52264304131542,-17.711005200090003,1.452549223429285,4.901632480317021,7.0500631249485055,10.95429292545267,9.570022364691841,9.12520248374069,11.437514801808776,10.908400339184645,11.013529564111685,10.393916878759764,4.664045132800427,3.7257900880940324,4.276379648104326,4.2795342286961695,6.014965137005501,5.18923086513455,-2.0992719480798083,-2.968671414928044,-3.1230806192352896,-2.284052862654549,4.762844180807908,5.79382090492498,6.848061902238517,4.745018144206624
Delaware,6.922235477986324,1.854379715165803,3.9192948550641753,3.733853700382776,3.9644987680289514,4.657707457267449,2.176391584342564,3.3318618882317423,4.8732045926755365,8.241060806600096,12.898280449649894,11.420888169981865,9.708538993614752,6.089456374077659,-0.6617544253939204,-2.251863228457295,-5.52077443193284,-7.968350542736563,-7.3507283551105225,-10.262397150134515,-14.377666049356971,-8.081057948346258,-5.281196531375085,0.5759325588399319,13.071066891898864,6.670658990793954,-2.1416663742839024,-4.716867838628536,-10.681944100461456,-9.008466836826189,-2.8349342660394306,-1.2093665302016343,0.836853159418122,4.11100370706779,7.433151574572054,7.053302429567468,9.30473608544758,7.834066944988563,9.705482561766518,10.918538322175863,8.726127422437303,12.355251295185418,10.79905444079461,10.17978567758367,10.186787528081448,3.1524760942215,-3.32749449585078,-4.932425293849301,-6.208365381263612,-6.2348779448452465,-3.7207916384595765,-3.880341511617036,-3.368943389236887,-0.5368745233672689,-10.540100100375618,-11.905133514662596,-14.176944494780155,-19.793765095636736,-7.186491193581293,-3.827855558117937,2.3021814232734203,9.62338631743614,10.356812969078314,12.409847858864044,10.388731106243142,28.481669981561048,20.46049837277078,17.36724791420908,17.863302464789673,-5.694222588216754,9.18069830391139,18.17047401552822,8.490744565609297,18.039612625289273,3.405534109996025,-11.58793690897949,2.196156190331809,-0.564368371752399,3.6782720621990284,13.10189021378092,6.771889013333933,7.54982090522285
District of Columbia,1.931253163575074,-4.8456818093534375,-6.199627536596175,-2.3112564505940254,-1.5930965869240432,0.7713302514201916,8.212621140013079,3.89423213958522,4.35690572189623,9.139390141618858,6.8721386924148895,16.987014832077403,18.233619532589096,14.969045858469388,11.84541151029109,5.848987526139672,3.412907418989739,3.182313156792483,9.457114113059871,12.251907028487546,14.10409232288339,10.575602999364815,3.6792049527478388,-3.6326898334952,-5.31005669379085,-0.45635487175222433,-12.801085848202426,-10.29331672334468,-13.100349742837212,-16.01822100468649,-8.341613802234045,-5.537287676344819,-0.6037643614940832,-0.8392751153219047,9.58373178120343,8.75756536512555,9.073836915079575,18.563088123756653,19.445566795040534,20.322242669485686,16.259785582297237,3.286045133189168,-6.456077693864384,-8.871355894731096,-8.906588644685112,-4.567150621475746,1.8841366330812288,4.08879644929517,7.374938196732287,7.134348267082993,-0.5307121603754974,-1.2303755104004905,-4.1222203561090724,-6.905863361051701,-11.371185208263908,-16.402337261304382,-15.566786031794047,-14.69221455615784,-8.758024782889848,-3.400942965994159,-1.6313086974670803,2.308381277880146,13.709472992998395,15.20686806855058,13.025012313496049,13.11543513817538,9.581007626660616,10.499755689059889,15.192968024126452,18.36529823244028,12.134284348419813,10.361693332268718,6.869429127163973,0.9305269598947394,-0.24195835163802246,0.13451467154657826,0.580545737866079,5.516003197705956,10.71770768601317,10.468209619826117,10.272895160949524,5.5484470785296205
Georgia,3.5450912596845034,4.925291506532001,7.492991859801185,10.035996858548437,10.037153406534326,10.535823444493788,8.633097624857113,6.115954718851662,6.4683763388462685,7.956456641251575,10.17110941995774,11.694407552444185,13.775796818125826,13.238469349102179,5.342467063849526,5.207766777494119,2.7363552058176857,1.6518506301452949,8.567609391008993,7.544229646601705,8.270281873459014,7.1604157303918825,5.221613965052682,2.691641040115524,0.2960905606681906,-2.807817793024786,-7.9222763273013825,-8.068530596084324,-7.9620947204134405,-7.892627752729328,-5.409605580600007,-4.67551145304799,-2.9327498332693414,0.8132568750218317,5.070718139807514,8.401052228545707,9.667092296047768,8.955126489298431,5.585864251926767,3.1074434389231747,1.7315613725097978,3.219077583668856,5.658003065567068,6.755971757725773,6.458362821175243,6.112124284782712,6.650914377645913,6.425616567133134,6.518923773861982,3.114500407730652,-2.5491458921553094,-5.776919871734373,-7.691079659785492,-10.489114830117845,-13.456048493264564,-14.47455049945663,-15.843604878841155,-14.067442947052534,-10.762096389844539,-5.4167140197082215,-1.203204586111546,4.465516222864182,7.1257571994373325,6.509173826697724,5.003403229167285,2.945429852781906,3.1117852101507495,1.6019421153044973,3.311223400903871,3.6212694827789167,5.716285572166805,6.332296414309928,4.439016856946614,4.46645392282382,0.8450558095536415,0.5363393798184638,3.1227697620029953,3.3706651916006276,7.099411530125829,8.823658480269144,7.368220776408942,9.60087844079911
