state,1995-12,1996-03,1996-06,1996-09,1996-12,1997-03,1997-06,1997-09,1997-12,1998-03,1998-06,1998-09,1998-12,1999-03,1999-06,1999-09,1999-12,2000-03,2000-06,2000-09,2000-12,2001-03,2001-06,2001-09,2001-12,2002-03,2002-06,2002-09,2002-12,2003-03,2003-06,2003-09,2003-12,2004-03,2004-06,2004-09,2004-12,2005-03,2005-06,2005-09,2005-12,2006-03,2006-06,2006-09,2006-12,2007-03,2007-06,2007-09,2007-12,2008-03,2008-06,2008-09,2008-12,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09
US Average,5.310018131988096,3.885690522587637,0.6998769082568002,0.1518251675280695,-0.41438714978008495,0.9881105502220411,3.648541814151101,1.4548805963922153,2.0269428185697453,2.331869366440453,-0.7159228736350738,0.5577645928626259,0.8286303559931776,-2.0878033465671293,-0.13015941550803142,0.3379917137358414,0.3470381877792111,3.6541550882866902,2.743925593436763,3.3122635730304766,2.1830491054089585,-2.0585196020721748,-7.4910882911375865,-14.75031046710499,-20.63608654313189,-21.97781256390826,-22.252992162752907,-15.389485193745758,-3.6617382165373273,1.7762730848422597,8.923287755321502,9.982149474574168,6.643739168891839,6.236720195084136,5.48554126082756,8.119940492220344,10.208370453383992,15.128007174958915,35.212583213400265,34.247173073035285,35.70708226251587,30.297479635015062,9.46458312607045,8.285449420886051,5.284693689006182,6.544451767413262,7.307415979076865,2.7067404787897185,-3.6601281692654966,-6.9154576670149055,-10.278043414607344,-12.779426417162504,-13.81725060453875,-17.07387107397426,-12.325761143418983,-12.607746211015044,-7.909586546755294,-3.578080276639074,-13.100868165112084,-8.9176722855649,-5.6767520442880866,-4.277222335952648,9.681510079553304,9.052506043378356,2.8740062683442353,1.3517164882739594,-5.224378771967017,-3.475994095024414,-0.8284266687196029,1.279554105378957,6.609962448966493,5.186920472915393,5.272664585888173,5.110293548572792,0.4547200559155469,1.6435486970763202,2.936335905627312,2.218293513923262,6.383918906663714,5.260699352715603,1.7239145033699912,-0.7629756403963512,-7.658216717714425,-10.067573729286444
Alabama,5.854962304285127,-10.906589641269909,-1.7783838146125643,-10.592461591029313,-9.918967892502078,-2.8444077331722517,-6.565503676563818,1.9662713818837565,10.68247055911319,7.395403089987421,9.67749360914741,5.817416455480422,-6.339323805958637,-1.5696490756246173,-5.4237443457584025,-6.375978635941411,2.0144664897302063,-1.1895504099203753,0.9226433111748996,1.1031862873791674,-19.759088554825144,-19.980521184286857,-24.56083925258824,-30.4142398779671,-11.150294896285834,10.010272012349139,23.327591629033037,15.337655271492542,14.275722330917546,-17.895997499251735,-21.32075838999815,13.299456817571423,22.56757367743411,40.576359024725264,49.32482810424737,20.445223438771276,15.71148811047341,18.575589786299034,22.38077874270767,31.678817325119326,21.292411686100507,29.050627956308134,29.353678333704053,35.555890609151696,43.38204356150687,24.53525604845473,7.807661554588069,-11.42390270288393,-14.299685496763578,-6.863800252762175,-5.360438609190702,-0.4580065410366342,-13.539576187191487,-14.31386292651004,-7.635036711308493,-5.507021138152161,10.755169230327063,1.435067702596354,-15.118189180884798,-3.474314430349073,-16.26855456100862,-16.833675606352536,-5.590795757585762,-39.494540654837586,-27.978700266646474,-12.305180912819774,-9.616454022446282,33.65177220281293,14.279529052234372,2.423178263793425,1.7126442814439733,-9.244863099660334,-0.13556810231008526,-10.427998785522552,-9.353929413631063,4.421735174396363,26.490499518279336,46.62722164157864,37.37994868874782,31.432112985570143,-8.136018214482164,-14.230322272438112,-10.969012281272885,-30.056461045003896
Alaska,-47.30015043602488,-38.865756774596406,-40.049707315801314,-34.34103975073836,6.519928882328312,-11.477495526844082,-1.1943937164701248,-15.966390050759788,-15.683813563257134,-2.711065292188554,-17.84358680128465,-22.35321628305748,-7.042143740193896,-16.90559445506177,-24.75570181551167,-7.914613887987672,14.252793631614507,27.543832236406246,101.01592208977736,89.16069459914614,25.296249311076856,17.04649261249255,-11.705884591764711,-6.390100704870344,-23.506573075599725,-23.644685380202095,-33.63850494501869,-46.324196477629236,-40.94830293613422,-41.94572767578393,-25.349149605017356,0.04216942133709692,45.11801657948081,53.51365502490092,60.477649005156586,62.30308314869565,61.84262690147078,64.21056498698067,68.55450710771724,49.377052327158445,41.04201814395251,44.141116895759666,34.065505416094524,50.520480568048484,16.883174102056763,10.235750639306005,-3.3161972283273973,-17.80750857503763,44.19693488883848,42.829788656999234,54.53931010398891,58.36602335426527,-30.29694903405048,-29.814843461764596,-52.247947898824535,-72.22645620368716,-58.990472953711915,-49.12983098173183,1.0552626992643381,76.35165798183013,102.48004749125963,54.77967501216128,10.540662220564288,18.23300213411955,-5.955380558283389,-2.9990687815871975,-10.046916232155402,-12.65632823929003,-10.53413248770656,-8.244341569137,-6.963716051761586,-27.202150147295512,-22.89613601625218,-30.662078842032862,-36.62103579564595,-22.119458524448717,-27.261930186826138,-20.77367344534767,-40.69476835828076,-65.15808407202692,-84.30687784502122,-75.55706301858174,-72.51601740024434,-99.65479617121234
Arizona,-1.4021895194772591,0.7250463897068355,9.606201847549158,16.39165812544902,31.67288810811012,33.75692452778535,43.27505897992693,18.931919448699553,16.087672017092093,9.730843922030692,-12.535516701194338,-9.921080625346598,-17.51992492350274,-13.478325303649957,-6.575278481685963,-1.0301727446451492,2.7712433669429273,-2.1334223227368665,-0.1750831855547566,6.598229375743106,9.63579895181049,10.352796778816087,0.2558669955829489,-15.280467141852347,-29.415220273036052,-30.511208638051002,-32.329044524025036,-34.548134539224804,-24.233650516392654,-15.911434610239583,1.7697496740174032,17.700719994984926,41.438859310235074,27.491673520851624,25.672323391504587,34.33170420929726,22.810077919826384,36.855981353687795,36.61581907991099,34.342162431938654,23.161542903136546,16.206427797572022,20.741731432519988,14.948154108995979,21.94878881085488,22.570935998509665,9.037579958687758,3.0683472316405096,-8.408318823277309,-17.73525897204787,-23.310471279867844,-28.661874211199507,-28.6968260945352,-21.527741625428785,-25.432584491679744,-26.56186282474748,-40.34614640621503,-38.11443943591829,-31.001707061193308,-12.848497437477524,33.710399180055525,90.7623971600444,101.99660539818312,81.87496225039112,67.80401124510192,-20.275502059985143,-26.02709224703314,-27.39714408963345,-35.82595448040713,-10.392216324506867,0.5963772453806816,-5.556938237141674,-0.9350530680722972,-0.3997259467661829,-14.393229511391867,-7.055357620850715,-0.0653054645182784,-2.054412101845949,19.15261827554407,14.034407747864785,2.074397061426215,5.524680611776649,-17.90724152286384,-20.962355107673154
Arkansas,8.394626962679668,13.959898753262332,16.09001963559597,6.522968885798852,7.32569724286452,-4.550179939542906,-3.962327236656614,-1.566279859380049,-7.56501461320567,-1.100774767463611,-0.45316301199992,3.26124110947553,9.12982663502418,10.766280418602506,-9.032742725810984,-5.778383294736916,-7.882256374960979,-11.30280409409868,1.249425848434155,-3.250256151885522,-6.707114852182877,-10.23196472934758,-18.566759580834017,-33.40665367604268,-28.080468951570726,-35.09664356409436,-15.15152860080155,14.499482275384185,20.2109101965356,43.97436227593533,7.940573657493625,-2.612757374876438,-7.234006476420081,-6.550850965768004,0.4896621807812524,7.404075224120706,25.362409003209535,33.7388075026795,48.03192615288685,48.58191016961826,34.05598476375955,26.798864378073546,28.00467489102964,20.677705044960355,2.5644215941578374,-4.025407964228438,-4.047364459534827,-3.593418754640488,9.312025716095858,9.33191885613252,-8.582771520523663,-14.66419026363962,-15.612644721555563,-14.97706014488286,-0.6116082713322142,-0.45692478194762204,9.1557199361147,16.307843419924925,10.295732122753568,24.000416466541612,-8.363709138833542,-12.870558582732444,-4.23076580223706,-9.978769423089629,8.384308517051451,10.752041785833084,4.221621981537198,1.6403431476029444,1.0800520079778078,2.1930205444364828,-1.8360451151110866,3.3964096506273944,2.521306620436399,-1.870168099988561,-2.531091746645706,-7.067537869221374,3.607392696694938,6.933908795767707,18.52216933354441,21.83095170362369,3.5439008815849626,1.8383174000170164,-6.153641700706333,-12.255960606111802
California,17.220185352632623,10.594461344900537,-1.1899268593276864,0.43146051641252914,-7.467708305179806,-7.637636556217959,-3.1743383383779062,-7.306068795466439,-2.9356372918950546,-3.0781989408715016,-5.423887090661507,-0.42063419982178224,0.18664460108246742,-1.7033388296371883,-3.996197022999463,-2.52046932729785,-2.2293870247653893,7.927501652923265,16.99875589828455,18.251712468080616,16.768119334289906,11.986208636063047,1.5677982947039113,-12.105575219879402,-20.54180729323264,-24.853237035084575,-18.677204729538406,-8.83210618573218,15.884147653208686,21.72288278199386,16.552517981168545,22.514267491300544,5.044968342570986,2.7241270888120277,-0.32829909737173474,-1.1487527988250095,1.5716833501784586,11.12362979545956,74.40498402897687,69.14376701184011,72.90358427977569,52.313678968496156,-19.326712846431946,-20.255574226124114,-21.918669652194104,-18.91444637410025,0.5794856965121692,-0.9309262287310325,-6.78645048243349,-8.74733592131436,-9.370103980717412,-14.644334574455453,-13.118183208493491,-8.20011011155779,19.760370762534134,25.205200221966823,29.91685547699984,24.931331017440375,-23.8122876285687,-26.009088428348164,-22.15601502767415,-23.61652204357379,1.414254172400589,4.597148410578607,-5.728722649668621,-8.60451050493022,-20.022870275799924,-21.4021534641957,-25.649673893018697,-21.15786541980845,-6.951501735838896,-3.433786444026879,11.593772505904116,13.537547920072415,9.81394873729525,15.521714812962491,20.6703189754348,17.548402984338168,19.979329910487042,11.014003620627625,0.05894604675968985,4.728744535762821,-6.190197237148257,-3.4009100881196725
Colorado,17.561910855337242,13.658591080378127,5.7900235540519756,0.13266074095981678,-4.186017527973805,-5.636260078100857,2.2710475650455,13.637574090832988,26.488149032916958,30.41140781018365,19.448106258757925,8.117865712467806,4.1723085679540475,1.3396676480955125,10.76470601541282,10.445699392679478,16.748116358326833,12.840752421224977,-5.004659689685559,3.630018869266727,-10.083081634531847,-9.914642657517412,3.755182501472594,-10.384351565340564,-9.891461961355317,-11.429068935966539,-37.08713249862775,-33.9814982037118,-36.04716576966883,-33.59173260982091,-5.483542795525262,2.029949966401474,26.099036744080756,20.502541284772548,15.89596634582629,18.913692105470993,11.56818491582294,23.408739794286756,30.091535340612584,28.64100788618825,32.07157493545452,35.40097736925355,39.52294204779866,30.95099322501152,22.323010349418052,10.294557630187407,2.042325643029412,3.7287650848679217,6.544672176726602,10.699738122707593,1.3477530309445918,-2.947920025978893,-15.885312146720466,-27.82831014294595,-36.50703446989008,-39.9276972512497,-38.94371960988055,-9.395586443755194,10.136650497195172,20.745414613825563,40.68956014282143,4.068064541533138,4.011677647048262,2.254064243370718,6.240663058242721,9.006008914405086,24.998597412536437,41.7152263855182,32.75875438980948,44.47601519733867,30.714059456837706,14.311234808405434,16.072411648743344,13.527496166927833,8.028766834276563,11.810925117379153,3.5445630443093554,-3.42829661643934,-7.307013688959854,-8.753985458014228,-7.525842642751145,-0.9766722925146486,-0.5101751583054221,-5.596533812007418
Connecticut,-1.6126325473907375,18.186775800528434,17.416040028838434,17.332162571018195,-2.43794853831501,-9.129618718608109,-22.226749965633726,-25.16966925757841,-15.981547508786193,-19.21288111175462,-1.3662005640488608,5.158583412511533,-0.16450555307814543,0.4496489013622397,-11.685966121630539,-18.625071365992984,-21.83544313573998,-26.99609781587809,-18.32743527944272,-18.719760740043817,1.0152877015451942,11.46781251690284,-7.677764590445234,-6.962953630197462,-36.56244012288028,-53.70174556315369,-62.24649610660475,-52.73220954537241,-2.085796650727486,56.99576218158127,127.68550291510043,96.61253516486126,31.83523209645521,-12.322327336632313,-4.540795714771785,-3.2638866487428952,14.544116864701802,65.46793342046051,65.77202643553528,61.50519657770578,25.0788933788301,25.22468406346951,6.451994240509061,10.53684126049857,9.440406379289326,-0.24989117888398865,9.04849078169207,-0.6714884969875397,-9.916324172760564,-17.491584365574777,-19.226907159680373,-13.380269332872373,-14.528708641869159,-16.191954981440738,-27.364663024866516,-34.12348033141966,-11.541166089539745,1.737645299368298,14.63510571323399,30.315518047092016,5.6034150945212104,7.772813849457674,74.74674933555437,67.01011781879784,81.02003464234828,69.6899120426651,-32.730565937781186,-35.01472741675023,-43.129462675767414,-44.842388435508845,-10.800319658267627,-5.886773143946569,29.947767250719203,19.3920808343285,9.035446347125191,7.890299924009714,-28.23689037077176,-10.089330230060138,9.217293056539047,9.466345650451084,33.3696775108426,17.96348242442431,7.169734619065291,11.404111192821226
Delaware,-2.7379593901277177,-10.24860046114714,-14.167471691588892,-13.290525309799648,-10.52757364193806,1.7930926164728398,2.0855183918917852,2.809338009823194,5.499956116409929,5.841258111633692,17.00026925105434,18.655425832142967,22.38272823014229,19.47537635547285,10.622401645085308,8.787609707271148,4.151355613709453,-3.1996226977372997,-10.808662793291798,-19.60192855620396,-22.241777197879074,-24.28998390495329,-28.334385207627307,1.1197776395699797,5.716000572813675,5.121364153356068,56.17170293651422,-4.318792166537941,-12.969736856797908,-3.5778557098372668,-73.78537454991981,-63.72471971775844,-60.5694554046863,-59.09773073068639,18.317626714866638,38.87929878235851,55.92429667841774,101.34772171959287,197.20381877825758,145.98009016005776,127.30770474240583,60.51259132898315,14.074032685870568,8.06568938535324,6.459697032348259,13.919886740496008,4.091108021934095,5.6054844341164465,-1.2641397610815543,-17.614324064322687,-6.14234664960635,-0.8723692975546864,7.519835804574745,20.487617695261257,-32.553826530497346,-55.05231299151043,-61.57440847251895,-62.071171488805454,-32.2687488688093,2.8888828138344422,47.799426039261064,80.97507593100323,98.83475186702209,84.19668008205443,32.48648537439578,16.468323745632222,-12.324961332882916,-6.407474290866606,8.545797846339658,7.698293847121936,16.908987434226486,7.627649637673138,-3.726667802127712,-10.70380532929783,-12.11699207270534,-13.896961770872341,-2.3590973868800096,-2.826206924648832,43.293818716772435,52.64925135143962,50.88239324080121,68.39005223172852,-20.857928137921498,-25.742277619673114
District of Columbia,0.5769701237982356,-5.941505358759157,-13.32170125229854,-18.706573999112678,-11.904362776268194,-2.8966424715259014,-8.313763229395036,-0.2873980535800658,5.49779356854516,39.570820990859836,31.597230370483047,26.806168763218974,14.53568240032768,-25.07746218794948,13.314495845601943,17.53825429516689,31.033334639180758,50.448202374013206,-0.629577720429543,-7.930348520899461,-27.38218464584048,0.8652523483825786,27.8461410126316,24.951852846169192,31.61393606539854,-35.17348458552449,-58.37539065373195,-54.43370133238411,-47.71841703631425,-20.982227667026706,10.62104333006624,10.030452980762398,4.007284537183062,-0.4191597851630998,13.473761117385205,12.877475302867126,24.418834654599983,37.1585443505345,19.71728964230456,24.462293549211996,16.152122087795885,16.876136078745436,18.15987631203179,6.793318207944203,12.149721652723692,5.437030776943046,33.38793527603744,61.968988349460666,58.3510687325593,61.14673376407279,32.83128719572232,15.157972661488717,11.439832752478933,1.051044562647172,-13.113492614502514,-20.917984973276795,-22.936608119748,-17.039591517515216,-7.687191999322167,-1.9391809688804214,-3.8987209638835063,-8.328585519900509,0.685315114012482,7.575832260735041,13.07856406509067,27.70475133700788,17.754151292421934,18.521005117103527,21.440064949224098,11.979268742444143,5.425226986192971,-1.9197745299537643,-8.157237119639447,-13.471397504956778,-10.392795167327991,-8.931496762844212,-4.071976276736383,3.293326633613536,11.650987519219933,8.883989406113212,8.792857384674948,10.526293794997397,0.5383665653335048,9.496871617363754
