House Prices Year/Year: Q1 1992 -- Q1 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Federal Housing Finance Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fhfa.gov/DataTools/Downloads/Pages/House-Price-Index-Datasets.aspx#qpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US Average,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1992.0,1.0,2.280000000000001,4.420000000000002,2.2099999999999937,2.3400000000000034,2.8400000000000034,-0.950000000000003,5.340000000000003,-2.6099999999999994,0.8499999999999943,-0.269999999999996,1.269999999999996,1.8100000000000023,2.739999999999995,6.920000000000001,3.359999999999999,2.200000000000003,3.7900000000000067,1.5300000000000011,3.2900000000000063,5.6299999999999955,1.900000000000006,2.9200000000000017,-1.4000000000000057,3.7800000000000016,1.2999999999999972,3.3299999999999983,2.5600000000000023,11.540000000000006,6.189999999999998,3.0,-4.109999999999999,1.1700000000000017,6.409999999999997,1.0499999999999972,2.0400000000000063,2.3900000000000006,4.260000000000005,2.5400000000000063,8.39,1.8400000000000034,-3.829999999999998,2.8599999999999994,7.030000000000001,2.549999999999997,1.7999999999999972,6.159999999999997,-0.75,1.4899999999999949,3.9300000000000073,3.569999999999993,5.390000000000001,6.6299999999999955
1992.0,2.0,2.1597840215978366,2.900266350991415,3.431372549019615,1.1054675829100682,3.6285485805677684,-1.6626360338573072,7.7576726981905475,-2.6723786209710365,0.0500751126690149,-0.8514474606831557,0.5682384607716012,1.012226899178197,0.09239297813366534,8.353174603174605,3.966909199641188,3.858488675085182,5.402721223557451,2.03856196023298,3.0251766344910007,5.012752599568373,-1.6216750716899047,0.29949086552859855,-2.2448979591836764,3.0843994842804716,3.4493222739227156,4.713838699909157,2.5697211155378468,9.112802234852127,5.484731692855022,1.2610088070456418,-4.29758767484289,1.1982680495418363,5.490584737363719,1.1319991914291536,1.9578463689941001,3.2258064516129075,4.245376814476035,2.1561189858255103,8.181103908858784,2.268620758883749,-3.143620299979456,2.62975091793193,4.069824458173978,1.9370943584623042,1.5095471358592472,8.097890966971748,1.2341932220536156,0.7344803300130838,3.6412342494294947,6.820239412533952,6.7161226508407585,4.718357816908254
1992.0,3.0,2.8645573410520058,4.103016059537796,2.8311225499901003,3.4274801487586806,3.2318455020199046,-1.8509153433801944,8.555885262116721,-2.1188201080182862,-0.25070196550340956,3.158220662607083,2.011810629566615,2.9738660258335825,2.5844730490748264,8.190327613104516,3.656487795236686,4.353890604762369,5.710059171597625,4.194816980941813,5.21331738437002,4.606915201854352,-0.6046788263283104,2.486963497793827,-0.5881139083780513,3.493880773786031,4.33293027005241,4.791687682840714,2.8330019880715795,10.151187904967605,6.862262479078482,3.4103410341034217,-4.342469972282096,1.5850580514891546,7.183908045977011,1.312203492480076,3.689223057644117,4.449152542372878,4.903608502224413,2.218920257553239,8.63149773362909,2.0318286457812045,-0.8876357560568174,2.899980272243044,6.359563693026867,3.7909018355945845,2.4855260531044068,7.94773553394242,1.2686491423931796,2.18225904223075,5.6079404466501295,6.35588972431078,6.318761561678521,4.237939650201803
1992.0,4.0,2.7601899485556056,4.87899698707357,2.087825916486973,1.7241379310344827,2.8401906429335684,-3.6887724249143288,10.197144799456153,-0.5422880383773032,-0.08963250672244141,-0.22155085599194246,1.9022009759984033,2.084574151280533,3.7195121951219474,8.18285497053792,4.232235363112109,4.3263532200711285,5.560424578829495,3.4859469659350535,4.977908689248903,5.9478127398311615,0.2274075538857069,1.0881392818280684,-0.8320493066255655,3.7446226046147815,4.115185332801909,3.3970486283054444,2.0504267634651123,9.718039967150279,8.493069890887645,2.5135534746180355,-1.945403200502039,1.7352056168505554,6.654433069345181,2.1025230276331683,3.1661224893638105,4.476133887898589,4.939358372456976,2.846449325322565,9.269636242758088,1.5065913370998079,-0.3635985871597845,3.373872106708525,8.733966513267406,2.9420446718488726,3.722233340004001,10.120598166907858,3.0584157406463452,1.1675481488873385,4.428044280442807,3.9717136491329983,7.4927675988428115,6.867974852352823
1993.0,1.0,1.5936644505279578,4.42443976249761,2.4361608453184713,1.8565565761188112,4.570206145468692,-5.401312468450272,9.76836909056388,-4.897833453126601,-1.6658403569657838,-6.3872455630201594,1.273822454823745,1.5911992928003187,-1.0901304263188538,9.118967452300787,3.9280185758513957,4.530332681017608,6.917814818383267,3.624544469614885,4.240487946558229,5.680204487361546,-6.840039254170755,-1.6906335017489262,-3.7221095334685477,1.8211601464636735,4.333662388943732,1.7419916771508732,1.5698127925117,11.502599964138424,5.72558621339109,1.0873786407767034,-4.254875378037332,-0.6128298902836854,5.093506249412651,-1.1182582879762448,1.950215601724809,4.824689911124131,3.721465566852096,3.149990247708202,7.82359996309623,0.5498821681068365,-2.8283248414266393,2.3916002333268462,5.138746145940391,2.1843003412969373,2.1709233791748606,10.879804069329312,1.7229219143576762,-0.2758892501724319,4.339459251419216,4.412474654822832,7.790112913938698,5.195535965488142
1993.0,2.0,2.7209552706273867,5.148116192119648,2.756552858110063,3.782505910165488,5.401755570560426,-5.154216620555386,10.678170516745515,-3.898553762313979,-0.21021021021021816,-1.9801980198019882,2.825138778747035,3.4924099613056807,5.610256410256409,7.965574070683028,3.911417888984755,4.390620476695949,5.823047206256485,4.842043105993507,5.863034869120056,5.371321812237272,0.33169162729922436,0.8659301283965408,0.40709812108559557,3.049836444102368,4.761904761904766,2.4002313475997776,2.9714507671392525,13.286836761719783,6.885890949971903,3.8644000790670057,-2.001694556238086,0.8159203980099434,8.427282976324689,0.9794123525884509,3.6151660625061353,5.833978328173376,4.434907010014312,4.983388704318932,8.551974580118008,1.226933647428347,-1.2728044123886326,2.165925352929796,8.716547304937807,4.44705651875795,3.4666141422099623,12.184796613289167,0.18986709303488752,1.6979624450659097,5.092858510434624,4.925134193426881,7.183242191120585,6.633221850613155
1993.0,3.0,2.600426935765566,4.797290941585922,3.1093569503273044,3.7706511175898885,6.242244917438204,-6.4818631492168235,12.646924829157172,-3.0029711375212207,-0.4523977078516164,-3.3716858429214653,2.2468602825745605,1.973940101127967,-2.7938437408097325,10.832732516222073,4.938507007341017,4.61141875119343,6.9502752122399505,5.051775863737539,4.727617243012799,6.499861508632621,-2.942056447591506,-0.2054794520548023,0.2283341982355982,3.0707610146862474,4.69383813019123,4.120138621486332,3.82793620106331,11.534526854219962,7.112585222037956,1.8181818181818137,-0.6331830864992524,0.7056251242297692,9.26319681982065,-0.07970509116269632,3.132553417770468,8.693132425383947,4.70266704363396,5.50440934199051,8.76242897727273,1.3635471846184035,-2.202086186913922,2.818251533742343,7.215456460031142,3.806228373702416,3.4284601149313296,16.235893702220608,0.5712567648827352,0.8799683606881556,4.8778195488721785,7.069469318503158,8.27838827838827,9.477274822531577
1993.0,4.0,2.7726966400308033,4.577888981558704,6.144983197311562,5.4043583535108946,5.561335477158797,-5.860192549183767,12.655327399312593,-4.1732200901751115,-2.0035885167464027,-7.36778360920468,2.8440187646599013,2.800466744457405,-1.6656868508720386,9.101291399455327,3.7603150787696973,5.3304298428327925,8.588560885608846,5.998080614203455,4.470632248410027,6.972111553784862,-3.482292591496499,-0.21528525296017112,-0.14501760928112756,3.1382527565733653,4.928701311130258,4.94252873563218,4.758700249951935,12.874251497005993,8.66177403279877,2.1057692307692286,-0.9173333333333327,0.5718229320713776,9.127954360228197,-1.6866052167091576,3.442984559317161,8.255924170616108,4.911920961879016,5.870522888335564,9.752281616688395,1.7185821697099943,-3.7535189239912357,2.571157495256161,8.041422782530399,4.826992926782639,3.704418290565313,16.952864902751013,0.296765258680381,0.9863878477017163,5.439836339966519,5.841796329078539,8.325109895039025,9.136286656564756
1994.0,1.0,3.666634587623908,4.695524578136454,5.53008595988538,5.554489639293943,7.206620792263344,-5.165421558164358,14.113984260140096,-1.1336644353271554,-1.9259856811535712,2.088688946015427,3.334633385335415,3.0745431692932343,-2.824247195433974,7.902631353389903,4.989759821262334,5.22325189553496,7.155086960439756,6.748407946012745,6.204142286616507,7.569649735734124,3.665859054039808,0.9883376161296697,2.2016222479721783,4.797955900444775,5.412054120541204,5.97355654903453,6.182202169530573,10.5170057087722,7.152400463169147,3.4383403764886653,3.0062084740224275,1.869716558925917,12.080836984708938,-0.28022417934347593,5.09468422570412,7.369794092984251,5.206214166820784,5.767230783776126,10.30204500727303,2.1093749999999964,-0.8560727661851227,3.5225977971895257,8.59326401848396,6.336482488787098,4.42265166810883,17.313737150624426,0.515055467511896,1.6500345815630886,6.150866838804871,7.536526724616244,8.503521126760573,13.212088793795127
1994.0,2.0,3.5064316341114745,5.68927789934354,4.028614457831327,6.776765375854215,6.360391690308413,-4.753673292999141,13.704945515507132,0.15267175572519145,0.46143043434648207,-0.4225932797361334,2.651113467656416,3.403317035758793,-2.6803923472856224,9.701492537313444,5.166528277516371,4.8622665927158355,6.80259994657644,7.415751431521643,5.428832116788325,7.872340425531924,-1.1019835704267626,1.46043023485296,1.1227778355338376,4.770796377555783,4.9374649990666475,6.532994446013365,5.488494907582038,12.62468827930176,5.986501884477166,3.073555999619364,0.8970063763103839,0.8487958941966184,10.025127805216192,-1.435075217735553,5.039712556732222,7.5875308529115975,5.324200913242008,5.51935964259122,11.114828134147379,1.5223504314942378,0.16115169746455274,4.5618020064357445,7.315593308485739,5.927037419112827,3.9596421092708898,18.383921246923705,1.1968880909634836,1.856216853270478,6.5950081982146065,5.070902889965887,8.28433068142511,11.700644711622239
