Table 3. Changes in Housing Permits and House Prices,,,,,,,,,,,,,,
State,"Change in average monthly new housing permits, 12-month average, November 2013–November 2014 (%)","One-year change in house prices, Q2 2013–Q2 2014 (%)","Change in house prices from peak, Q1 2007–Q2 2014 (%)", ,,,,http://www.fhfa.gov/DataTools/Downloads/Pages/House-Price-Index-Datasets.aspx#qpo,,,,,,
Alabama,6.807190437083666,1.6432176994952252,-4.769571342322399,AL,44.0,4.0,,,,,,,,
Alaska,7.741347905282336,2.3601625313391494,6.178818043224821,AK,38.0,4.0,,,state,2007q1,2013q1,2014q1,1 yr,since recession
Arizona,5.308610617221232,6.568623055194367,-25.473472971278067,AZ,10.0,1.0,,,AK,223.02,231.34,236.8,0.023601625313391494,0.06178818043224821
Arkansas,-2.73972602739726,1.9154662023112223,-0.12410797393732631,AR,41.0,4.0,,,AL,198.76,186.22,189.28,0.016432176994952252,-0.047695713423223984
California,-3.152131907767619,8.116654954321856,-21.163207788880346,CA,3.0,1.0,,,AR,193.38,189.51,193.14,0.019154662023112223,-0.001241079739373263
Colorado,0.3988183161004466,6.9630900155028375,16.425519692672253,CO,8.0,1.0,,,AZ,318.92,223.03,237.68,0.06568623055194367,-0.25473472971278066
Connecticut,-5.436447166921898,-1.270883054892602,-16.932730923694773,CT,51.0,4.0,,,CA,273.21,199.22,215.39,0.08116654954321856,-0.21163207788880345
Delaware,-7.628382697634772,0.021742675436198233,-15.692293594795203,DE,50.0,4.0,,,CO,278.53,303.17,324.28,0.06963090015502837,0.16425519692672252
District of Columbia,24.731182795698924,4.838483146067429,31.56395041419422,DC,16.0,2.0,,,CT,199.2,167.6,165.47,-0.01270883054892602,-0.16932730923694772
Florida,-10.917774325335172,7.85448127083741,-28.65436383096034,FL,5.0,1.0,,,DC,340.42,427.2,447.87,0.048384831460674294,0.3156395041419422
Georgia,-4.815635704211163,6.664374534410644,-7.083312534318386,GA,9.0,1.0,,,DE,218.26,183.97,184.01,0.00021742675436198233,-0.15692293594795204
Hawaii,-39.55166194279825,8.137450199203178,-0.09661835748792091,HI,2.0,1.0,,,FL,308.33,203.96,219.98,0.0785448127083741,-0.2865436383096034
Idaho,-1.0443557850269847,3.7660691653087275,-12.131549695273858,ID,21.0,2.0,,,GA,200.33,174.51,186.14,0.06664374534410644,-0.07083312534318387
Illinois,9.251207729468591,3.5543130990415284,-15.54138941882649,IL,24.0,2.0,,,HI,217.35,200.8,217.14,0.08137450199203178,-0.0009661835748792091
Indiana,-7.308201058201059,2.6686567164179165,1.6912069067470892,IN,35.0,3.0,,,IA,198.48,205.38,212.36,0.0339857824520402,0.06993147924224119
Iowa,-5.612670186162827,3.3985782452040203,6.993147924224119,IA,27.0,3.0,,,ID,260.89,220.92,229.24,0.037660691653087275,-0.12131549695273858
Kansas,-0.7756014197449757,3.1856796116504826,3.326750721555527,KS,29.0,3.0,,,IL,214.91,175.28,181.51,0.035543130990415284,-0.1554138941882649
Kentucky,-13.059313215400625,1.706379707916983,3.780392156862744,KY,43.0,4.0,,,IN,169.11,167.5,171.97,0.026686567164179165,0.016912069067470892
Louisiana,-5.918141592920357,4.160401002506275,7.030646407416952,LA,19.0,2.0,,,KS,197.49,197.76,204.06,0.031856796116504826,0.03326750721555527
Maine,-4.136175628380522,2.962532674992735,-3.4191527039912795,ME,31.0,3.0,,,KY,191.25,195.15,198.48,0.01706379707916983,0.03780392156862744
Maryland,-15.157339777033341,0.37796976241901703,-17.466424950978578,MD,48.0,4.0,,,LA,232.98,239.4,249.36,0.041604010025062754,0.07030646407416952
Massachusetts,-9.914517425294079,4.689074893728895,-0.6281198003327826,MA,18.0,2.0,,,MA,240.4,228.19,238.89,0.04689074893728895,-0.006281198003327826
Michigan,-0.36714089031666397,6.308941148382496,-6.5872974248701865,MI,11.0,1.0,,,MD,270.29,222.24,223.08,0.0037796976241901703,-0.17466424950978576
Minnesota,-7.344094347489428,2.6543591555516333,-8.39475032514877,MN,36.0,3.0,,,ME,220.23,206.58,212.7,0.02962532674992735,-0.034191527039912795
Mississippi,-3.288271830471323,3.122022308166583,-6.528476350149893,MS,30.0,3.0,,,MI,190.67,167.54,178.11,0.06308941148382496,-0.06587297424870187
Missouri,14.572064906140625,2.8353898661065857,-4.5704818983579365,MO,33.0,3.0,,,MN,253.73,226.42,232.43,0.026543591555516333,-0.0839475032514877
Montana,-23.03612023238192,6.153160892112863,8.208471168190968,MT,12.0,1.0,,,MO,205.23,190.45,195.85,0.028353898661065857,-0.045704818983579365
Nebraska,-8.783868935097672,4.775512180946384,8.370904718966043,NE,17.0,2.0,,,MS,196.83,178.41,183.98,0.031220223081665832,-0.06528476350149892
Nevada,9.647793134195283,10.3494623655914,-34.95434995849996,NV,1.0,1.0,,,MT,308.34,314.31,333.65,0.06153160892112863,0.08208471168190967
New Hampshire,17.699115044247794,3.5371552027332553,-11.523764544244564,NH,25.0,3.0,,,NC,199.77,189.01,194.26,0.02777630813184495,-0.02758171897682349
New Jersey,0.30387220003473825,1.9469525959368017,-15.973487344470715,NJ,40.0,4.0,,,ND,204.61,270.68,292.54,0.08075956849416288,0.42974439176970813
New Mexico,-17.161916312916915,1.2387868432294002,-11.841289522628628,NM,46.0,4.0,,,NE,199.62,206.47,216.33,0.04775512180946384,0.08370904718966043
New York,-2.184261267775367,1.5481817304909828,-3.275450202131569,NY,45.0,4.0,,,NH,232.91,199.03,206.07,0.03537155202733255,-0.11523764544244564
North Carolina,-6.6773428472968295,2.777630813184495,-2.758171897682349,NC,34.0,3.0,,,NJ,257.99,212.64,216.78,0.019469525959368017,-0.15973487344470716
North Dakota,21.31627453106364,8.075956849416288,42.97443917697081,ND,4.0,1.0,,,NM,241.95,210.69,213.3,0.012387868432294002,-0.11841289522628629
Ohio,-13.419378461256803,3.965635310963078,-4.505946935041171,OH,20.0,2.0,,,NV,265.06,156.24,172.41,0.103494623655914,-0.34954349958499964
Oklahoma,-6.4894096439837785,3.2454856027330337,10.579687418326289,OK,28.0,3.0,,,NY,217.68,207.34,210.55,0.015481817304909828,-0.03275450202131569
Oregon,3.5659455687369057,6.978023867661731,-8.016678002188248,OR,7.0,1.0,,,OH,174.88,160.63,167.0,0.03965635310963078,-0.04505946935041172
Pennsylvania,-7.260016133369184,1.7312661498708026,-1.6831485366097354,PA,42.0,4.0,,,OK,191.31,204.9,211.55,0.03245485602733034,0.10579687418326289
