"Table 2. Year-over-Year Percent Change in State Tax Revenues, Q4-Q3 2013–Q4-Q3 2014 ",,,,,
State,Personal income tax (%),Corporate income tax (%),Sales tax (%),Total tax revenues (%),
Alabama,0.14572142410993472,6.355905511811022,2.6285591766723737,0.06066445182724145,AL
Alaska,#N/A,-20.666416510318953,#N/A,-45.84908799358589,AK
Arizona,0.815702718334288,-5.455161290322586,11.726004016064252,4.872578229027957,AZ
Arkansas,-1.4557309282224762,-5.4717026378896865,6.829341521664967,2.5965260261407996,AR
California,-1.5499334411634202,17.539007463663747,5.9463004940424335,2.696099800921292,CA
Colorado,2.960524906266726,13.610559006211176,9.107582551977167,6.510095305330044,CO
Connecticut,-1.3607015760040753,13.539518900343662,1.7392295995945162,-2.0237252475247547,CT
Delaware,-10.095570934256049,-12.414332247557013,#N/A,-9.233677910772576,DE
District of Columbia,1.8295427196149072,-7.317136659436008,3.5369740376007153,-0.11479346781940736,DC
Florida,#N/A,-0.15421686746986962,6.2830280480824285,5.1880072312612935,FL
Georgia,2.182771070743539,16.156900726392266,0.7199841080651526,4.860961593172108,GA
Hawaii,-0.21949828962370965,3.619014084507044,0.29922779922779696,0.6173662551440362,HI
Idaho,8.463468917881812,5.316666666666658,6.722296793437721,4.917493112947668,ID
Illinois,-6.323417343526039,-10.086497150372642,3.3284085453672674,-0.854419066534251,IL
Indiana,-3.862757075951939,9.916601815823611,3.44766695829688,-0.3207319952774679,IN
Iowa,-7.900643776824035,0.5283208020050223,7.486067708333333,-1.662319208322749,IA
Kansas,-10.442598509052193,-2.7159420289855185,4.046858908341933,-2.753329844301977,KS
Kentucky,1.2353144989339038,-7.94635568513119,3.9005923000987153,1.1976059438635112,KY
Louisiana,-1.4278071101724743,104.37642276422766,2.0160493827160675,6.772158067591905,LA
Maine,-7.155409836065562,7.4554285714285795,12.63336397058823,0.1295477903391573,ME
Maryland,-1.1005001282380134,-4.447540983606546,3.0821290009699354,1.4075963045005135,MD
Massachusetts,1.0102444614209283,11.801125319693085,5.77210406380555,2.8484764428251985,MA
Michigan,-1.78125769136106,-1.5081473214285768,-0.5617410819749646,-0.18345765158805927,MI
Minnesota,2.1701349771495293,10.249428104575165,-4.673844555997919,3.105914747842675,MN
Mississippi,-1.2120365088419849,15.594956140350892,4.808556994000646,2.243306767526687,MS
Missouri,-0.4508458992276587,-7.9232911392405185,3.4811072880825744,0.4252739483916468,MO
Montana,1.3875234521576019,-4.855555555555546,#N/A,0.5122846441947493,MT
Nebraska,2.9864583333333306,11.440068493150669,5.820353982300874,5.4454161385720345,NE
Nevada,#N/A,#N/A,5.457076375581704,0.704719387755115,NV
New Hampshire,-5.709090909090908,-5.82253521126761,#N/A,-4.279440440864779,NH
New Jersey,-0.9221441985792445,9.195271763146273,3.8497264579210766,1.9534582866456152,NJ
New Mexico,-10.114726027397259,-19.579026217228467,8.161526717557233,2.39946040034813,NM
New York,-0.9796908139699356,-12.872385103011085,4.2404666452854345,-1.7391562059563603,NY
North Carolina,-9.990306946688198,-4.300444444444452,8.285377107364699,-3.554502904425594,NC
North Dakota,-24.441779788838613,10.237179487179482,12.922981366459618,14.481010638297874,ND
Ohio,-16.724426559356132,-97.65576036866359,10.560548668503223,-1.9780067116515698,OH
Oklahoma,5.365271105010305,-30.47093235831809,4.396830427892229,5.044472651742438,OK
Oregon,-1.6234573434931954,11.562179487179481,#N/A,0.04468151866960923,OR
Pennsylvania,0.32587670727206586,10.311050477489747,3.549247958745161,1.5293706704238463,PA
Rhode Island,-1.947411444141689,-18.09718309859155,3.428187919463088,0.20890087660148104,RI
South Carolina,2.5963191990577172,-1.0068965517241346,13.95174280879865,6.763706654170587,SC
South Dakota,#N/A,-20.690625000000008,6.69567690557451,4.978896103896102,SD
Tennessee,-8.59007633587786,-7.65030769230769,3.923156113383164,1.490050960407685,TN
Texas,#N/A,#N/A,5.8595093198606785,7.467919712263593,TX
Utah,1.073876698014642,11.494025157232702,-9.316943699731905,-0.7096096096096072,UT
Vermont,1.1489614243323398,7.743269230769223,3.621325648414997,3.221455805892548,VT
Virginia,1.761870305916835,-5.172153465346529,-2.7992671009771986,0.6660544217687026,VA
Washington,#N/A,#N/A,2.33846758006806,0.20389793362554087,WA
West Virginia,0.5749577940348916,-9.615384615384615,-0.9329880478087693,1.2107413569975911,WV
Wisconsin,-9.61268556005398,-2.6226321036889377,4.2343826747041735,-2.722795827123692,WI
Wyoming,#N/A,#N/A,11.082981715893103,6.459255856683499,WY
United States,-1.6323766720036326,2.318610191925874,5.055168670511656,1.6239252562738393,US
,,,,2.0,
,,,,15.0,
